owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,1244950.12,1276779.78
aafc-aac,2018-2019,1699228.41,1721238.81
aafc-aac,2019-2020,3023860.60,2983747.70
aafc-aac,2020-2021,885690.43,841509.60
aafc-aac,2021-2022,1427692.42,1317040.69
aandc-aadnc,2017-2018,770475.55,789470.04
aandc-aadnc,2018-2019,1468358.26,1487828.87
aandc-aadnc,2019-2020,1167944.30,1153935.27
aandc-aadnc,2020-2021,1368303.12,1299595.87
aandc-aadnc,2021-2022,918697.44,853135.04
acoa-apeca,2017-2018,183701.21,188538.00
acoa-apeca,2018-2019,107054.29,108442.50
acoa-apeca,2019-2020,337798.16,334448.95
acoa-apeca,2020-2021,527988.08,498657.04
acoa-apeca,2021-2022,358228.93,332221.77
atssc-scdata,2017-2018,505889.66,518102.17
atssc-scdata,2018-2019,1364231.97,1386404.47
atssc-scdata,2019-2020,214664.78,213047.03
atssc-scdata,2020-2021,133020.24,126450.03
atssc-scdata,2021-2022,175049.54,160811.89
cannor,2017-2018,12732.71,13062.36
cannor,2018-2019,12452.91,12651.82
cannor,2019-2020,25138.60,24723.86
cannor,2020-2021,2560.48,2434.18
cannor,2021-2022,2560.48,2377.27
cas-satj,2017-2018,746222.27,765166.91
cas-satj,2018-2019,912007.28,924659.56
cas-satj,2019-2020,1451939.51,1434074.99
cas-satj,2020-2021,1307544.49,1239719.08
cas-satj,2021-2022,1353078.28,1244261.48
casdo-ocena,2020-2021,31698.60,29847.97
cbsa-asfc,2017-2018,4491109.81,4608350.66
cbsa-asfc,2018-2019,3313828.33,3363615.31
cbsa-asfc,2019-2020,3285940.91,3248315.07
cbsa-asfc,2020-2021,3505783.39,3329873.85
cbsa-asfc,2021-2022,2928091.16,2718012.25
ccohs-cchst,2019-2020,37592.33,36682.58
ccohs-cchst,2020-2021,38444.76,36767.97
ccohs-cchst,2021-2022,21918.69,20293.19
ced-dec,2017-2018,90519.33,92837.54
ced-dec,2018-2019,26413.49,26775.19
ced-dec,2019-2020,62183.06,61536.13
cer-rec,2017-2018,212105.52,217625.19
cer-rec,2018-2019,112408.07,113987.70
cer-rec,2019-2020,107603.57,106525.85
cer-rec,2020-2021,82274.74,78216.15
cer-rec,2021-2022,22557.92,21029.52
cfia-acia,2017-2018,2661649.49,2728609.25
cfia-acia,2018-2019,5815558.13,5904261.20
cfia-acia,2019-2020,1943735.90,1926962.40
cfia-acia,2020-2021,2058561.73,1953891.40
cfia-acia,2021-2022,1816629.42,1680877.99
cgc-ccg,2017-2018,180712.33,185349.84
cgc-ccg,2018-2019,275038.69,278862.56
cgc-ccg,2019-2020,205439.91,204014.63
cgc-ccg,2020-2021,229268.09,218422.10
cgc-ccg,2021-2022,338473.02,312423.02
chrc-ccdp,2017-2018,86035.57,88178.67
chrc-ccdp,2018-2019,154673.01,157055.04
chrc-ccdp,2019-2020,68506.79,67662.48
chrc-ccdp,2020-2021,59881.27,56931.73
chrc-ccdp,2021-2022,122449.37,113168.20
cic,2017-2018,44261056.98,45406152.25
cic,2018-2019,44368874.07,45053752.23
cic,2019-2020,111681578.55,110614219.40
cic,2020-2021,119204190.18,113304259.88
cic,2021-2022,122727137.03,113935560.94
cics-scic,2017-2018,37287.74,38166.69
cics-scic,2018-2019,102978.65,104057.35
cics-scic,2019-2020,19788.66,19382.31
cics-scic,2020-2021,4590.01,4363.59
cics-scic,2021-2022,14632.89,13332.30
cihr-irsc,2017-2018,307489.87,315827.26
cihr-irsc,2018-2019,218829.24,221868.08
cihr-irsc,2019-2020,99086.44,98358.43
cihr-irsc,2020-2021,66426.00,63149.22
cihr-irsc,2021-2022,66426.00,61672.89
cnsc-ccsn,2017-2018,354783.94,363906.72
cnsc-ccsn,2018-2019,347835.44,353677.43
cnsc-ccsn,2019-2020,375520.53,372738.01
cnsc-ccsn,2020-2021,204064.74,194002.40
cnsc-ccsn,2021-2022,362212.21,332631.22
cpc-cpp,2017-2018,22232.48,22756.55
cpc-cpp,2018-2019,57092.56,57735.41
cpc-cpp,2019-2020,34170.91,33566.05
cpc-cpp,2020-2021,12964.61,12323.61
cpc-cpp,2021-2022,12746.40,11834.33
cra-arc,2017-2018,21414712.56,21942768.02
cra-arc,2018-2019,12948971.02,13119263.39
cra-arc,2019-2020,14235686.88,14050690.54
cra-arc,2020-2021,15200961.03,14404631.58
cra-arc,2021-2022,14376620.45,13245660.59
crtc,2017-2018,90240.38,92425.91
crtc,2018-2019,72909.33,73790.95
crtc,2019-2020,161714.43,158906.92
csa-asc,2017-2018,290851.24,298724.43
csa-asc,2018-2019,92058.88,93565.61
csa-asc,2019-2020,122001.29,119782.45
csa-asc,2020-2021,101252.23,96265.20
csa-asc,2021-2022,182598.30,170229.02
csc-scc,2017-2018,17114883.45,17542393.60
csc-scc,2018-2019,12855296.40,13047937.82
csc-scc,2019-2020,11290414.00,11173822.78
csc-scc,2020-2021,20343192.78,19330667.57
csc-scc,2021-2022,13131577.91,12084751.21
csps-efpc,2017-2018,393982.48,403773.28
csps-efpc,2018-2019,573647.37,581690.70
csps-efpc,2019-2020,335478.57,334453.79
csps-efpc,2020-2021,232351.07,222010.63
csps-efpc,2021-2022,16615.06,15511.92
cta-otc,2017-2018,104829.19,107327.40
cta-otc,2018-2019,478249.22,483857.44
cta-otc,2019-2020,10808.83,10730.66
cta-otc,2020-2021,2787.90,2643.31
dfatd-maecd,2017-2018,26384662.55,27054250.39
dfatd-maecd,2018-2019,21866841.47,22188092.10
dfatd-maecd,2019-2020,20216768.53,20017000.68
dfatd-maecd,2020-2021,18805326.51,17856471.71
dfatd-maecd,2021-2022,10715266.84,9934438.27
dfo-mpo,2017-2018,9279590.29,9511949.85
dfo-mpo,2018-2019,9095504.98,9216102.63
dfo-mpo,2019-2020,7143085.63,7058034.52
dfo-mpo,2020-2021,13790724.14,13125051.15
dfo-mpo,2021-2022,4962768.93,4561785.05
dnd-mdn,2017-2018,54676993.40,56085894.07
dnd-mdn,2018-2019,53190227.01,54041680.32
dnd-mdn,2019-2020,52463735.46,51973577.90
dnd-mdn,2020-2021,58688117.80,55697690.19
dnd-mdn,2021-2022,51638469.35,47884886.22
ec,2017-2018,4599631.71,4717641.65
ec,2018-2019,3450095.14,3501414.65
ec,2019-2020,5863237.28,5792260.91
ec,2020-2021,2576793.99,2446907.46
ec,2021-2022,4519978.99,4152532.66
elections,2017-2018,2347167.39,2407149.82
elections,2018-2019,4524114.34,4584989.51
elections,2019-2020,8487444.94,8430224.64
elections,2020-2021,11454080.99,10872744.58
elections,2021-2022,4490958.32,4177147.20
esdc-edsc,2017-2018,11123386.20,11405685.23
esdc-edsc,2018-2019,4340787.28,4401739.89
esdc-edsc,2019-2020,8587317.93,8445252.43
esdc-edsc,2020-2021,11580557.51,10993857.86
esdc-edsc,2021-2022,15752652.99,14526679.24
fcac-acfc,2017-2018,236227.69,242271.58
fcac-acfc,2018-2019,231804.96,234716.97
fcac-acfc,2019-2020,233952.13,229906.47
fcac-acfc,2020-2021,48497.58,46105.21
fcac-acfc,2021-2022,45106.29,41818.86
feddevontario,2017-2018,20708.07,21281.39
feddevontario,2018-2019,61917.09,62576.73
feddevontario,2019-2020,35449.80,35182.28
feddevontario,2020-2021,37023.43,35040.78
feddevontario,2021-2022,48411.46,44074.08
fin,2017-2018,1103920.56,1131364.66
fin,2018-2019,887497.19,901097.01
fin,2019-2020,563205.03,560053.05
fin,2020-2021,428232.37,406974.78
fin,2021-2022,989537.70,918812.64
fintrac-canafe,2017-2018,174416.38,178810.19
fintrac-canafe,2018-2019,73689.79,74827.11
fintrac-canafe,2019-2020,62243.17,61954.12
fintrac-canafe,2020-2021,70879.08,67602.39
fintrac-canafe,2021-2022,26757.87,24843.21
fja-cmf,2017-2018,201845.73,207094.44
fja-cmf,2018-2019,218294.59,221689.39
fja-cmf,2019-2020,231325.93,228723.61
fja-cmf,2020-2021,187265.67,177749.26
fja-cmf,2021-2022,138405.31,128804.67
fpcc-cpac,2020-2021,163956.53,155071.85
hc-sc,2017-2018,2303248.86,2361647.67
hc-sc,2018-2019,2731763.79,2770110.64
hc-sc,2019-2020,3381374.39,3337561.02
hc-sc,2020-2021,3720451.50,3522610.34
hc-sc,2021-2022,5936086.87,5434476.13
iaac-aeic,2017-2018,525144.26,539165.62
iaac-aeic,2018-2019,570450.37,577723.09
iaac-aeic,2019-2020,146879.09,145682.64
iaac-aeic,2020-2021,91807.40,87212.41
iaac-aeic,2021-2022,59117.15,55062.40
ic,2017-2018,5815983.84,5960157.34
ic,2018-2019,6652605.01,6735679.02
ic,2019-2020,3484334.30,3445749.21
ic,2020-2021,2266977.82,2150034.00
ic,2021-2022,3617269.23,3332199.72
iic-iac,2021-2022,1065444.74,977260.73
ijc-cmi,2017-2018,47046.13,48173.52
ijc-cmi,2018-2019,153924.27,155844.68
infc,2017-2018,1024419.67,1051533.44
infc,2018-2019,179060.89,181811.53
infc,2019-2020,569793.81,562267.07
infc,2020-2021,903235.72,858955.32
infc,2021-2022,911611.55,846065.18
irb-cisr,2017-2018,84298.19,86482.63
irb-cisr,2018-2019,96239.21,97690.46
irb-cisr,2019-2020,2789563.80,2755707.34
irb-cisr,2020-2021,1044199.37,993330.23
irb-cisr,2021-2022,879366.96,815332.05
isc-sac,2017-2018,193549.66,198373.90
isc-sac,2018-2019,1011271.33,1023310.74
isc-sac,2019-2020,1772657.49,1738783.75
isc-sac,2020-2021,2344232.82,2224345.76
isc-sac,2021-2022,2241155.65,2074817.25
jus,2017-2018,5799187.08,5948628.63
jus,2018-2019,7016573.35,7119039.21
jus,2019-2020,7894462.70,7825114.68
jus,2020-2021,6102235.64,5800245.26
jus,2021-2022,4572679.01,4241065.93
lac-bac,2017-2018,363270.00,372205.08
lac-bac,2018-2019,368426.82,373646.85
lac-bac,2019-2020,381200.05,378444.12
lac-bac,2020-2021,200366.13,190501.47
lac-bac,2021-2022,265266.71,244398.73
mgerc-ceegm,2017-2018,37155.67,38031.51
mgerc-ceegm,2018-2019,49692.83,50224.76
mgerc-ceegm,2019-2020,7900.87,7831.41
mgerc-ceegm,2020-2021,33912.61,32364.64
mgerc-ceegm,2021-2022,17485.44,15987.32
mpcc-cppm,2017-2018,5886.38,6038.92
mpcc-cppm,2018-2019,5886.38,5977.92
mpcc-cppm,2019-2020,5902.51,5852.70
mpcc-cppm,2020-2021,5886.38,5596.01
mpcc-cppm,2021-2022,2806.11,2643.88
nbc-ccbn,2017-2018,38356.44,39269.38
nbc-ccbn,2018-2019,252857.56,257367.50
nbc-ccbn,2019-2020,23714.00,23444.05
nbc-ccbn,2021-2022,302557.37,276471.85
nfb-onf,2017-2018,616744.64,633671.80
nfb-onf,2018-2019,197090.10,199984.21
nfb-onf,2019-2020,1340735.16,1336942.76
nfb-onf,2020-2021,569623.40,541398.87
nfb-onf,2021-2022,157058.05,144175.41
nrc-cnrc,2017-2018,19172314.95,19647706.73
nrc-cnrc,2018-2019,11365745.68,11492408.25
nrc-cnrc,2019-2020,17759376.70,17442646.12
nrc-cnrc,2020-2021,10763197.23,10268747.63
nrc-cnrc,2021-2022,11933183.53,10996747.40
nrcan-rncan,2017-2018,5089877.26,5217765.49
nrcan-rncan,2018-2019,3570626.88,3616264.78
nrcan-rncan,2019-2020,2235229.31,2204760.58
nrcan-rncan,2020-2021,1333773.66,1264872.35
nrcan-rncan,2021-2022,1464797.43,1341010.71
nserc-crsng,2017-2018,78968.11,81044.49
nserc-crsng,2018-2019,480580.46,486680.25
nserc-crsng,2019-2020,830388.17,814570.17
nserc-crsng,2020-2021,273658.87,260403.68
nserc-crsng,2021-2022,168257.67,156504.92
nsira-ossnr,2019-2020,60265.40,59294.51
nsira-ossnr,2020-2021,48774.98,46736.85
nsira-ossnr,2021-2022,47619.90,44557.38
oag-bvg,2017-2018,259489.16,266232.11
