d_vendor_name,overall_total
CANADIAN BANK NOTE COMPANY,422105035.84
ADVANCED BUSINESS INTERIORS,48012209.27
TOTEM OFFISOURCE,24243621.17
R E GILMORE INVESTMENTS,22364802.46
SPRINGER VERLAG,20104707.08
UNITED STATES DEPARTMENT OF THE NAVY,17384101.68
TRANSCONTINENTAL PRINTING,16698083.34
EBSCO CANADA,16653858.46
GLOBAL UPHOLSTERY,16015605.43
BARGREEN ELLINGSON,14800130.40
NITAM SOLUTIONS,13895952.87
ASOKAN BUSINESS INTERIORS,11383335.70
HAWORTH,10674225.34
MEAL KIT SUPPLY CANADA,10424371.37
KONICA MINOLTA BUSINESS SOLUTIONS,10200961.84
PROQUEST,9127102.58
OPTIMUM SOLUTIONS,8914230.68
MLS OVERSEAS,8735747.11
JEMTEC,8673181.04
JOHN WILEY SONS,6784037.87
WHOOSHH INNOVATIONS,6754947.07
CARSWELL,6524812.59
GILMORE REPRODUCTIONS,6415726.60
CHEF BRANDZ,6140984.98
UNITED STATES DEPARTMENT OF THE AIR FORCE,6102765.98
RONDAR,5916728.26
"NATIONAL ARTS CENTRE",5362132.23
4 OFFICE AUTOMATION,5326144.69
EBERHARD VON HUENE ASSOCIATES,5083682.09
NUA OFFICE,4849432.61
TELECOM COMPUTER SERVICES,4711488.54
BOLESS,4550419.53
GLOBAL TOTAL OFFICE,4290693.18
DECISIVE GROUP,3079012.18
TES CONTRACT SERVICES,2784754.50
WEST COAST TUG BARGE,2497698.50
TOFCON CONSTRUCTION,2401806.20
"NAV CANADA",1955368.92
LEXISNEXIS CANADA,1928935.67
BARRON S REFRIGERATION HEATING,1898700.00
GARTNER,1816025.32
ITEX,1727677.95
SPERRA CONSTRUCTION,1609266.14
WASTE CONNECTIONS OF CANADA,1602986.57
JONELJIM CONCRETE CONSTRUCTION,1476944.71
IHS GLOBAL,1407310.70
ECLIPSYS SOLUTIONS,1342116.67
ZYCOM,1309563.94
MACDONALD DETTWILER AND ASSOCIATES,1295692.85
BELL AND HOWELL CANADA,1152104.04
SUPER CHANNEL INTERNATIONAL,1130765.25
AEROPRO,1003456.26
"NAVPOINT CONSULTING GROUP",949200.00
INTERACTIVE AUDIO VISUAL,895671.91
EMCON SERVICES,864095.61
VISIONTEC,860961.19
WESTBURY NATIONAL SHOW SYSTEMS,827511.12
LYNLEY CONTRACTING SERVICES,767000.00
NOVA NETWORKS,674878.44
3D DATACOMM,659845.43
MAISON CROSS ROADS DE LA SOCIETE,655290.76
ENTRUST,651710.54
MUNICIPAL READY MIX,645830.85
OEI KRUEGER,627506.52
WASTE MANAGEMENT OF CANADA,571662.96
PALADIN GROUP,562469.95
INTEGRA NETWORKS,542575.15
PURESPIRIT SOLUTIONS,537550.91
CBCI TELECOM,534165.17
D DOYLE INSTALLATIONS,519336.51
TENAQUIP,504755.95
LAURENTIAN TECHNOLOGIES,481955.54
MULTINATIONAL LOGISTIC SERVICES,470476.04
ACME FUTURE SECURITY CONTROLS,440122.04
ANIXTER CANADA,413268.67
"NAUT MAWT TRIBAL COUNCIL",404514.34
CANADIAN RED CROSS,402436.46
73719 NEWFOUNDLAND LABRADOR,395531.20
CTOMS,365782.49
PATTISON SIGN GROUP,361385.44
PURELOGIC,345322.99
HEWLETT PACKARD,334291.80
INTEGRATED DISTRIBUTION SYSTEMS,324685.37
CANSEL SURVEY EQUIPMENT,284448.64
FLIGHT FUELS,253762.64
SAAB,250819.26
UNIVERSITY OF OTTAWA,242565.80
ROLLING TIDES CONSTRUCTION,238995.00
JOHN HOWARD SOCIETY,225750.32
D F S,198124.40
PMB ELECTRICAL SERVICES,176680.09
KF AEROSPACE,166455.10
ACT,158252.59
VALCOM CONSULTING,149855.01
CLOSEREACH,145895.36
ST LEONARD S SOCIETY HAMILTON,133334.41
DEXTER CONSTRUCTION,128802.30
DALHOUSIE UNIVERSITY,127651.70
KINETIC CONSTRUCTION,122316.89
GAB INDUSPAC,121572.00
LES TRAITEURS BYTOWN CATERING,121433.45
STONEWORKS TECHNOLOGIES,119972.30
SALVATION ARMY,117534.75
INNOVASEA MARINE SYSTEMS CANADA,116910.07
IRONCLAD EARTHWORKS,111485.43
BAE SYSTEMS,109056.89
DASCO EQUIPMENT,105522.62
HAWBOLDT INDUSTRIES,101190.80
JIM PATTISON INDUSTRIES,101134.32
GAMBLE TECHNOLOGIES,97205.61
BANCTEC CANADA,96293.79
UNITED STATES DEPARTMENT OF THE ARMY,94933.76
GEORGE COUREY,94540.55
OSKAR CONSTRUCTION,94445.40
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,93823.84
TERVITA,93809.00
INFO TECH RESEARCH GROUP,90739.00
CHARRON HUMAN RESOURCES,87285.00
HARNOIS ENERGIES,86016.54
CARAHSOFT TECHNOLOGY,85395.71
SKILLSOFT CANADA,84891.55
UNIVERSITY OF TORONTO,81701.15
STRYKER CANADA,81227.20
PETERS CONSTRUCTION,80546.51
ISLAND CATERING,75413.60
OKANAGAN AGGREGATES,69048.00
FLOYD S CONSTRUCTION,69038.05
PROMAXIS,66438.75
GAP WIRELESS,65627.95
GARDA SECURITY GROUP,59229.45
JHT DEFENSE,58428.66
HORIZANT,54957.55
AEG FUELS,53133.02
RAPISCAN SYSTEMS,52792.33
NORTRAX CANADA,48138.00
MEDIA Q,47208.01
WPP GROUP CANADA COMMUNICATIONS,44763.15
TANKATEK,43908.98
UNIVERSITY OF GUELPH,41250.00
TROY LIFE FIRE SAFETY,41010.28
PETROVALUE PRODUCTS,40053.97
BROOKFIELD ASSET MANAGEMENT,40000.00
WARTSILA,38854.93
UNISOURCE,38656.98
BOLLORE LOGISTICS,37010.87
FORRESTER RESEARCH,32688.78
VALUE MASTER BUILDERS,28323.76
COASTAL RESTORATION MASONRY,26704.10
FAST TRACK STAFFING,25294.50
BANFIELD SEGUIN,24961.70
PETRO AIR SERVICES,24719.62
DYNACARE,24408.73
J O THOMAS ASSOCIATES,24251.64
SUBARU CANADA,24174.15
NUIX NORTH AMERICA,22867.77
BIGHORN HELICOPTERS,22627.54
CUMMINS CANADA,20543.25
LLOYD LIBKE LAW ENFORCEMENT SALES,19933.20
COLUMBIA FUELS,19883.72
DELCO AUTOMATION,19790.37
BRUKER,17936.10
PROSCI CANADA,17566.30
MARITIME FENCE,16974.00
CLICK NETWORKS,16521.31
CAMPBELL SCIENTIFIC CANADA,15203.14
SUN LIFE ASSURANCE COMPANY,15199.07
G4S SECURITY SERVICES,15107.95
WEATHERHAVEN CANADA,14908.81
DLS TECHNOLOGY,13911.53
DIAMOND AND SCHMITT ARCHITECTS,13560.00
SERCO,13498.66
SYSTEMS FOR RESEARCH,13277.50
ONX ENTERPRISE SOLUTIONS,12906.52
HOSKIN SCIENTIFIC,11275.14
ZENITH PAVING,11270.70
JOHNSON CONTROLS CANADA,11206.98
MEGA TECH,10694.25
ENTREPRISE CLAVEAU,10117.80
PANASONIC,10042.88
LOCATION DE MOTONEIGES HAUTE MATAWINIE,10002.83
DILIGENS,6554.92
NORTHERN CONSTRUCTION,3074.67
CONVERGINT TECHNOLOGIES,2824.72
LEONARDO,807.10
GENERAL ELECTRIC CANADA,111.10
