owner_org,d_fiscal_year,total
aafc-aac,2017-2018,37439126.89
aafc-aac,2018-2019,42779719.03
aafc-aac,2019-2020,42862596.61
aafc-aac,2020-2021,40193998.52
aandc-aadnc,2017-2018,6134914.07
aandc-aadnc,2018-2019,5898456.77
aandc-aadnc,2019-2020,3364833.01
aandc-aadnc,2020-2021,1844974.73
acoa-apeca,2017-2018,1573244.44
acoa-apeca,2018-2019,1054257.88
acoa-apeca,2019-2020,655905.94
acoa-apeca,2020-2021,971315.37
atssc-scdata,2017-2018,4053246.25
atssc-scdata,2018-2019,4996511.52
atssc-scdata,2019-2020,5268371.75
atssc-scdata,2020-2021,5816343.49
cannor,2017-2018,70304.67
cannor,2018-2019,193084.95
cannor,2019-2020,25138.6
cannor,2020-2021,2560.48
cas-satj,2017-2018,755307.47
cas-satj,2018-2019,1290940.96
cas-satj,2019-2020,4844960.93
cas-satj,2020-2021,4079212.34
casdo-ocena,2020-2021,31698.6
cbsa-asfc,2017-2018,92410757.87
cbsa-asfc,2018-2019,79901275.71
cbsa-asfc,2019-2020,133460920.35
cbsa-asfc,2020-2021,147616098.98
ccohs-cchst,2017-2018,3824.58
ccohs-cchst,2018-2019,27698.35
ccohs-cchst,2019-2020,51965.5
ccohs-cchst,2020-2021,66053.59
ced-dec,2017-2018,684000.62
ced-dec,2018-2019,760516.98
ced-dec,2019-2020,996845.86
ced-dec,2020-2021,1268964.23
cer-rec,2017-2018,5591511.1
cer-rec,2018-2019,2929473.1
cer-rec,2019-2020,1834843.38
cer-rec,2020-2021,1633659.84
cfia-acia,2017-2018,18547303.35
cfia-acia,2018-2019,20873860.09
cfia-acia,2019-2020,11412472.07
cfia-acia,2020-2021,9013418.06
cgc-ccg,2017-2018,201051.73
cgc-ccg,2018-2019,288346.94
cgc-ccg,2019-2020,546144.64
cgc-ccg,2020-2021,496176.6
chrc-ccdp,2017-2018,86035.57
chrc-ccdp,2018-2019,154673.01
chrc-ccdp,2019-2020,73251.43
chrc-ccdp,2020-2021,262075.76
cic,2017-2018,100064630.19
cic,2018-2019,105148600.52
cic,2019-2020,174228619.98
cic,2020-2021,195553814.39
cics-scic,2017-2018,47117.88
cics-scic,2018-2019,272771.46
cics-scic,2019-2020,175447.41
cics-scic,2020-2021,60943.11
cihr-irsc,2017-2018,317563.87
cihr-irsc,2018-2019,218829.24
cihr-irsc,2019-2020,137511.5
cihr-irsc,2020-2021,66426
cnsc-ccsn,2017-2018,5760985.02
cnsc-ccsn,2018-2019,4973583.36
cnsc-ccsn,2019-2020,4138133.57
cnsc-ccsn,2020-2021,3185022.67
cpc-cpp,2017-2018,118239.72
cpc-cpp,2018-2019,196408.86
cpc-cpp,2019-2020,412129.98
cpc-cpp,2020-2021,251988.52
cra-arc,2017-2018,NA
cra-arc,2018-2019,58488833.55
cra-arc,2019-2020,68687987.53
cra-arc,2020-2021,89097824.44
crtc,2017-2018,49884.04
crtc,2018-2019,136995.34
crtc,2019-2020,237040.01
crtc,2020-2021,26655.82
csa-asc,2017-2018,2218249.81
csa-asc,2018-2019,1507684.6
csa-asc,2019-2020,1506605.06
csa-asc,2020-2021,1733429.39
csc-scc,2017-2018,40665109.14
csc-scc,2018-2019,36726965.13
csc-scc,2019-2020,33743343.76
csc-scc,2020-2021,44960498.64
csps-efpc,2017-2018,1924259.39
csps-efpc,2018-2019,1788782.41
csps-efpc,2019-2020,988134.16
csps-efpc,2020-2021,653850.24
cta-otc,2017-2018,580802.46
cta-otc,2018-2019,916302.59
cta-otc,2019-2020,611670.56
cta-otc,2020-2021,593098.67
dfatd-maecd,2017-2018,78155807.78
dfatd-maecd,2018-2019,78955178.61
dfatd-maecd,2019-2020,58427165.07
dfatd-maecd,2020-2021,48989585.35
dfo-mpo,2017-2018,39988492.84
dfo-mpo,2018-2019,38369281.79
dfo-mpo,2019-2020,40176278.66
dfo-mpo,2020-2021,46859396.8
dnd-mdn,2017-2018,410467823.99
dnd-mdn,2018-2019,525556076.11
dnd-mdn,2019-2020,464686013.9
dnd-mdn,2020-2021,438018987.5
ec,2017-2018,15623691.93
ec,2018-2019,13168642.8
ec,2019-2020,16384672.19
ec,2020-2021,14375300.99
elections,2017-2018,2837476.72
elections,2018-2019,5225521.35
elections,2019-2020,10295561.98
elections,2020-2021,11864656.26
erc-cee,2019-2020,5209.81
erc-cee,2020-2021,86955.19
esdc-edsc,2017-2018,79508975.15
esdc-edsc,2018-2019,82115788.08
esdc-edsc,2019-2020,84523407.66
esdc-edsc,2020-2021,95885633.53
fcac-acfc,2017-2018,811984.69
fcac-acfc,2018-2019,1120424.77
fcac-acfc,2019-2020,1119188.41
fcac-acfc,2020-2021,1566373.17
feddevontario,2017-2018,20708.07
feddevontario,2018-2019,97221.72
feddevontario,2019-2020,115254.89
feddevontario,2020-2021,52329.59
fin,2017-2018,3229186.66
fin,2018-2019,2572975.14
fin,2019-2020,2032309.94
fin,2020-2021,1574894.93
fintrac-canafe,2017-2018,213236.89
fintrac-canafe,2018-2019,304884.31
fintrac-canafe,2019-2020,350969.3
fintrac-canafe,2020-2021,498063.26
fja-cmf,2017-2018,1813937.45
fja-cmf,2018-2019,1052327.52
fja-cmf,2019-2020,948223
fja-cmf,2020-2021,737219.67
fpcc-cpac,2020-2021,163956.53
hc-sc,2017-2018,12007978.08
hc-sc,2018-2019,13861042.24
hc-sc,2019-2020,10009251.4
hc-sc,2020-2021,8042190.68
iaac-aeic,2017-2018,539680.04
iaac-aeic,2018-2019,765968.96
iaac-aeic,2019-2020,1219484.91
iaac-aeic,2020-2021,857789.96
ic,2017-2018,41065633.76
ic,2018-2019,42829343
ic,2019-2020,39452690.85
ic,2020-2021,44286631.73
iic-iac,2020-2021,6958.13
ijc-cmi,2017-2018,87387.13
ijc-cmi,2018-2019,153924.27
ijc-cmi,2019-2020,39882.04
ijc-cmi,2020-2021,92543.52
infc,2017-2018,1180193.28
infc,2018-2019,518513.28
infc,2019-2020,621816.71
infc,2020-2021,919680.49
irb-cisr,2017-2018,808103.23
