d_vendor_name,overall_total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,5391927775.42
PCL CONSTRUCTORS,2154084283.12
VANCOUVER SHIPYARDS,1225996200.39
POMERLEAU,820586669.38
SIGNATURE SUR LE SAINT LAURENT,722894981.98
MACDONALD DETTWILER AND ASSOCIATES,416306814.73
KF AEROSPACE,404786130.63
MAPLE REINDERS CONSTRUCTORS,392434935.05
WEIR CANADA,208006586.20
PETER KIEWIT SONS,196982619.67
RAYTHEON,142633605.40
SERCO,137829304.20
PETERS CONSTRUCTION,105765163.10
COMPUTERSHARE INVESTOR SERVICES,104529545.11
OKANAGAN AGGREGATES,101518932.57
DEXTER CONSTRUCTION,95841904.13
LEONARDO,92225131.63
WHITE BEAR INDUSTRIES,76014286.31
EBC,75520292.96
TISSEUR,74685435.29
FLEETWAY,67992845.98
EIFFAGE INNOVATIVE CANADA,63969690.85
SELEX,61385778.55
BOLESS,60275133.93
SANTE MONTFORT,57949831.95
GREENFIELD CONSTRUCTION,56729243.16
GREEN TIMBERS PARTNERSHIP,55487675.91
SQUAMISH INDIAN BAND,54982211.42
BIRD CONSTRUCTION COMPANY,54614892.04
COLLIERS PROJECT LEADERS,53415062.82
MAXIM 2000,53413580.69
WINMAR CANADA INTERNATIONAL,53100000.00
QINETIQ,50916274.36
LOUIS W BRAY CONSTRUCTION,50393331.45
CONSTRUCTION DEMATHIEU BARD,50290389.48
AMERESCO CANADA,50031688.36
KINETIC CONSTRUCTION,50023230.71
PENN CONSTRUCTION CANADA,48684224.16
CEGERCO,48412915.23
ENMAX,47623537.42
GDI SERVICES,47463121.82
BMT FLEET TECHNOLOGY,47056085.63
ARCHITECTURE 49,46997116.30
HAMEL CONSTRUCTION,46733828.96
GRAHAM CONSTRUCTION,45886647.94
CONSTRUCTION LFG,43906265.12
GROUPE GEYSER,42059721.71
DECAREL,41113410.00
IMPERIAL CLEANERS,40405001.26
RJG CONSTRUCTION,40319021.83
KNAPPETT INDUSTRIES,39743217.47
DEXTERRA,39012498.88
SOUTHWEST RESEARCH INSTITUTE,38900335.37
ARCHITECTURE EVOQ,38012978.59
CON PRO INDUSTRIES CANADA,36645924.18
SCANSA CONSTRUCTION,36323276.83
ENTREPRISE DE CONSTRUCTION T E Q,34885108.60
METRO PAVING AND ROAD BUILDING,34744763.49
ROSCOE CONSTRUCTION,33178427.65
CONSTRUCTION CYBCO,33112031.64
TALIGENT CONSULTING,32685032.13
WILCO CONTRACTORS SOUTHWEST,31371015.05
QUINAN CONSTRUCTION,30843665.26
BUTTCON EAST,30276323.51
QUOREX CONSTRUCTION SERVICES,29767275.78
ST DENIS THOMPSON,29403888.54
MCNALLY CONSTRUCTION,29061097.15
PROMAXIS,28711893.82
J W LINDSAY ENTERPRISES,28656614.67
HAZELWOOD CONSTRUCTION SERVICES,28307309.53
AMAN BUILDERS,28279274.17
DRS SUSTAINMENT SYSTEMS DRS SSI,28233849.40
PENNECON,28160864.24
LLOYD S REGISTER CANADA,27770105.31
AVONDALE CONSTRUCTION,27769000.03
J 1 CONTRACTING,27712610.73
LEC ENGINEERING CONTRACTING,26704487.43
WILDSTONE CONSTRUCTION,26637395.50
LES ENTREPRISES P E C,26558085.69
COREBUILD CONSTRUCTION,26457050.83
EMMONS MITCHELL CONSTRUCTION,26226111.70
ZUTPHEN CONTRACTOR,26147005.28
JOHNSON S CONSTRUCTION,25989357.04
PARSONS CANADA,25339285.64
EMIL ANDERSON CONSTRUCTION,25027872.78
PYLON ELECTRONICS,24626064.27
DAWSON CONSTRUCTION,24225185.86
SITE ENERGY SERVICES,23904367.18
