d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
7305516 CANADA,2017-2018,5121800.11,5230411.77
736902 ONTARIO,2017-2018,320119.51,326054.69
736902 ONTARIO,2018-2019,331221.93,334432.75
851791 NWT,2017-2018,102621.23,104670.36
9275 0181 QUEBEC,2017-2018,15261.78,15699.60
9275 0181 QUEBEC,2019-2020,726645.45,724297.71
ABB,2017-2018,31114851.51,32153199.41
ABB,2018-2019,5672049.14,5744383.30
ABB,2019-2020,5780609.33,5769050.14
ABB,2020-2021,7300574.96,7106611.93
ABB,2021-2022,6543280.23,4884614.30
ABCO INDUSTRIES,2021-2022,6157116.59,3464322.26
ACADIAN DREDGING,2017-2018,389188.75,402983.25
ACADIAN DREDGING,2018-2019,364473.33,369087.69
ACADIAN DREDGING,2019-2020,1201021.67,1198153.47
ACADIAN DREDGING,2020-2021,1276902.50,1264144.32
ACADIAN DREDGING,2021-2022,1950367.60,1395079.80
ACKLANDS GRAINGER,2017-2018,11863.37,12137.50
ACKLANDS GRAINGER,2020-2021,90813.14,87036.84
ACKLANDS GRAINGER,2021-2022,58079.18,39155.28
ADVANCED BUSINESS INTERIORS,2020-2021,10922.63,10779.95
ADVANCED BUSINESS INTERIORS,2021-2022,47865.45,29187.40
AECOM,2018-2019,38747.70,39238.30
AECOM,2020-2021,185433.00,178295.57
AECOM,2021-2022,147465.00,100649.02
AEG FUELS,2020-2021,43286.36,41928.75
AEG FUELS,2021-2022,59174.24,44951.15
AERO FEU,2020-2021,0.00,0.00
AERO SUPPLIES,2017-2018,666744.59,684289.03
AERO SUPPLIES,2018-2019,668524.40,677613.19
AERO SUPPLIES,2019-2020,1879488.37,1877047.73
AERO SUPPLIES,2020-2021,1868062.44,1822944.49
AERO SUPPLIES,2021-2022,3210289.45,2256856.78
AFN ENGINEERING,2017-2018,538657.07,552178.26
AFN ENGINEERING,2018-2019,629907.49,638854.38
AFN ENGINEERING,2019-2020,1363272.51,1360651.90
AFN ENGINEERING,2020-2021,567318.00,556028.38
AFN ENGINEERING,2021-2022,344528.50,233463.23
AIR INUIT,2017-2018,38639.03,39970.78
AIR INUIT,2018-2019,344300.25,347952.88
AIR INUIT,2019-2020,67141.77,66852.99
AIR INUIT,2021-2022,53010.96,48412.48
AIR LIQUIDE CANADA,2021-2022,105483.59,86861.47
AIR TINDI,2017-2018,877702.42,897612.64
AIR TINDI,2018-2019,817636.34,826602.19
AIR TINDI,2019-2020,1242438.77,1240976.01
AIR TINDI,2020-2021,931664.23,910053.80
AIR TINDI,2021-2022,1474999.46,932206.47
AIRBUS,2017-2018,9136384.12,9364324.94
AIRBUS,2018-2019,9035430.54,9158070.85
AIRBUS,2019-2020,811075.94,810369.22
AIRBUS,2020-2021,851114.29,836728.78
AIRBUS,2021-2022,981451.40,765224.75
ALLIED SHIPBUILDERS,2017-2018,7317942.85,7483157.90
ALLIED SHIPBUILDERS,2018-2019,10281838.54,10415649.41
ALLIED SHIPBUILDERS,2019-2020,7289819.93,7250032.55
ALLIED SHIPBUILDERS,2020-2021,8425142.22,8074398.92
ALLIED SHIPBUILDERS,2021-2022,14617425.34,11086758.47
ALPINE AEROTECH,2017-2018,539018.16,549102.92
ALPINE AEROTECH,2018-2019,1134189.78,1150270.00
ALPINE AEROTECH,2019-2020,1831843.07,1831736.58
ALPINE AEROTECH,2020-2021,551455.33,540402.51
ALPINE AEROTECH,2021-2022,1493865.50,251908.52
ALPINE HELICOPTERS,2017-2018,3650591.98,3759242.15
ALPINE HELICOPTERS,2018-2019,1506516.16,1521287.57
ALPINE HELICOPTERS,2019-2020,603450.13,602769.26
ALPINE HELICOPTERS,2020-2021,1153402.86,1121816.10
ALPINE HELICOPTERS,2021-2022,1640223.76,1078083.29
ALTIS HUMAN RESOURCES,2017-2018,10500.00,10688.72
ALTIS HUMAN RESOURCES,2020-2021,19349.70,18289.56
ALTIS HUMAN RESOURCES,2021-2022,39324.00,35592.65
ALVA CONSTRUCTION,2017-2018,2906214.99,2979659.97
AMAZON,2019-2020,13661.20,13679.93
AMAZON,2020-2021,4986338.80,4881564.53
AMERICAN BUREAU OF SHIPPING,2018-2019,179222.53,182795.52
AMERICAN BUREAU OF SHIPPING,2019-2020,123179.53,123125.11
AMERICAN BUREAU OF SHIPPING,2020-2021,613419.78,588511.34
AMERICAN BUREAU OF SHIPPING,2021-2022,328585.86,192416.75
ANIXTER CANADA,2017-2018,24498.07,24918.88
ANIXTER CANADA,2020-2021,28689.40,27117.55
ANIXTER CANADA,2021-2022,10788.44,0.00
APRON FUEL SERVICES,2017-2018,474815.61,484930.67
APRON FUEL SERVICES,2018-2019,668810.22,676896.86
APRON FUEL SERVICES,2019-2020,405217.65,405008.52
APRON FUEL SERVICES,2020-2021,168914.26,164913.63
APRON FUEL SERVICES,2021-2022,285940.06,159679.77
ARI FINANCIAL SERVICES,2017-2018,2277461.29,2336277.41
ARI FINANCIAL SERVICES,2018-2019,2604932.06,2638763.93
ARI FINANCIAL SERVICES,2019-2020,2901644.04,2895896.26
ARI FINANCIAL SERVICES,2020-2021,2191418.75,2140531.59
ARI FINANCIAL SERVICES,2021-2022,1936339.55,1424995.02
ASC GERMANY,2018-2019,248046.76,250314.27
ASC GERMANY,2019-2020,37572.98,37597.06
ASC GERMANY,2020-2021,1074572.79,1032987.30
ASC GERMANY,2021-2022,36723.44,27218.84
ASOKAN BUSINESS INTERIORS,2019-2020,29329.83,29300.79
ASOKAN BUSINESS INTERIORS,2020-2021,102754.06,102477.11
ASOKAN BUSINESS INTERIORS,2021-2022,11869.20,10427.11
ATCO,2017-2018,16293.17,16854.74
ATCO,2018-2019,67409.95,67999.63
ATCO,2019-2020,57257.84,57231.72
ATCO,2020-2021,17018.23,16795.92
ATCO,2021-2022,92762.29,70364.30
ATLANTIC BUSINESS INTERIORS,2020-2021,29904.00,28265.60
ATLANTIC BUSINESS INTERIORS,2021-2022,16170.00,8411.64
ATLANTIC TOWING,2018-2019,14769875.74,14994763.15
ATLANTIC TOWING,2019-2020,27028872.61,26973510.38
ATLANTIC TOWING,2020-2021,30345022.10,29619073.71
ATLANTIC TOWING,2021-2022,18564165.07,16763923.13
ATLANTICA MECHANICAL CONTRACTORS,2017-2018,20192.52,20539.38
ATLANTICA MECHANICAL CONTRACTORS,2018-2019,17004.23,17184.62
ATWILL MORIN,2017-2018,1136503.61,1170590.57
AV NUNAVUT FUELS,2021-2022,6638058.75,4824023.04
AVI SPL CANADA,2018-2019,3992.96,4034.85
AVI SPL CANADA,2019-2020,61208.50,61083.13
AVJET HOLDING,2017-2018,452852.92,464064.81
AVJET HOLDING,2018-2019,599250.68,606950.96
AVJET HOLDING,2019-2020,633994.21,632712.37
AVJET HOLDING,2021-2022,83814.16,13933.84
AVMAX AVIATION SERVICES,2017-2018,49687.36,50656.13
