owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,5706939.76,5883253.98
aafc-aac,2018-2019,4351629.13,4435001.71
aafc-aac,2019-2020,4302165.44,4266464.43
aafc-aac,2020-2021,4536860.11,4320583.58
aafc-aac,2021-2022,4613425.30,4286595.17
aafc-aac,2022-2023,4437247.28,3970099.46
aandc-aadnc,2017-2018,1457824.46,1503022.26
aandc-aadnc,2018-2019,118033.58,120390.98
aandc-aadnc,2019-2020,90793.51,90033.82
aandc-aadnc,2020-2021,87708.80,83417.11
aandc-aadnc,2021-2022,150551.45,140029.46
aandc-aadnc,2022-2023,146019.62,130658.96
acoa-apeca,2021-2022,26834.31,24425.62
atssc-scdata,2017-2018,13546.71,13965.45
atssc-scdata,2018-2019,38416.56,39146.21
atssc-scdata,2019-2020,22576.38,22393.88
atssc-scdata,2020-2021,16950.00,16180.21
atssc-scdata,2021-2022,13221.00,12291.90
atssc-scdata,2022-2023,30510.00,27261.39
cas-satj,2017-2018,3737718.35,3852309.21
cas-satj,2018-2019,4400260.69,4483890.21
cas-satj,2019-2020,4216541.22,4180167.89
cas-satj,2020-2021,5678743.48,5426892.42
cas-satj,2021-2022,4555911.90,4230799.60
cas-satj,2022-2023,6956313.89,6239492.52
cbsa-asfc,2017-2018,20620939.89,21257302.46
cbsa-asfc,2018-2019,25967833.66,26462361.58
cbsa-asfc,2019-2020,29476744.74,29245456.88
cbsa-asfc,2020-2021,25296698.97,24094391.39
cbsa-asfc,2021-2022,16056653.89,14937633.38
cbsa-asfc,2022-2023,18761063.35,16748877.69
ced-dec,2017-2018,88364.72,91096.11
ced-dec,2018-2019,97324.49,99044.07
ced-dec,2019-2020,151431.06,150223.10
ced-dec,2020-2021,187923.18,178963.13
ced-dec,2021-2022,233955.21,217514.16
ced-dec,2022-2023,275890.97,246822.00
cer-rec,2017-2018,458878.08,472662.43
cer-rec,2018-2019,106212.41,108499.75
cer-rec,2019-2020,17607.07,17504.34
cfia-acia,2017-2018,1452501.62,1497351.09
cfia-acia,2018-2019,1521997.41,1551421.02
cfia-acia,2019-2020,1606936.32,1593809.91
cfia-acia,2020-2021,1694376.12,1614317.04
cfia-acia,2021-2022,1769837.68,1643837.50
cfia-acia,2022-2023,3404916.59,3051669.85
cgc-ccg,2017-2018,7565.30,7798.47
cgc-ccg,2018-2019,9083.34,9257.41
cgc-ccg,2019-2020,1518.04,1522.74
cic,2017-2018,4481379.80,4619821.70
cic,2018-2019,5326228.13,5428851.93
cic,2019-2020,6438803.20,6387363.93
cic,2020-2021,11402371.50,10855921.43
cic,2021-2022,18765752.93,17382289.18
cic,2022-2023,38649493.40,34510414.12
cics-scic,2019-2020,14487.96,14157.27
cihr-irsc,2017-2018,427318.00,440371.98
cihr-irsc,2018-2019,393935.84,401484.89
cihr-irsc,2019-2020,403891.98,400670.14
cihr-irsc,2020-2021,410795.64,391209.19
cihr-irsc,2021-2022,283826.21,263880.51
cihr-irsc,2022-2023,295112.85,264068.21
cnsc-ccsn,2017-2018,672220.15,693000.84
cnsc-ccsn,2018-2019,701963.78,715567.46
cnsc-ccsn,2019-2020,603571.61,599085.19
cnsc-ccsn,2020-2021,368894.29,351705.24
cnsc-ccsn,2021-2022,409922.01,381107.87
cnsc-ccsn,2022-2023,283932.41,254063.91
cra-arc,2017-2018,2539263.19,2622313.00
cra-arc,2018-2019,352995.68,359177.39
cra-arc,2019-2020,391116.02,389229.79
cra-arc,2020-2021,1394165.15,1329227.51
cra-arc,2021-2022,1579670.69,1468913.13
cra-arc,2022-2023,1040763.25,931782.20
crtc,2020-2021,92363.39,87860.74
crtc,2021-2022,57319.40,52238.86
csa-asc,2017-2018,2332628.56,2404732.62
csa-asc,2018-2019,2272797.01,2316350.94
csa-asc,2019-2020,2394167.59,2375121.90
csa-asc,2020-2021,2427826.59,2312241.87
csa-asc,2021-2022,4312138.35,3905456.47
csa-asc,2022-2023,458146.64,409951.54
csc-scc,2017-2018,17859677.25,18407663.66
csc-scc,2018-2019,16796568.79,17110185.68
csc-scc,2019-2020,13863459.98,13745362.08
csc-scc,2020-2021,22326501.39,21292132.30
csc-scc,2021-2022,17110541.96,15898437.35
csc-scc,2022-2023,21853421.95,19539126.84
csps-efpc,2017-2018,13730.90,14145.94
csps-efpc,2018-2019,56687.12,57529.79
csps-efpc,2019-2020,31844.07,31621.03
csps-efpc,2020-2021,32446.75,30899.71
csps-efpc,2021-2022,32446.75,30166.58
csps-efpc,2022-2023,14371.88,12860.02
cta-otc,2021-2022,56178.71,51659.42
cta-otc,2022-2023,290957.99,260350.43
dfatd-maecd,2017-2018,33758052.03,34795647.20
dfatd-maecd,2018-2019,50308543.76,51363256.17
dfatd-maecd,2019-2020,21931273.19,21829087.86
dfatd-maecd,2020-2021,7826483.27,7452850.16
dfatd-maecd,2021-2022,7646651.70,7108479.38
dfatd-maecd,2022-2023,6755185.32,6044017.76
dfo-mpo,2017-2018,5771289.18,5950243.17
dfo-mpo,2018-2019,11736793.48,11977383.27
dfo-mpo,2019-2020,9553260.18,9486387.01
dfo-mpo,2020-2021,8415007.37,8002486.54
dfo-mpo,2021-2022,11448326.36,10641100.94
dfo-mpo,2022-2023,14068030.78,12578957.22
dnd-mdn,2017-2018,51608263.08,53178022.07
dnd-mdn,2018-2019,83686745.02,85288591.49
dnd-mdn,2019-2020,94758928.12,93923248.83
dnd-mdn,2020-2021,182675423.60,173864800.65
dnd-mdn,2021-2022,200927421.95,186509539.28
dnd-mdn,2022-2023,239144057.08,213989535.79
ec,2017-2018,3511051.55,3619466.95
ec,2018-2019,808628.36,824575.50
ec,2019-2020,4054901.89,4017215.18
ec,2020-2021,3870263.62,3681108.19
ec,2021-2022,3297540.68,3061379.45
ec,2022-2023,5613524.65,5008243.14
elections,2017-2018,116608.49,120141.92
elections,2018-2019,143474.41,146332.81
elections,2019-2020,526459.96,522649.10
elections,2020-2021,102668.43,97787.00
elections,2021-2022,75216.85,69770.01
elections,2022-2023,116412.22,104166.15
esdc-edsc,2017-2018,8062794.99,8311994.95
esdc-edsc,2018-2019,7942123.80,8084646.76
esdc-edsc,2019-2020,7965367.00,7899392.93
esdc-edsc,2020-2021,24672520.20,23504770.66
esdc-edsc,2021-2022,38893736.28,36152501.61
esdc-edsc,2022-2023,45134109.44,40384631.01
feddevontario,2018-2019,41964.76,42740.86
feddevontario,2019-2020,47931.71,47549.36
feddevontario,2020-2021,48667.83,46347.38
feddevontario,2021-2022,51658.36,48028.10
feddevontario,2022-2023,53955.69,48279.78
fin,2022-2023,39550.00,35112.88
fintrac-canafe,2018-2019,214525.69,218636.68
fintrac-canafe,2019-2020,217274.20,215541.01
fintrac-canafe,2020-2021,131499.80,124218.59
hc-sc,2017-2018,3770688.68,3887104.53
hc-sc,2018-2019,3612769.10,3681545.12
hc-sc,2019-2020,3847387.87,3814181.03
hc-sc,2020-2021,5228671.09,4980404.06
hc-sc,2021-2022,6661094.74,6190710.81
hc-sc,2022-2023,8243696.07,7376833.88
iaac-aeic,2019-2020,15468.34,15115.27
ic,2017-2018,2759000.49,2844265.46
ic,2018-2019,2846459.58,2900961.32
ic,2019-2020,2832285.00,2809686.40
ic,2020-2021,2598624.61,2474726.46
ic,2021-2022,2863730.30,2662332.97
ic,2022-2023,3198486.08,2861547.51
iic-iac,2021-2022,16650.00,15051.33
iic-iac,2022-2023,103889.62,93431.58
infc,2017-2018,110926.43,114355.19
infc,2018-2019,307344.46,312907.76
infc,2019-2020,388029.58,384934.28
infc,2020-2021,426004.07,405692.48
infc,2021-2022,351715.67,326999.09
infc,2022-2023,358600.22,320949.86
irb-cisr,2019-2020,1995648.50,1979274.90
irb-cisr,2020-2021,2559345.21,2439317.80
irb-cisr,2021-2022,2645462.85,2459474.08
irb-cisr,2022-2023,31000415.38,27685223.74
isc-sac,2018-2019,51323.86,52307.39
isc-sac,2020-2021,837877.04,796162.55
isc-sac,2021-2022,1548072.37,1435139.44
isc-sac,2022-2023,1933414.33,1728539.24
jus,2017-2018,2866624.88,2955225.19
jus,2018-2019,3134874.28,3194399.08
jus,2019-2020,3363020.62,3336031.28
jus,2020-2021,3488855.87,3322510.94
jus,2021-2022,3446337.50,3204079.90
jus,2022-2023,3507534.98,3137967.19
lac-bac,2017-2018,273866.73,282331.84
lac-bac,2018-2019,41270.71,42220.60
lac-bac,2019-2020,43965.93,43615.21
lac-bac,2020-2021,2036258.10,1939170.70
lac-bac,2021-2022,2065656.94,1920494.27
lac-bac,2022-2023,2131598.92,1907243.91
mgerc-ceegm,2017-2018,15211.71,15648.91
nbc-ccbn,2017-2018,555770.00,572949.45
nbc-ccbn,2018-2019,524014.33,534056.09
nbc-ccbn,2019-2020,608746.67,604367.56
nbc-ccbn,2020-2021,568896.00,541771.43
nbc-ccbn,2021-2022,595530.00,553679.52
nbc-ccbn,2022-2023,595530.00,532882.74
nrc-cnrc,2017-2018,3654414.97,3767360.94
nrc-cnrc,2018-2019,3493818.16,3560064.97
nrc-cnrc,2019-2020,3788201.21,3754166.55
nrc-cnrc,2020-2021,4242509.44,4041695.41
nrc-cnrc,2021-2022,4707748.29,4374773.69
nrc-cnrc,2022-2023,4881254.69,4366959.25
nrcan-rncan,2017-2018,3956355.90,4078550.94
nrcan-rncan,2018-2019,4243618.81,4322452.10
nrcan-rncan,2019-2020,4211404.81,4174052.91
nrcan-rncan,2020-2021,4073022.03,3880904.34
nrcan-rncan,2021-2022,4540361.16,4210028.75
nrcan-rncan,2022-2023,4853312.81,4326911.83
nserc-crsng,2017-2018,58086.61,59882.13
nserc-crsng,2018-2019,60144.93,61297.50
nserc-crsng,2020-2021,137780.18,131169.97
nserc-crsng,2021-2022,133396.76,124022.39
nserc-crsng,2022-2023,160347.36,143142.59
nsira-ossnr,2022-2023,289430.07,258806.47
oag-bvg,2020-2021,12995.00,12375.41
oag-bvg,2021-2022,16950.00,15758.85
ocl-cal,2020-2021,4856.68,4637.34
ocl-cal,2021-2022,6446.14,5993.14
ocl-cal,2022-2023,6446.14,5768.03
ocol-clo,2017-2018,23228.64,23946.66
ocol-clo,2018-2019,26388.07,26892.10
ocol-clo,2019-2020,27028.89,26813.28
ocol-clo,2020-2021,27035.10,25746.08
ocol-clo,2022-2023,29208.80,26121.83
oic-ci,2020-2021,16799.74,16018.11
oic-ci,2021-2022,13210.05,12456.74
opc-cpvp,2018-2019,20878.41,21309.76
opc-cpvp,2019-2020,17106.04,16969.58
osfi-bsif,2017-2018,42380.62,43590.95
osfi-bsif,2018-2019,320629.02,327006.69
osfi-bsif,2019-2020,269133.68,267036.27
osfi-bsif,2020-2021,370242.21,352765.67
osfi-bsif,2021-2022,633052.80,583833.75
osfi-bsif,2022-2023,746228.77,666335.91
pbc-clcc,2018-2019,149327.60,152099.32
pbc-clcc,2019-2020,167844.10,166505.21
pbc-clcc,2020-2021,171416.04,163239.31
pbc-clcc,2021-2022,3312.01,3079.26
pbc-clcc,2022-2023,15166.51,13511.63
pc,2017-2018,3287099.15,3389839.44
pc,2018-2019,2995978.28,3057956.47
pc,2019-2020,2825890.57,2800270.70
pc,2020-2021,2596672.00,2476644.61
pc,2021-2022,3328901.43,3097976.11
pc,2022-2023,2865972.14,2564487.52
pch,2017-2018,1748723.21,1801507.44
pch,2018-2019,943635.13,961214.73
pch,2019-2020,880150.31,874521.10
pch,2020-2021,390477.24,370625.78
pch,2021-2022,518899.22,475686.15
pch,2022-2023,1168817.13,1047108.03
pco-bcp,2017-2018,3201846.87,3300776.52
pco-bcp,2018-2019,3391151.07,3456012.37
pco-bcp,2019-2020,4114303.64,4081312.94
pco-bcp,2020-2021,2591174.94,2467542.32
pco-bcp,2021-2022,3007127.03,2793282.55
pco-bcp,2022-2023,3331393.65,2980032.29
phac-aspc,2018-2019,184284.02,187815.48
phac-aspc,2019-2020,2132816.49,2084301.14
phac-aspc,2020-2021,39026331.71,37037763.54
phac-aspc,2021-2022,71859165.74,67047414.20
phac-aspc,2022-2023,19093974.11,17187228.32
ppsc-sppc,2017-2018,656800.15,677039.89
ppsc-sppc,2018-2019,1053674.45,1073689.58
ppsc-sppc,2019-2020,1041445.61,1033069.27
ppsc-sppc,2020-2021,1036426.48,987311.79
ppsc-sppc,2021-2022,1188743.40,1105205.24
ppsc-sppc,2022-2023,1190329.37,1064742.19
prairiescan,2022-2023,11025.00,9865.22
ps-sp,2017-2018,104915.11,108158.15
ps-sp,2018-2019,283046.08,287585.41
ps-sp,2019-2020,254795.72,252577.88
ps-sp,2020-2021,271893.02,258642.03
ps-sp,2021-2022,128463.99,120084.42
ps-sp,2022-2023,30765.87,27527.28
psc-cfp,2017-2018,8940.89,9199.43
psc-cfp,2018-2019,22352.23,22780.57
psc-cfp,2019-2020,22413.47,22234.68
pwgsc-tpsgc,2017-2018,36969925.77,38110924.53
pwgsc-tpsgc,2018-2019,36063992.56,36764610.27
pwgsc-tpsgc,2019-2020,35718237.76,35421326.12
pwgsc-tpsgc,2020-2021,30103162.38,28674791.24
pwgsc-tpsgc,2021-2022,30742120.45,28561048.06
pwgsc-tpsgc,2022-2023,28094202.55,25122081.59
rcmp-grc,2017-2018,75471512.62,77797343.67
rcmp-grc,2018-2019,83314320.02,84966228.54
rcmp-grc,2019-2020,77811156.12,77183223.55
rcmp-grc,2020-2021,53888955.05,51252113.12
rcmp-grc,2021-2022,76370252.55,70956862.63
rcmp-grc,2022-2023,82902901.25,74164783.27
sirc-csars,2017-2018,9612.68,9917.37
ssc-spc,2017-2018,730116.41,752728.03
ssc-spc,2018-2019,602116.49,613574.19
ssc-spc,2019-2020,544433.89,539816.41
ssc-spc,2020-2021,1906732.82,1818468.59
ssc-spc,2021-2022,6490366.30,6018782.49
ssc-spc,2022-2023,6291833.51,5627969.00
statcan,2017-2018,13464.15,13880.34
statcan,2018-2019,2076591.38,2116385.40
statcan,2019-2020,1994374.57,1984242.76
statcan,2020-2021,1921385.39,1829650.75
statcan,2021-2022,1590688.42,1478340.04
statcan,2022-2023,1536864.34,1375146.50
tbs-sct,2017-2018,224106.06,230573.00
tbs-sct,2018-2019,621927.59,633648.70
tbs-sct,2019-2020,633831.94,628723.87
tbs-sct,2020-2021,696703.49,664720.21
tbs-sct,2021-2022,726868.97,675474.34
tbs-sct,2022-2023,822433.45,736455.34
tc,2017-2018,3861905.16,3981038.55
tc,2018-2019,3580128.55,3647714.44
tc,2019-2020,3951343.94,3917988.34
tc,2020-2021,3972932.41,3783929.37
tc,2021-2022,4075596.09,3788111.68
tc,2022-2023,4355541.75,3894844.04
vac-acc,2017-2018,1409911.48,1453628.33
vac-acc,2018-2019,1169959.78,1192716.17
vac-acc,2019-2020,2125473.03,2102484.63
vac-acc,2020-2021,2172393.66,2068197.22
vac-acc,2021-2022,1744308.44,1622584.82
vac-acc,2022-2023,1505090.75,1346880.40
vrab-tacra,2017-2018,11571.82,11929.52
vrab-tacra,2018-2019,10206.02,10401.60
vrab-tacra,2019-2020,13541.94,13433.92
vrab-tacra,2022-2023,13321.31,11903.71
wage,2019-2020,103123.80,101531.55
wage,2020-2021,11703.55,11122.48
wage,2021-2022,15806.52,14855.13
wage,2022-2023,14888.48,13241.16
