d_vendor_name,overall_total
THE AIM GROUP,12034141.79
CISTEL TECHNOLOGY,6485179.60
ALIKA INTERNET TECHNOLOGIES,3658126.25
MAPLESOFT CONSULTING,2573929.85
49 SOLUTIONS,2129779.96
TPG TECHNOLOGY CONSULTANTS,1987785.63
MICROSOFT CANADA,1912693.43
THE MASHA KRUPP TRANSLATION GROUP,1248184.23
CGI,1214637.17
ITEX,1083950.91
TEKNION,880414.25
TERAMACH TECHNOLOGIES,875396.74
WESTBURY NATIONAL SHOW SYSTEMS,753150.29
NORTHERN MICRO,718358.47
GARTNER,684058.20
THE RIGHT DOOR CONSULTING,634727.69
"NATIONS TRANSLATION GROUP",552175.56
ADVANCED BUSINESS INTERIORS,455254.04
LEXISNEXIS CANADA,430460.41
CALIAN,429779.84
QMR,414378.69
TOSHIBA CANADA,407264.97
KONICA MINOLTA BUSINESS SOLUTIONS,293205.92
ALTIS HUMAN RESOURCES,274720.49
SOFTCHOICE,273829.61
IBM CANADA,272072.20
XEROX,271074.96
INFO TECH RESEARCH GROUP,257921.97
THOMSON REUTERS,240496.26
IPSS,234823.03
CDW CANADA,232973.17
CONEXSYS,211252.06
OPTIV CANADA FEDERAL,192582.89
VMWARE,190477.46
CONFLUENCE CONSULTING,187128.00
MDOS CONSULTING,177965.11
SIMPLEX GRINNELL,177135.68
APPLIED ELECTONICS,160318.97
QUINTET CONSULTING,159651.89
EXCEL HUMAN RESOURCES,146049.74
RANDSTAD,145835.35
STONEWORKS TECHNOLOGIES,136585.61
QUADBRIDGE,135636.63
"NATTIQ",135600.00
CANADIAN CORPS OF COMMISSIONAIRES,135220.65
COFOMO,130252.11
IRON MOUNTAIN,124915.56
MEGALEXIS COMMUNICATIONS,119322.00
OPENTEXT,101877.12
ASOKAN BUSINESS INTERIORS,101474.29
LIONBRIDGE,99999.00
NISHA TECHONOLOGIES,99082.59
DYNAMIC PERSONNEL CONSULTANTS,95516.64
KPMG,93948.20
AVI SPL,93680.73
DECISIVE GROUP,92206.75
BDO CANADA,92039.09
KNOWLEDGE CIRCLE LEARNING SERVICES,90850.77
RAYMOND CHABOT GRANT THORNTON,88246.22
SYSTEMSCOPE,85880.00
PLEIAD CANADA,85871.85
DONNA CONA,82120.10
BLACKBERRY,73970.27
COMPUGEN,63833.70
FAST TRACK STAFFING,62432.50
DLS TECHNOLOGY,55101.62
INTERNATIONAL REPORTING,53967.88
TEKSYSTEMS CANADA,52300.25
CANON,45731.52
ECOLE DE LANGUES EAGLE,40405.50
ADGA GROUP,39550.00
LEAN AGILITY,39550.00
RICOH,33519.17
EMCON SERVICES,33063.80
IDP GROUP,28801.44
WPP GROUP CANADA COMMUNICATIONS,28476.00
MINDWIRE SYSTEMS,24998.99
BRECKENHILL,24973.00
TRM TECHNOLOGIES,24001.20
ZERNAM ENTERPRISE,22862.16
PRICEWATERHOUSE COOPERS,22711.87
ROGERS,22647.28
TELECOM COMPUTER SERVICES,22272.30
GLOBE AND MAIL,20427.33
DELL COMPUTER,19702.49
ADRM TECHNOLOGY CONSULTING,19105.21
ALTIS RECRUITMENT TECHNOLOGY,18652.51
CSDC SYSTEMS,18427.49
ADVANCED CHIPPEWA TECHNOLOGIES,15514.67
GLOBAL KNOWLEDGE,15481.00
ARTEMP PERSONNEL SERVICES,15051.60
HYPERTEC,12995.00
ECOLE DE LANGUES ABCE,10758.84
HACKETT CONSULTING,8305.19
PITNEY BOWES,7808.78
