d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,236905.10,242510.08
1_facilities_and_construction,2018-2019,310439.20,314859.39
1_facilities_and_construction,2019-2020,76909.94,75879.39
1_facilities_and_construction,2020-2021,93207.15,88463.90
1_facilities_and_construction,2021-2022,334250.29,246563.12
10_office_management,2017-2018,746222.27,765166.91
10_office_management,2018-2019,912007.28,924659.56
10_office_management,2019-2020,1451939.51,1434074.99
10_office_management,2020-2021,1307544.49,1239719.08
10_office_management,2021-2022,1353078.28,732499.04
2_professional_services,2017-2018,4677154.25,4792361.72
2_professional_services,2018-2019,2855600.35,2895781.75
2_professional_services,2019-2020,3895882.36,3845138.48
2_professional_services,2020-2021,4240226.95,4033401.49
2_professional_services,2021-2022,3939122.72,2901948.43
3_information_technology,2017-2018,7165200.24,7340113.65
3_information_technology,2018-2019,4381457.87,4437250.76
3_information_technology,2019-2020,8106417.78,8008063.70
3_information_technology,2020-2021,6876715.24,6525383.97
3_information_technology,2021-2022,10310047.68,5464044.61
4_medical,2017-2018,144373.88,148180.10
4_medical,2018-2019,103825.49,105035.17
4_medical,2019-2020,33787.00,33700.02
4_medical,2020-2021,14351.00,13513.16
5_transportation_and_logistics,2017-2018,443226.69,454315.87
5_transportation_and_logistics,2018-2019,346978.22,351808.52
5_transportation_and_logistics,2019-2020,164438.52,162589.69
5_transportation_and_logistics,2020-2021,478897.01,455302.69
5_transportation_and_logistics,2021-2022,522347.09,404835.09
6_industrial_products_and_services,2017-2018,542605.24,555431.92
6_industrial_products_and_services,2018-2019,184654.26,187516.32
6_industrial_products_and_services,2019-2020,252794.94,250958.01
6_industrial_products_and_services,2020-2021,1551322.18,1479147.33
6_industrial_products_and_services,2021-2022,818743.73,761820.22
8_security_and_protection,2017-2018,3737718.35,3833633.40
8_security_and_protection,2018-2019,4400260.69,4468237.45
8_security_and_protection,2019-2020,4216541.22,4178070.99
8_security_and_protection,2020-2021,5678743.48,5415080.17
8_security_and_protection,2021-2022,4487082.02,3467205.83
9_human_capital,2017-2018,501442.06,514311.11
9_human_capital,2018-2019,297463.05,301843.79
9_human_capital,2019-2020,404947.45,399932.46
9_human_capital,2020-2021,362884.53,343647.98
9_human_capital,2021-2022,350318.50,251580.66
