d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,3824.5843373493976
10_office_management,2018-2019,27698.350111997286
10_office_management,2019-2020,51965.50096686361
10_office_management,2020-2021,66053.5882354964
2_professional_services,2017-2018,318252.12940602965
2_professional_services,2018-2019,587687.3877868844
2_professional_services,2019-2020,299807.45080793556
2_professional_services,2020-2021,326331.4838116633
3_information_technology,2017-2018,92356.57082813085
3_information_technology,2018-2019,143867.4708474726
3_information_technology,2019-2020,208900.33022325032
3_information_technology,2020-2021,237939.4143610093
9_human_capital,2019-2020,18503.75
