d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,125115.94,128358.10
0_other,2018-2019,52385.87,53410.76
1_facilities_and_construction,2017-2018,131194.23,134411.96
1_facilities_and_construction,2018-2019,62518.21,63722.66
1_facilities_and_construction,2019-2020,185677.40,183416.71
10_office_management,2017-2018,99583.87,102115.76
10_office_management,2018-2019,41521.07,42210.89
10_office_management,2019-2020,62183.06,61536.13
10_office_management,2020-2021,16231.49,15283.86
2_professional_services,2017-2018,524041.34,537675.02
2_professional_services,2018-2019,477041.34,483577.66
2_professional_services,2019-2020,423060.89,418708.32
2_professional_services,2020-2021,472968.22,449404.49
2_professional_services,2021-2022,414636.49,268877.05
3_information_technology,2017-2018,1523447.89,1562383.46
3_information_technology,2018-2019,1188134.93,1205929.16
3_information_technology,2019-2020,1423682.26,1405665.19
3_information_technology,2020-2021,2024318.67,1920376.04
3_information_technology,2021-2022,3045223.73,1427687.63
5_transportation_and_logistics,2017-2018,17246.25,17692.01
5_transportation_and_logistics,2019-2020,51330.79,50746.46
6_industrial_products_and_services,2017-2018,52152.75,53591.65
6_industrial_products_and_services,2018-2019,22003.28,22381.21
6_industrial_products_and_services,2019-2020,12007.22,11716.64
8_security_and_protection,2017-2018,88364.72,90654.48
8_security_and_protection,2018-2019,97324.49,98724.93
8_security_and_protection,2019-2020,151431.06,150153.14
8_security_and_protection,2020-2021,187923.18,178652.98
8_security_and_protection,2021-2022,233955.21,183014.88
9_human_capital,2017-2018,92293.77,94670.07
9_human_capital,2018-2019,105549.65,107100.12
9_human_capital,2019-2020,178706.32,175788.10
9_human_capital,2020-2021,230327.30,219042.05
9_human_capital,2021-2022,270211.09,133844.72
