d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
3M CANADA COMPANY,2021-2022,29836.74,19321.56
A HUNDRED ANSWERS,2018-2019,8888.03,9002.59
A HUNDRED ANSWERS,2019-2020,26664.08,26609.47
A HUNDRED ANSWERS,2020-2021,13089.55,12784.35
A HUNDRED ANSWERS,2021-2022,33441.14,26791.35
AB SCIEX,2017-2018,65190.97,66687.35
AB SCIEX,2018-2019,66289.74,67183.75
AB SCIEX,2019-2020,148617.45,148296.88
AB SCIEX,2020-2021,154544.92,149142.59
AB SCIEX,2021-2022,119829.98,75165.16
ABBOTT,2019-2020,18017.28,18010.97
ABBOTT,2020-2021,4913.80,4956.79
ACCENTURE,2017-2018,7547811.66,7749657.64
ACCENTURE,2018-2019,4783914.54,4836090.57
ACCENTURE,2019-2020,784947.09,783339.32
ACCENTURE,2020-2021,754921.79,740000.88
ACKLANDS GRAINGER,2017-2018,24999.45,25885.54
ACKLANDS GRAINGER,2021-2022,12924.38,1899.22
ADOBE,2018-2019,684657.53,693427.83
ADOBE,2019-2020,15342.47,15335.47
ADVANCED BUSINESS INTERIORS,2017-2018,125465.36,128111.72
ADVANCED BUSINESS INTERIORS,2018-2019,18393.52,18577.90
ADVANCED BUSINESS INTERIORS,2019-2020,19623.20,19595.09
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,12915.49,13137.35
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,55970.92,56717.35
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,25175.37,25163.88
AGILENT,2017-2018,536420.66,546347.64
AGILENT,2018-2019,11237.46,11371.92
AGILENT,2019-2020,125481.63,125218.21
AGILENT,2020-2021,721045.64,700017.71
AGILENT,2021-2022,754899.23,452387.87
AINSWORTH,2018-2019,43271.05,44219.62
AIR LIQUIDE CANADA,2017-2018,41319.98,42029.75
ALS CANADA,2017-2018,399821.12,410538.53
ALS CANADA,2018-2019,339537.88,343838.20
ALS CANADA,2019-2020,244486.80,243986.03
ALS CANADA,2020-2021,553175.46,535863.39
ALS CANADA,2021-2022,106586.12,97630.47
ALTIS HUMAN RESOURCES,2017-2018,132836.95,137494.99
ALTIS HUMAN RESOURCES,2018-2019,24542.24,24869.96
ALTIS HUMAN RESOURCES,2019-2020,130524.57,130027.01
ALTIS HUMAN RESOURCES,2020-2021,60815.31,60125.65
ALTIS HUMAN RESOURCES,2021-2022,371935.69,276673.88
AON REED STENHOUSE,2020-2021,74270.58,71375.28
AON REED STENHOUSE,2021-2022,61104.13,56150.15
ARI FINANCIAL SERVICES,2019-2020,138693.93,138423.97
ARI FINANCIAL SERVICES,2020-2021,54271.21,54266.29
ARI FINANCIAL SERVICES,2021-2022,77744.00,50779.99
ARTEMP PERSONNEL SERVICES,2018-2019,59212.00,60043.95
