d_vendor_name,overall_total
SILLIKER,22983810.45
ACCENTURE,13871595.09
ORACLE CANADA,9071571.81
TRAINOR MECHANICAL CONTRACTORS,7361196.07
PURESPIRIT SOLUTIONS,5318247.43
MAPLESOFT CONSULTING,3783348.47
UNIVERSITY OF GUELPH,3443052.41
AVONDALE CONSTRUCTION,3186485.21
NISSAN CANADA,3144260.46
WATERS,3031793.86
GARTNER,2459728.26
SYSTEMSCOPE,2091689.68
SUBARU CANADA,1784912.58
UNIVERSITY OF SASKATCHEWAN,1360417.22
PROCOM CONSULTANTS,1197542.66
MICHANIE CONSTRUCTION,1101335.40
EVRIPOS JANITORIAL SERVICES,1076943.22
GENERAL MOTORS,1048345.67
TELECOM COMPUTER SERVICES,972902.76
CARLETON ELECTRIC,878968.44
GETINGE CANADA,852561.89
STERIS CANADA,789621.82
D4IS SOLUTIONS,706265.19
ADOBE,700000.00
AB SCIEX,554473.07
IMPERIAL CLEANERS,527655.52
ESBE SCIENTIFIC INDUSTRIES,487525.14
INFO TECH RESEARCH GROUP,485284.72
BECKMAN COULTER CANADA,482479.25
WORLDREACH SOFTWARE,468951.51
ORANGUTECH,308189.08
DYNAMIC FACILITY SERVICES,292446.76
PROSCI CANADA,265595.20
SOFTSIM TECHNOLOGIES,247982.54
FACTIVA,243094.99
EKOS RESEARCH ASSOCIATES,217255.83
ENVIROSAFE JANITORIAL,212197.47
CARAHSOFT TECHNOLOGY,205743.40
DLS TECHNOLOGY,195472.46
ADVANCED BUSINESS INTERIORS,163482.08
CNW GROUP,136117.67
AON REED STENHOUSE,135374.71
D F S,126241.70
BRUKER,119904.25
"NAVPOINT CONSULTING GROUP",118254.50
BLUEDOT,116851.18
MITSUBISHI MOTOR SALES,111235.85
CLOSEREACH,99962.17
CHARRON HUMAN RESOURCES,95146.00
GRC ARCHITECTS,88710.65
HITRAC,85617.00
CSDC SYSTEMS,81644.29
INSA,80381.91
MCNALLY CONSTRUCTION,79954.30
MICRONOSTYX,72689.55
HAWORTH,72436.95
TECSIS,71826.71
SDL INTERNATIONAL CANADA,70028.36
THE VCAN GROUP,68425.80
SAS INSTITUTE,64572.17
LIFESPEAK,62219.96
NEPTUNE SECURITY SERVICES,55976.91
QUINTET CONSULTING,53890.00
IT NET CONSULTANTS,51755.13
IHS GLOBAL,50568.83
GLOBAL UPHOLSTERY,46154.63
KONICA MINOLTA BUSINESS SOLUTIONS,46079.58
CONSTRUCTION BUGERE,45760.05
AINSWORTH,43271.05
PROTAK CONSULTING GROUP,40680.00
JOHNSON CONTROLS CANADA,40385.10
ONIX NETWORKING CANADA,39889.00
FAST TRACK STAFFING,39521.75
CISION CANADA,33900.00
KIA CANADA,31352.98
DEXTER CONSTRUCTION,28686.75
GLOBAL TOTAL OFFICE,26169.46
CARMICHAEL ENGINEERING,24295.00
PHASELOCK SYSTEMS INTERNATIONAL,18560.25
KUBOTA CANADA,18273.02
GENERAL ELECTRIC CANADA,17401.72
GLOBAL KNOWLEDGE,16519.58
IFATHOM,14271.14
TENAQUIP,13500.09
OPENFRAME TECHNOLOGIES,5077.79
