d_vendor_name,overall_total
ACCENTURE,13871595.092883212
SILLIKER JR LABORATORIES,13313403.207566027
BUREAU VERITAS CANADA 2019,12603010.48
MAXXAM ANALYTICS,9410089.602818968
NISHA TECHONOLOGIES,7391224.553962264
TRAINOR MECHANICAL CONTRACTORS,7361196.07
ORACLE CANADA,7180454.263751883
NORTHERN MICRO,6787161.159999999
LUMINA IT,6685612.790472858
CANADIAN CORPS OF COMMISSIONAIRES,6028914.48
CARO ANALYTICAL SERVICES,5352466.7700000005
PURESPIRIT SOLUTIONS,5318247.43
MAXXAM ANALYTICS INTERNATIONAL,5196870
WORKPLACE HEALTH AND COST SOLUTIONS,4745126.669781022
BLACK MCDONALD,4572566.313031778
NEWFOUND RECRUITING,4171680.7094969726
SANIMAX,3684006.1434829277
SILLIKER CANADA,3496356.19
AVONDALE CONSTRUCTION,3186485.2117447495
NISSAN CANADA,3144260.46
UNIVERSITY OF GUELPH,2894906.614751684
MICROSOFT CANADA,2738440.38
THE AIM GROUP,2736709.6116660964
WATERS,2435592.5593967093
DONNA CONA,2413346.614101446
ATWOOD RESOURCES,2394956.2705667275
MAPLESOFT CONSULTING,2340618.761912694
SILLIKER JR LABS,2331996.4462341946
SGS CANADA VANCOUVER,2123303.62
MAXXAM ANALYTICAL INTERNATIONAL,2120423.3305937327
GARTNER,2012679.7154401876
AVENAI,1787747.192124542
SUBARU CANADA,1784912.5799999998
MORNEAU SHEPELL,1730602.937698346
FLEX TECH SERVICES,1538913.275545463
ALS CANADA,1537021.26
EXCEL HUMAN RESOURCES,1536973.8800000001
SYSTEMSCOPE,1472739.7030548183
GRAEBECK CONSTRUCTION,1460330.9015258853
SGS CANADA,1438236.32
AGILENT,1395804.5397176973
COSSETTE COMMUNICATIONS,1384894.62
PACIFIC RIM LABORATORIES,1329726.08
ALTIS HUMAN RESOURCES,1301675.6059599987
CITY OF TORONTO,1272092.2223291493
IBM CANADA,1258001.069258807
CINTAS CANADA,1238127.2963308636
BIO RAD LABORATORIES CANADA,1216344.1403267973
KARSON ASPHALT PAVING,1199988.6905311777
WESTERN DRUG DISTRIBUTION,1188957.6
AVI SPL CANADA,1157752.3598600973
FISHER SCIENTIFIC,1139338.589911735
MICHANIE CONSTRUCTION,1101335.4000000001
JEAN PAUL FORTIER FRERES,1081538.52625
SILLIKER JR LABORATORIES UL,1070354.3041171813
UNIVERSITY OF SASKATCHEWAN,1066327.6728590066
GENERAL MOTORS,1048345.67
BOTTING ASSOCIATES ALBERTA,1030139.2820645161
LIFE TECHNOLOGIES,1025676.9356807463
VWR INTERNATIONAL,975564.4286486236
TELECOM COMPUTER SERVICES,972902.76
GOVERNMENT OF PRINCE EDWARD ISLAND,941942.28
LYNNWOOD ROOFING,915939.1799999999
ILLUMINA CANADA,908208.4039726027
CARLETON ELECTRIC,878968.4356589147
INTERBIOS,866987.9463743626
G K SERVICES,856695.4973585766
SANIMAX INDUSTRIES,849290.1662782402
TEKSYSTEMS CANADA,843273.8
AMITA,830327.7252747254
EVRIPOS JANITORAL SERVICES,810440.1217755803
RISK SCIENCES INTERNATIONAL,783809.5866439986
PRANGER DEBRUYN CONSTRUCTION,711398.14
D4IS SOLUTIONS,706265.1908260525
ADOBE,700000
FORD MOTOR COMPANY,682702.7999999999
STERIS CANADA,680247.0332047463
UNIVERSITE DE MONTREAL,673905.5956048014
PRO FAUNE,673738.5781426954
GLOBAL FOOD PROTECTION INSTITUTE,659510.8280254777
GETINGE CANADA,658899.7012061239
PROCOM CONSULTANTS,648769.9521072619
THERMO FISHER SCIENTIFIC,641735.0975347664
QUINTEX SERVICES,639276.9167579409
MINDWIRE SYSTEMS,628662.5650887574
THERMO LABSYSTEMS,607846.82
ISOMASS SCIENTIFIC,586627.7746837657
JUMEC CONSTRUCTION,586101.62
CHRYSLER CANADA,585562.14
ALSCO UNIFORM LINEN SERVICES,568718.5311268249
HYUNDAI AUTO CANADA,552438.87
CHERNOFF THOMPSON ARCHITECTS,550079.7918397625
RANDSTAD,548927.7043237251
SI SYSTEMS,539712.0277005474
ONLINE ENGINEERING,524578.54
LES TOITURES RAYMOND ET ASS,494987.8586223278
LCC ASSOCIES CANADA,489542.41254515597
"NATIONS TRANSLATION GROUP",482134.0632737885
FISHER SCIENTIFIC COMPANY,473214.40101123595
CARGILL,462367.49999999994
