d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,442050.48,455495.43
1_facilities_and_construction,2018-2019,490722.97,499626.62
1_facilities_and_construction,2019-2020,689980.65,684386.89
1_facilities_and_construction,2020-2021,503971.41,480285.55
1_facilities_and_construction,2021-2022,662735.95,620291.44
10_office_management,2017-2018,180712.33,186174.26
10_office_management,2018-2019,275038.69,279271.79
10_office_management,2019-2020,205439.91,204113.70
10_office_management,2020-2021,229268.09,219046.82
10_office_management,2021-2022,338473.02,314900.90
2_professional_services,2017-2018,314483.76,323960.02
2_professional_services,2018-2019,362850.53,369405.52
2_professional_services,2019-2020,475183.43,471009.50
2_professional_services,2020-2021,496567.73,473541.76
2_professional_services,2021-2022,551252.59,514607.73
3_information_technology,2017-2018,972805.25,1003089.14
3_information_technology,2018-2019,783937.50,796278.09
3_information_technology,2019-2020,1694112.03,1681006.67
3_information_technology,2020-2021,2024048.94,1926720.76
3_information_technology,2021-2022,1779160.11,1658322.80
5_transportation_and_logistics,2017-2018,68884.50,71044.25
5_transportation_and_logistics,2018-2019,98023.19,99841.82
5_transportation_and_logistics,2019-2020,66529.13,65795.44
5_transportation_and_logistics,2020-2021,229373.41,219025.76
5_transportation_and_logistics,2021-2022,87940.27,82291.08
6_industrial_products_and_services,2017-2018,2565103.28,2640748.67
6_industrial_products_and_services,2018-2019,3137971.30,3194121.43
6_industrial_products_and_services,2019-2020,1729803.79,1710732.20
6_industrial_products_and_services,2020-2021,1516378.33,1445689.95
6_industrial_products_and_services,2021-2022,2464972.14,2288581.07
8_security_and_protection,2017-2018,7565.30,7795.65
8_security_and_protection,2018-2019,9083.34,9249.37
8_security_and_protection,2019-2020,1518.04,1523.56
9_human_capital,2017-2018,219025.67,225757.76
9_human_capital,2018-2019,170927.90,174231.52
9_human_capital,2019-2020,210754.32,208281.89
9_human_capital,2020-2021,199689.00,190175.09
9_human_capital,2021-2022,219091.02,204965.37
