d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,11262.45,11527.93
1_facilities_and_construction,2018-2019,68990.89,70215.00
1_facilities_and_construction,2019-2020,67681.44,66941.32
1_facilities_and_construction,2020-2021,41350.57,39310.75
1_facilities_and_construction,2021-2022,62706.44,58378.66
10_office_management,2017-2018,44261056.98,45406152.25
10_office_management,2018-2019,44368874.07,45053752.23
10_office_management,2019-2020,111681578.55,110614219.40
10_office_management,2020-2021,119204190.18,113304259.88
10_office_management,2021-2022,122727137.03,113935560.94
2_professional_services,2017-2018,29332663.74,30076637.28
2_professional_services,2018-2019,79865144.67,81100495.46
2_professional_services,2019-2020,66351952.35,65869085.25
2_professional_services,2020-2021,56760056.91,53941497.77
2_professional_services,2021-2022,61071469.24,56667588.40
3_information_technology,2017-2018,90374879.50,92692936.76
3_information_technology,2018-2019,115761885.53,117595173.29
3_information_technology,2019-2020,111751512.70,110741789.81
3_information_technology,2020-2021,126760240.56,120426894.13
3_information_technology,2021-2022,161177954.36,149618291.38
4_medical,2017-2018,5449607.46,5590824.61
4_medical,2018-2019,5449607.46,5534356.91
4_medical,2019-2020,5514512.87,5467188.35
4_medical,2020-2021,13514814.18,12826086.31
4_medical,2021-2022,27628028.68,25613383.16
5_transportation_and_logistics,2017-2018,473220.85,485332.19
5_transportation_and_logistics,2018-2019,269789.76,273741.08
5_transportation_and_logistics,2019-2020,271757.06,270016.78
5_transportation_and_logistics,2020-2021,193405.50,183929.78
5_transportation_and_logistics,2021-2022,242253.28,223113.63
6_industrial_products_and_services,2017-2018,400102.62,410412.74
6_industrial_products_and_services,2018-2019,481399.94,487290.12
6_industrial_products_and_services,2019-2020,671401.29,665276.26
6_industrial_products_and_services,2020-2021,1451120.15,1375724.49
6_industrial_products_and_services,2021-2022,337000.54,309906.42
7_travel,2018-2019,3648.48,3687.38
7_travel,2019-2020,19932.77,19613.54
7_travel,2020-2021,337339.17,320052.16
7_travel,2021-2022,469012.53,435050.27
8_security_and_protection,2017-2018,4481379.80,4597425.03
8_security_and_protection,2018-2019,5326228.13,5409334.57
8_security_and_protection,2019-2020,6438803.20,6384382.80
8_security_and_protection,2020-2021,11402371.50,10837432.15
8_security_and_protection,2021-2022,18765752.93,17358992.30
9_human_capital,2017-2018,711684.30,730178.56
9_human_capital,2018-2019,1307737.20,1326932.94
9_human_capital,2019-2020,1613413.89,1594133.16
9_human_capital,2020-2021,1792745.62,1701135.80
9_human_capital,2021-2022,2085159.84,1927297.87
