d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,52774202.49,54378185.51
it_consulting_services,2018-2019,82029495.43,83607054.89
it_consulting_services,2019-2020,69943604.25,69335357.71
it_consulting_services,2020-2021,91673909.60,87392022.66
it_consulting_services,2021-2022,130865966.12,122430407.97
it_devices_equipment,2017-2018,12726886.87,13103640.50
it_devices_equipment,2018-2019,8156793.59,8294528.56
it_devices_equipment,2019-2020,14602414.10,14468897.20
it_devices_equipment,2020-2021,11377708.79,10841239.21
it_devices_equipment,2021-2022,6863197.55,6426698.46
it_other,2017-2018,759520.52,782276.26
it_other,2018-2019,1480803.35,1499843.83
it_other,2019-2020,1890056.24,1872422.96
it_other,2020-2021,742466.29,705371.14
it_other,2021-2022,759987.01,707433.30
it_software_licensing,2017-2018,24080701.90,24813626.09
it_software_licensing,2018-2019,24013445.38,24447802.43
it_software_licensing,2019-2020,24932311.37,24731883.57
it_software_licensing,2020-2021,23218781.57,22133000.44
it_software_licensing,2021-2022,26557771.76,24835979.24
