d_vendor_name,overall_total
NISHA TECHONOLOGIES,2494129.84
CANADIAN CORPS OF COMMISSIONAIRES,1995320.03
MICROSOFT CANADA,1719120.26
COFOMO,1581046.79
PRECISIONIT,1483298.06
CISTEL TECHNOLOGY,1452925.35
RANDSTAD,1356177.13
LUMINA IT,1207463.97
MAPLESOFT CONSULTING,1174197.47
GARTNER,1161600.13
PROMAXIS,1029006.27
LEO PISCES SERVICES GROUP,1004818.10
SI SYSTEMS,933376.39
TEKSYSTEMS CANADA,908610.41
EBSCO CANADA,897014.35
QMR,769357.94
ELSEVIER,742552.64
MICHAEL WAGER CONSULTING,711288.14
CALIAN,672396.93
UNIVERSITY OF OTTAWA,644725.17
4PLAN CONSULTING,528585.75
PROCOM CONSULTANTS,525343.32
PLEIAD CANADA,482154.52
IBM CANADA,454906.04
PROTAK CONSULTING GROUP,390528.00
CARLETON UNIVERSITY,374930.00
ADVANCED CHIPPEWA TECHNOLOGIES,367873.00
CHUBB EDWARDS,357527.87
ALTIS HUMAN RESOURCES,351073.50
AGILENT,336580.34
EXCEL HUMAN RESOURCES,304846.16
SIMPLEX GRINNELL,295164.90
GAMBLE TECHNOLOGIES,288844.14
ZERNAM ENTERPRISE,276850.00
AVI SPL CANADA,270624.36
UNIVERSITY OF GUELPH,257075.00
ADVANCED BUSINESS INTERIORS,234563.01
QUEEN S UNIVERSITY,220535.07
SAAB,212146.08
LANNICK CONTRACT SOLUTIONS,196080.76
EMPOWERED NETWORKS,180784.73
BDO CANADA,179648.65
CGI,177826.38
PALADIN GROUP,177557.48
FREEBALANCE,174874.05
FAST FORWARD FRENCH,162666.84
TOYOTA CANADA,161466.56
PROSCI CANADA,152109.30
IRON MOUNTAIN,149087.24
ITEX,132430.02
AON REED STENHOUSE,132190.65
UNIVERSITY OF TORONTO,130538.19
RAYMOND CHABOT GRANT THORNTON,127944.25
HYPERTEC,119667.00
FORD MOTOR COMPANY,110966.04
DELOITTE AND TOUCHE,110494.75
ERNST YOUNG,103042.11
OPENTEXT,99892.00
INFO TECH RESEARCH GROUP,96569.60
VERITAAQ TECHNOLOGY HOUSE,83320.62
MINDWIRE SYSTEMS,80795.00
ARI FINANCIAL SERVICES,79100.00
MNP,77632.78
SOFTCHOICE,75045.69
GLOBAL UPHOLSTERY,74539.37
ESRI,68560.31
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,63965.11
FCA CANADA,58428.23
PRINTERS PLUS,52112.77
TURTLE ISLAND STAFFING,50870.34
IHS GLOBAL,48311.43
SHI CANADA,41776.36
THE RIGHT DOOR CONSULTING,41222.60
IDS SYSTEMS CONSULTANTS,39995.22
HUBSPOKE,39663.00
UNIVERSITY OF ALBERTA,39453.50
SOFTSIM TECHNOLOGIES,39167.70
IPSOS,38064.95
N12 CONSULTING,37780.81
LEVERAGE TECHNOLOGY RESOURCES,33900.00
TOTEM OFFISOURCE,31452.82
THERMO FISHER SCIENTIFIC,30243.06
STIFF SENTENCES,30238.58
CHARRON HUMAN RESOURCES,29832.00
CDW CANADA,27147.00
DONNA CONA,24997.86
WEST WIND AVIATION,24392.50
CARAHSOFT TECHNOLOGY,23671.51
SUBARU CANADA,23468.55
THOMSON REUTERS,23114.15
BANFIELD SEGUIN,23032.19
WORKPLACE HEALTH AND COST SOLUTIONS,22971.51
ST JOSEPH PRINT GROUP,22812.90
CEDROM SNI,22739.54
HAWORTH,21984.15
PHASELOCK SYSTEMS INTERNATIONAL,21373.95
EMCON SERVICES,20908.96
CSDC SYSTEMS,20138.43
LLOYD LIBKE LAW ENFORCEMENT SALES,19933.20
CACHE COMPUTER CONSULTING,19155.62
PATLON AIRCRAFT INDUSTRIES,18165.34
TOSHIBA CANADA,17727.42
PRICEWATERHOUSE COOPERS,17088.32
WOLTERS KLUWER,16950.00
CANADA POST,16222.36
1019837 ONTARIO,13851.00
NEWFOUND RECRUITING,13249.33
ANSYS CANADA,12036.75
PROQUEST,11373.19
COLLIERS PROJECT LEADERS,10170.00
OPENFRAME TECHNOLOGIES,9085.20
GC STRATEGIES,0.00
