d_most_recent_category,total,percentage
4_medical,985405430.8301221,0.47834141583156486
6_industrial_products_and_services,241394781.32036743,0.1171793029127741
3_information_technology,226523542.06237715,0.10996041673731995
2_professional_services,222262563.0401938,0.10789202673810636
1_facilities_and_construction,98084749.36920547,0.047612887464224166
5_transportation_and_logistics,87776026.75993842,0.04260876549162895
8_security_and_protection,80279069.53926452,0.03896954754217557
10_office_management,69860656.18263443,0.03391217882894381
9_human_capital,30953897.486916076,0.01502582661526767
7_travel,17505514.440554496,0.00849763183799451
