d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,60530.75,62027.06
0_other,2018-2019,691897.71,700178.93
0_other,2019-2020,5823363.34,5705743.53
0_other,2020-2021,4571820.26,4342292.46
0_other,2021-2022,231908.42,215122.05
1_facilities_and_construction,2017-2018,438895069.66,450178500.28
1_facilities_and_construction,2018-2019,171321515.90,173784740.08
1_facilities_and_construction,2019-2020,206963890.71,204592142.29
1_facilities_and_construction,2020-2021,669325819.16,632046314.29
1_facilities_and_construction,2021-2022,188086371.16,173940283.05
10_office_management,2017-2018,9278836.69,9511176.73
10_office_management,2018-2019,9076723.25,9197023.39
10_office_management,2019-2020,7142329.97,7057285.23
10_office_management,2020-2021,13796457.65,13130513.93
10_office_management,2021-2022,4962768.93,4561785.05
2_professional_services,2017-2018,61324007.60,62881894.56
2_professional_services,2018-2019,78805745.93,80023176.86
2_professional_services,2019-2020,57855263.31,57159070.38
2_professional_services,2020-2021,254514542.13,241661447.48
2_professional_services,2021-2022,113867561.03,104565458.29
3_information_technology,2017-2018,73119235.96,74954334.14
3_information_technology,2018-2019,60887862.36,61734068.14
3_information_technology,2019-2020,82431282.08,81206539.32
3_information_technology,2020-2021,67069513.01,63717268.96
3_information_technology,2021-2022,78083776.08,71724298.98
4_medical,2017-2018,552982.21,567325.23
4_medical,2018-2019,704789.47,715367.31
4_medical,2019-2020,1053014.74,1046001.68
4_medical,2020-2021,736450.40,697624.28
4_medical,2021-2022,965750.51,880160.56
5_transportation_and_logistics,2017-2018,406784476.45,417189280.46
5_transportation_and_logistics,2018-2019,661522748.52,670418183.27
5_transportation_and_logistics,2019-2020,1474034195.44,1460805980.64
5_transportation_and_logistics,2020-2021,400007814.96,380343608.56
5_transportation_and_logistics,2021-2022,371789136.39,342620403.06
6_industrial_products_and_services,2017-2018,42640181.51,43681553.94
6_industrial_products_and_services,2018-2019,47647503.80,48258441.98
6_industrial_products_and_services,2019-2020,64578081.35,63617774.33
6_industrial_products_and_services,2020-2021,82803264.90,78476636.99
6_industrial_products_and_services,2021-2022,65697650.07,60427003.28
7_travel,2017-2018,8358519.04,8579395.75
7_travel,2018-2019,7056925.96,7166888.92
7_travel,2019-2020,8399029.16,8349716.47
7_travel,2020-2021,5350357.11,5091094.98
7_travel,2021-2022,7528053.48,6916508.26
8_security_and_protection,2017-2018,5771289.18,5921396.68
8_security_and_protection,2018-2019,11736793.48,11931307.56
8_security_and_protection,2019-2020,9553260.18,9482922.36
8_security_and_protection,2020-2021,8415007.37,7990000.39
8_security_and_protection,2021-2022,11448345.27,10626301.30
9_human_capital,2017-2018,3995915.19,4099333.30
9_human_capital,2018-2019,4705112.20,4772696.75
9_human_capital,2019-2020,4837855.39,4778016.22
9_human_capital,2020-2021,4687730.67,4451570.79
9_human_capital,2021-2022,4520058.95,4151998.04
