d_most_recent_category,total,percentage
5_transportation_and_logistics,8023213565.604545,0.3185433871101328
1_facilities_and_construction,5902008188.129222,0.23432576780183964
3_information_technology,3228606636.792859,0.12818445942149845
6_industrial_products_and_services,2708007380.417101,0.10751525385979221
2_professional_services,1598075034.1375132,0.06344792271423819
11_defence,1444796689.2401836,0.05736235578335823
4_medical,835508797.7408947,0.033171970335385874
9_human_capital,598106931.5631638,0.023746470946622845
10_office_management,442461702.1885315,0.01756693226837091
8_security_and_protection,398275588.4311252,0.01581262344629766
NA,7860712.929457919,3.1209167014878864e-4
7_travel,271131.11664070614,1.0764642314388564e-5
