d_most_recent_category,total,percentage
3_information_technology,187114677.09775785,0.46054789154714965
2_professional_services,172243238.97554824,0.4239446192774961
10_office_management,31272063.36673265,0.07697035353540506
9_human_capital,4722108.611465258,0.011622589945366838
6_industrial_products_and_services,4106353.844268062,0.010107024388771747
5_transportation_and_logistics,2882178.543607544,0.007093945124504585
NA,2636532.240172393,0.006489332547510935
8_security_and_protection,918082.450455908,0.0022596887822060405
7_travel,185237.0642217827,4.5592649751978345e-4
1_facilities_and_construction,149712.5,3.684894059765815e-4
4_medical,56936.64980874317,1.40138948092647e-4
