d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,686082.71,703805.60
it_consulting_services,2018-2019,783625.02,795445.46
it_consulting_services,2019-2020,859468.39,851713.11
it_consulting_services,2020-2021,2350912.97,2238454.54
it_consulting_services,2021-2022,3689103.81,3402463.90
it_devices_equipment,2017-2018,357420.60,366302.57
it_devices_equipment,2018-2019,962575.56,977498.20
it_devices_equipment,2019-2020,1586450.04,1562662.55
it_devices_equipment,2020-2021,1023490.99,967402.70
it_devices_equipment,2021-2022,994031.68,910406.27
it_other,2017-2018,41676.85,42677.93
it_other,2018-2019,21651.01,21987.72
it_other,2019-2020,124429.59,122131.92
it_other,2020-2021,56413.63,53528.80
it_other,2021-2022,109779.01,102143.65
it_software_licensing,2017-2018,67583.72,69197.45
it_software_licensing,2018-2019,162707.69,164800.78
it_software_licensing,2019-2020,424103.45,418769.85
it_software_licensing,2020-2021,980511.50,932174.27
it_software_licensing,2021-2022,1126253.55,1045041.98
