d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
49 SOLUTIONS,2021-2022,19137.31,17299.82
49 SOLUTIONS,2022-2023,20017.19,18080.81
A NET SOLUTIONS,2017-2018,19108.16,19698.81
A NET SOLUTIONS,2018-2019,335338.66,341360.10
A NET SOLUTIONS,2019-2020,21186.41,20987.32
A NET SOLUTIONS,2020-2021,26409.01,25149.84
A NET SOLUTIONS,2021-2022,26409.01,24553.13
A NET SOLUTIONS,2022-2023,26409.01,23630.89
ACART COMMUNICATIONS,2022-2023,175127.40,155607.12
ACCESS 2 NETWORKS,2019-2020,160838.55,159299.68
ACCESS 2 NETWORKS,2020-2021,48016.86,45718.00
ACCESS 2 NETWORKS,2021-2022,45774.38,42884.39
ACCESS 2 NETWORKS,2022-2023,17250.31,15581.59
ACTION PERSONNEL OF OTTAWA HULL,2020-2021,50819.68,47886.15
ACTION PERSONNEL OF OTTAWA HULL,2021-2022,49180.33,46573.53
ACTION PERSONNEL OF OTTAWA HULL,2022-2023,115860.76,102530.45
ADVANCED BUSINESS INTERIORS,2017-2018,50985.27,52553.96
ADVANCED BUSINESS INTERIORS,2018-2019,112425.96,113476.20
ADVANCED BUSINESS INTERIORS,2019-2020,40561.82,40084.17
ADVANCED BUSINESS INTERIORS,2022-2023,11265.16,10041.56
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,50568.85,49439.68
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,55136.25,52156.15
ADVANCED CHIPPEWA TECHNOLOGIES,2022-2023,67230.77,59761.74
ARTEMP PERSONNEL SERVICES,2018-2019,15657.00,15803.27
ARTEMP PERSONNEL SERVICES,2019-2020,212239.39,210546.36
ARTEMP PERSONNEL SERVICES,2020-2021,211659.50,201567.72
AVI SPL,2018-2019,87873.23,88694.11
BELL CANADA,2017-2018,3617.53,3729.35
BELL CANADA,2018-2019,3617.53,3686.85
BELL CANADA,2019-2020,45274.22,44913.07
BELL CANADA,2020-2021,88845.07,84170.08
BELL CANADA,2021-2022,320124.81,297628.25
BELL CANADA,2022-2023,320124.81,286449.02
BLACKBERRY,2017-2018,19520.30,20095.57
BLACKBERRY,2019-2020,10477.54,10383.60
CARAHSOFT TECHNOLOGY,2022-2023,32980.00,29185.50
CARLETON UNIVERSITY,2021-2022,2254.74,2038.25
CARLETON UNIVERSITY,2022-2023,50430.70,44997.22
CDW CANADA,2018-2019,23594.40,24224.30
CDW CANADA,2019-2020,16485.13,16108.86
CDW CANADA,2020-2021,70369.75,66546.72
CDW CANADA,2021-2022,367799.80,336078.30
CDW CANADA,2022-2023,22882.50,20249.76
CISION CANADA,2017-2018,30510.00,31450.59
CISION CANADA,2019-2020,14060.90,13941.30
CISION CANADA,2020-2021,13059.10,12436.45
CISTEL TECHNOLOGY,2017-2018,91470.77,94298.23
CORADIX TECHNOLOGY CONSULTING,2017-2018,283122.75,291874.38
CORADIX TECHNOLOGY CONSULTING,2018-2019,292763.07,298278.65
CORADIX TECHNOLOGY CONSULTING,2019-2020,90470.63,89748.95
COSSETTE COMMUNICATIONS,2017-2018,869619.75,894631.21
COSSETTE COMMUNICATIONS,2018-2019,608613.25,617237.55
COSSETTE COMMUNICATIONS,2019-2020,926925.99,929794.46
COSSETTE COMMUNICATIONS,2020-2021,1808000.00,1725183.84
COSSETTE COMMUNICATIONS,2021-2022,247811.01,226232.53
COSSETTE COMMUNICATIONS,2022-2023,1591828.99,1418925.57
CSDC SYSTEMS,2019-2020,14569.27,14531.83
DATA CENTRE INTELLIGENCE,2020-2021,11670.57,11132.85
DELL COMPUTER,2019-2020,40232.97,39551.91
DELL COMPUTER,2020-2021,81583.52,77693.67
DELL COMPUTER,2021-2022,81583.52,75850.29
DELOITTE,2017-2018,96813.82,99651.24
DELOITTE,2018-2019,265125.63,270990.96
DELOITTE,2019-2020,31774.36,31520.89
DELOITTE,2020-2021,31687.54,30176.70
DELOITTE,2021-2022,938613.07,853777.57
DELOITTE,2022-2023,818067.02,738169.26
DONNA CONA,2019-2020,14125.00,13802.59
DONNA CONA,2021-2022,24295.00,21962.29
DYNAMIC PERSONNEL CONSULTANTS,2017-2018,26546.39,27378.99
ECOLE DE LANGUES ABCE,2018-2019,2013.01,2031.81
ECOLE DE LANGUES ABCE,2019-2020,43313.39,43103.50
ECOLE DE LANGUES EAGLE,2019-2020,4803.96,4694.31
ECOLE DE LANGUES EAGLE,2020-2021,23570.30,22319.51
ECOLE DE LANGUES EAGLE,2021-2022,11366.46,10275.10
ECOLE DE LANGUES EAGLE,2022-2023,31158.54,27880.79
EKOS RESEARCH ASSOCIATES,2018-2019,42017.96,42410.48
EKOS RESEARCH ASSOCIATES,2019-2020,189858.92,188344.42
EKOS RESEARCH ASSOCIATES,2020-2021,378159.94,362537.57
EKOS RESEARCH ASSOCIATES,2021-2022,311880.23,288790.93
EKOS RESEARCH ASSOCIATES,2022-2023,357258.44,318932.64
ENTRUST,2017-2018,29671.98,30589.18
ENTRUST,2018-2019,29671.98,30240.59
ENVIRONICS RESEARCH GROUP,2018-2019,133858.76,135109.22
ENVIRONICS RESEARCH GROUP,2019-2020,154932.89,155412.35
ENVIRONICS RESEARCH GROUP,2020-2021,36612.63,34499.19
ENVIRONICS RESEARCH GROUP,2021-2022,45578.99,43163.07
EQUINIX OTTAWA GOVERNMENT,2020-2021,9788.91,9223.86
EQUINIX OTTAWA GOVERNMENT,2021-2022,51781.93,48142.99
EQUINIX OTTAWA GOVERNMENT,2022-2023,51781.93,46334.69
ERNST YOUNG,2017-2018,17356.80,17892.79
EVALUATION PERSONNEL SELECTION,2019-2020,22600.00,22378.68
EXCEL HUMAN RESOURCES,2022-2023,67800.00,59999.30
GARTNER,2017-2018,45620.89,47024.13
GARTNER,2018-2019,37140.48,37870.53
GARTNER,2019-2020,455449.12,450844.79
GARTNER,2020-2021,1482074.90,1409123.92
GARTNER,2021-2022,465254.90,431940.82
GARTNER,2022-2023,551901.86,493345.97
GLOBAL KNOWLEDGE,2021-2022,17623.59,15931.44
GLOBAL KNOWLEDGE,2022-2023,25757.56,22900.96
GOOGLE CANADA,2019-2020,33325.25,32564.60
GOSS GILROY,2018-2019,44144.32,44681.80
GOSS GILROY,2019-2020,117078.43,116144.49
HAWORTH,2017-2018,21517.47,22192.34
HDP GROUP,2017-2018,35340.51,36361.25
HDP GROUP,2018-2019,55059.49,56366.70
HYPERACTIVE PRODUCTIONS,2017-2018,24943.62,25655.97
HYPERACTIVE PRODUCTIONS,2018-2019,2975.00,3002.80
HYPERACTIVE PRODUCTIONS,2019-2020,18147.53,18203.69
HYPERACTIVE PRODUCTIONS,2020-2021,24989.95,23547.42
HYPERACTIVE PRODUCTIONS,2021-2022,2830.47,2558.70
HYPERACTIVE PRODUCTIONS,2022-2023,85857.58,77552.09
HYPERTEC,2019-2020,97688.50,95985.12
HYPERTEC,2020-2021,61020.00,57783.45
HYPERTEC,2022-2023,397445.77,351717.81
IBM CANADA,2020-2021,38872.00,36628.14
INFO TECH RESEARCH GROUP,2021-2022,82151.00,75913.59
INFO TECH RESEARCH GROUP,2022-2023,162367.44,144726.62
INSA,2019-2020,158194.78,155108.08
INSA,2021-2022,24524.59,22631.20
INSA,2022-2023,35242.03,31534.72
INSIGHT SOFTWARE CANADA,2022-2023,47325.90,42176.93
INSTITUTE ON GOVERNANCE,2019-2020,24500.00,24236.67
INSTITUTE ON GOVERNANCE,2020-2021,5831.98,5495.33
INSTITUTE ON GOVERNANCE,2021-2022,38012.02,35340.75
INTEGRA NETWORKS,2019-2020,23954.69,23407.92
INTERACTIVE AUDIO VISUAL,2022-2023,135469.58,120300.48
IPSS,2021-2022,63550.57,58483.54
IPSS,2022-2023,210249.43,187499.08
IRON MOUNTAIN,2017-2018,6677.64,6884.04
IRON MOUNTAIN,2018-2019,19935.44,20317.46
IRON MOUNTAIN,2019-2020,361.42,353.17
IRON MOUNTAIN,2020-2021,10147.58,9663.75
IRON MOUNTAIN,2021-2022,21888.99,20331.16
IRON MOUNTAIN,2022-2023,7073.89,6361.38
