d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
11983890 CANADA CENTRE,2020-2021,65812562.19,62574656.53
11983890 CANADA CENTRE,2021-2022,1286837.81,1216783.82
3D DATACOMM,2017-2018,55581.28,56905.10
4 OFFICE AUTOMATION,2018-2019,8415.18,8527.83
4 OFFICE AUTOMATION,2019-2020,12161.46,12058.83
4 OFFICE AUTOMATION,2020-2021,12128.23,11529.95
4 OFFICE AUTOMATION,2021-2022,9612.84,7923.80
49 SOLUTIONS,2017-2018,15113.75,15503.29
49 SOLUTIONS,2020-2021,32833.37,31033.84
49 SOLUTIONS,2021-2022,12875.13,10071.76
73719 NEWFOUNDLAND LABRADOR,2017-2018,63619.75,65130.58
73719 NEWFOUNDLAND LABRADOR,2018-2019,215082.06,218465.79
73719 NEWFOUNDLAND LABRADOR,2019-2020,209349.39,207582.70
73719 NEWFOUNDLAND LABRADOR,2020-2021,208777.40,198478.47
73719 NEWFOUNDLAND LABRADOR,2021-2022,208777.40,163319.18
AB SCIEX,2017-2018,1272806.61,1305367.07
AB SCIEX,2018-2019,1278460.18,1297940.26
AB SCIEX,2019-2020,1041150.63,1018509.20
AB SCIEX,2020-2021,1670942.75,1588518.88
AB SCIEX,2021-2022,1962840.35,1475313.64
ACCENTURE,2021-2022,188126.95,177422.64
ACT,2017-2018,1254647.56,1286655.26
ACT,2018-2019,1363521.66,1383827.38
ACT,2019-2020,943425.74,936518.89
ACT,2020-2021,101178.91,95782.89
ACTION PERSONNEL OF OTTAWA HULL,2017-2018,85943.94,88260.67
ACTION PERSONNEL OF OTTAWA HULL,2018-2019,240112.24,242626.03
ACTION PERSONNEL OF OTTAWA HULL,2019-2020,534421.41,530145.53
ACTION PERSONNEL OF OTTAWA HULL,2020-2021,437146.43,415859.84
ACTION PERSONNEL OF OTTAWA HULL,2021-2022,314438.63,245974.22
ADVANCED BUSINESS INTERIORS,2017-2018,147651.47,151215.12
ADVANCED BUSINESS INTERIORS,2018-2019,455162.16,460066.84
ADVANCED BUSINESS INTERIORS,2019-2020,196319.09,191750.46
ADVANCED BUSINESS INTERIORS,2020-2021,515498.09,485863.86
ADVANCED BUSINESS INTERIORS,2021-2022,1535877.77,271304.87
AMDOCS,2017-2018,1397261.98,1433469.61
AMTEK ENGINEERING,2017-2018,14762.66,15152.21
ANSYS CANADA,2020-2021,56289.14,53012.24
ANSYS CANADA,2021-2022,169485.97,158765.22
APOTEX,2020-2021,1822144.12,1715861.51
APOTEX,2021-2022,9167781.63,7171631.26
ARIS GLOBAL,2017-2018,348865.80,357853.88
ARIS GLOBAL,2018-2019,713895.35,723574.13
ARIS GLOBAL,2019-2020,2916038.68,2891746.20
ARIS GLOBAL,2020-2021,1752416.80,1668251.43
ARIS GLOBAL,2021-2022,901662.89,768593.65
ATS SERVICES,2019-2020,502.37,490.21
ATS SERVICES,2020-2021,9650.81,9174.74
ATS SERVICES,2021-2022,9650.81,7549.49
BANFIELD SEGUIN,2017-2018,1162246.45,1191993.00
BANFIELD SEGUIN,2018-2019,1625363.80,1650640.61
BANFIELD SEGUIN,2019-2020,18563.19,18113.95
BANFIELD SEGUIN,2020-2021,646974.00,615185.91
BANFIELD SEGUIN,2021-2022,856084.97,587888.88
BECKMAN COULTER CANADA,2017-2018,114850.04,117636.98
BECKMAN COULTER CANADA,2018-2019,82184.52,83139.84
BECKMAN COULTER CANADA,2019-2020,1687.46,1693.46
BECKMAN COULTER CANADA,2020-2021,109090.51,104096.80
BECKMAN COULTER CANADA,2021-2022,11043.47,8624.45
BLUEDOT,2019-2020,66326.09,64720.96
BLUEDOT,2020-2021,2984673.91,2846109.14
BRUKER,2017-2018,878756.12,899575.79
BRUKER,2018-2019,175618.59,177924.11
BRUKER,2019-2020,1090868.46,1077690.73
BRUKER,2020-2021,237580.20,224755.47
BRUKER,2021-2022,124925.14,57557.06
CA,2021-2022,4260.74,0.00
CACHE COMPUTER CONSULTING,2017-2018,1291464.73,1325058.93
CACHE COMPUTER CONSULTING,2018-2019,2025436.67,2057273.40
CACHE COMPUTER CONSULTING,2019-2020,1033102.65,1023703.24
CACHE COMPUTER CONSULTING,2020-2021,879912.25,836506.43
CACHE COMPUTER CONSULTING,2021-2022,1089939.35,846966.00
CALTRIO COMPANY,2017-2018,35592.01,36514.31
CALTRIO COMPANY,2018-2019,44102.99,44749.58
CALTRIO COMPANY,2019-2020,56318.78,55843.51
CALTRIO COMPANY,2020-2021,56164.91,53394.31
CALTRIO COMPANY,2021-2022,56164.91,43935.82
CANADIAN PAEDIATRIC SOCIETY,2017-2018,6266.00,6427.90
CANADIAN PAEDIATRIC SOCIETY,2018-2019,7306.99,7420.63
CANADIAN PAEDIATRIC SOCIETY,2019-2020,7327.01,7265.18
CARAHSOFT TECHNOLOGY,2018-2019,44509.15,44978.83
CARAHSOFT TECHNOLOGY,2019-2020,39100.59,38154.34
CARAHSOFT TECHNOLOGY,2020-2021,26124.39,24851.12
CARAHSOFT TECHNOLOGY,2021-2022,37413.63,17358.65
CARMICHAEL ENGINEERING,2019-2020,22256.48,21908.49
CBCI TELECOM,2018-2019,23058.80,23285.68
CBCI TELECOM,2019-2020,49790.94,49370.75
CBCI TELECOM,2020-2021,53095.54,50046.72
CBCI TELECOM,2021-2022,35767.62,14425.44
CHARRON HUMAN RESOURCES,2018-2019,12204.00,12324.08
CHARRON HUMAN RESOURCES,2019-2020,39889.00,39549.38
CHU SAINTE JUSTINE,2017-2018,1505728.64,1544293.64
CHU SAINTE JUSTINE,2018-2019,2026771.20,2058290.49
CHU SAINTE JUSTINE,2019-2020,2149707.00,2130764.44
CHU SAINTE JUSTINE,2020-2021,2275298.73,2162948.55
CHU SAINTE JUSTINE,2021-2022,2085574.22,1620733.07
CISION CANADA,2018-2019,12147.50,12311.53
CISION CANADA,2019-2020,16226.22,16089.29
CISION CANADA,2020-2021,16181.89,15383.64
CISION CANADA,2021-2022,4034.39,3814.76
