d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,7278875.52,7466784.84
it_consulting_services,2018-2019,8426053.70,8555070.18
it_consulting_services,2019-2020,9060269.17,8984841.92
it_consulting_services,2020-2021,7203633.87,6855409.14
it_consulting_services,2021-2022,5468595.47,5069090.67
it_devices_equipment,2017-2018,389442.88,398712.69
it_devices_equipment,2018-2019,1260725.08,1273239.60
it_devices_equipment,2019-2020,280608.63,275577.19
it_devices_equipment,2020-2021,1004566.85,950918.20
it_devices_equipment,2021-2022,3294886.72,3033100.36
it_other,2017-2018,101262.96,103731.75
it_other,2018-2019,188905.07,190763.71
it_other,2019-2020,91551.71,89795.19
it_other,2020-2021,92740.76,88814.17
it_other,2021-2022,81686.88,75803.56
it_software_licensing,2017-2018,627096.09,643150.32
it_software_licensing,2018-2019,874596.78,888008.06
it_software_licensing,2019-2020,1264854.00,1254283.39
it_software_licensing,2020-2021,1361125.60,1293223.55
it_software_licensing,2021-2022,2420244.89,2240478.92
