d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED BUSINESS INTERIORS,2017-2018,37140.00,38201.41
ADVANCED BUSINESS INTERIORS,2019-2020,14574.26,14417.51
AMAZON,2019-2020,27235.09,26709.21
AMAZON,2020-2021,707860.64,673059.28
AMAZON,2021-2022,59846.34,57022.10
APPLIED ELECTONICS,2017-2018,777045.63,798659.04
APPLIED ELECTONICS,2018-2019,375504.93,382451.67
APPLIED ELECTONICS,2019-2020,817052.82,810833.88
APPLIED ELECTONICS,2020-2021,1700121.78,1614785.40
APPLIED ELECTONICS,2021-2022,1142762.35,1056012.99
BELL CANADA,2017-2018,76015.74,78149.38
BELL CANADA,2018-2019,235451.31,239134.81
BELL CANADA,2019-2020,564726.24,558657.83
BELL CANADA,2020-2021,88085.51,83801.86
BELL CANADA,2021-2022,67648.07,62734.54
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2017-2018,10208.52,10521.40
CDW CANADA,2017-2018,84753.74,87274.57
CDW CANADA,2019-2020,11354.93,11396.23
CDW CANADA,2020-2021,20339.42,19290.76
CDW CANADA,2021-2022,12155.17,11052.34
CISION CANADA,2018-2019,883.31,890.84
CISION CANADA,2019-2020,80822.61,80174.00
CISION CANADA,2020-2021,177940.51,169163.80
CISION CANADA,2021-2022,1352.67,1288.84
COSSETTE COMMUNICATIONS,2017-2018,55025.00,56564.03
CSI LEASING CANADA,2017-2018,83151.44,85687.55
CSI LEASING CANADA,2018-2019,32501.41,32988.95
CSI LEASING CANADA,2019-2020,927033.88,915741.00
CSI LEASING CANADA,2020-2021,1380227.67,1316076.09
CSI LEASING CANADA,2021-2022,664279.36,621926.94
DELL COMPUTER,2017-2018,321.79,330.66
DELL COMPUTER,2018-2019,21381.50,21600.79
DELL COMPUTER,2019-2020,117095.20,115688.29
DELL COMPUTER,2020-2021,211427.01,201476.17
DELL COMPUTER,2021-2022,265809.81,247347.72
DELOITTE,2019-2020,5481.87,5351.29
DELOITTE,2020-2021,66696.13,63586.38
DELOITTE,2021-2022,182.73,174.11
ECLIPSYS SOLUTIONS,2017-2018,30471.88,31399.67
ECLIPSYS SOLUTIONS,2018-2019,6114.42,6270.46
ENTRUST,2018-2019,3521.89,3565.32
ENTRUST,2019-2020,7450.93,7391.14
ENTRUST,2020-2021,20.36,19.19
FREEBALANCE,2017-2018,10950.00,11285.61
FREEBALANCE,2018-2019,12589.77,12800.15
GLOBE AND MAIL,2021-2022,1020.65,928.04
IBM CANADA,2017-2018,33468.97,34494.77
IBM CANADA,2018-2019,73015.60,73988.97
IBM CANADA,2019-2020,53480.64,52410.16
IBM CANADA,2020-2021,52223.47,49520.21
IBM CANADA,2021-2022,7478.98,6838.29
IPSS,2021-2022,245232.64,228504.62
IRON MOUNTAIN,2017-2018,28220.50,29079.74
IRON MOUNTAIN,2019-2020,34500.00,34168.15
IRON MOUNTAIN,2020-2021,37366.88,35643.44
IRON MOUNTAIN,2021-2022,37366.88,34966.47
MICROSOFT CANADA,2018-2019,134486.80,136775.99
MICROSOFT CANADA,2019-2020,7859.15,7785.14
MICROSOFT CANADA,2020-2021,146737.93,139928.22
MICROSOFT CANADA,2021-2022,222236.33,207591.72
MISHKUMI TECHNOLOGIES,2018-2019,11904.19,12005.72
MISHKUMI TECHNOLOGIES,2019-2020,3968.06,3982.50
NIELSEN,2017-2018,16369.07,16844.07
NIELSEN,2018-2019,11813.53,12100.46
NORTHERN MICRO,2019-2020,114147.16,113874.98
NORTHERN MICRO,2020-2021,545334.40,517217.94
NORTHERN MICRO,2021-2022,2091.99,1993.27
NUA OFFICE,2019-2020,23565.09,23588.66
ONX ENTERPRISE SOLUTIONS,2019-2020,17181.87,17244.36
ORACLE CANADA,2017-2018,57262.04,59003.95
ORACLE CANADA,2018-2019,71726.07,72895.61
ORACLE CANADA,2019-2020,170544.31,167014.93
ORACLE CANADA,2020-2021,58170.44,55778.27
ORACLE CANADA,2021-2022,88017.71,82225.86
PALADIN GROUP,2019-2020,34172.52,34131.29
PITNEY BOWES,2018-2019,1645.11,1675.18
PITNEY BOWES,2019-2020,1649.62,1636.38
PITNEY BOWES,2020-2021,1645.11,1568.41
PITNEY BOWES,2021-2022,1645.11,1539.43
QUADBRIDGE,2020-2021,66257.51,62841.39
RANDSTAD,2017-2018,28246.90,29108.55
RANDSTAD,2018-2019,13423.62,13625.37
RANDSTAD,2019-2020,4439.91,4456.05
ROHDE SCHWARZ CANADA,2017-2018,273097.17,281474.69
ROHDE SCHWARZ CANADA,2018-2019,336607.37,341825.60
ROHDE SCHWARZ CANADA,2019-2020,22859.73,22331.75
ROHDE SCHWARZ CANADA,2020-2021,120171.66,114108.35
ROHDE SCHWARZ CANADA,2021-2022,24603.12,22989.08
SHARP ELECTRONICS,2017-2018,33506.86,34671.22
SHI CANADA,2019-2020,70331.99,69443.54
SHI CANADA,2020-2021,29555.85,27942.94
SOFTCHOICE,2017-2018,962468.72,990115.44
SOFTCHOICE,2018-2019,713490.86,722520.03
SOFTCHOICE,2019-2020,721750.84,715427.32
SOFTCHOICE,2020-2021,614844.07,583380.34
SOFTCHOICE,2021-2022,335017.93,310812.93
SOFTSIM TECHNOLOGIES,2017-2018,52878.69,54359.50
SOFTSIM TECHNOLOGIES,2018-2019,47921.31,49090.02
SOLOTECH,2017-2018,14365.72,14820.47
SOLOTECH,2018-2019,24558.67,24768.11
SOLOTECH,2019-2020,140340.50,138893.47
ST JOHN AMBULANCE,2021-2022,16797.85,15615.72
STONEWORKS TECHNOLOGIES,2018-2019,29767.45,30311.57
STONEWORKS TECHNOLOGIES,2019-2020,29849.00,29609.46
STONEWORKS TECHNOLOGIES,2020-2021,104772.73,99517.67
STONEWORKS TECHNOLOGIES,2021-2022,284166.96,259173.23
TEKNION,2019-2020,796155.34,797669.26
TELUS CANADA,2019-2020,48910.27,48890.20
XEROX,2019-2020,7433.45,7342.43
XEROX,2020-2021,10200.04,9724.46
XEROX,2021-2022,10200.04,9544.80
