d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,6219344.36,6368648.85
0_other,2018-2019,6775319.73,6876262.86
0_other,2019-2020,4740028.92,4672851.51
0_other,2020-2021,4589883.92,4351038.48
0_other,2021-2022,5062581.27,4666023.38
1_facilities_and_construction,2017-2018,3394283.23,3480634.00
1_facilities_and_construction,2018-2019,4245196.59,4305203.92
1_facilities_and_construction,2019-2020,3700095.23,3659478.43
1_facilities_and_construction,2020-2021,4593552.79,4365583.01
1_facilities_and_construction,2021-2022,4493834.59,4148636.94
10_office_management,2017-2018,5089877.26,5217765.49
10_office_management,2018-2019,3570353.78,3615988.36
10_office_management,2019-2020,2234974.73,2204504.72
10_office_management,2020-2021,1334987.90,1266026.69
10_office_management,2021-2022,1466011.67,1342138.07
2_professional_services,2017-2018,51659898.16,52975737.50
2_professional_services,2018-2019,50874632.17,51602150.24
2_professional_services,2019-2020,39393282.22,38940560.82
2_professional_services,2020-2021,38354145.02,36418910.78
2_professional_services,2021-2022,44803400.88,41306551.28
3_information_technology,2017-2018,29363271.10,30107579.16
3_information_technology,2018-2019,34740063.84,35229159.24
3_information_technology,2019-2020,42329863.46,41868025.67
3_information_technology,2020-2021,43602013.92,41341195.59
3_information_technology,2021-2022,44253860.29,40925256.95
4_medical,2017-2018,65195.16,66863.77
4_medical,2018-2019,19078.64,19322.58
4_medical,2019-2020,52965.12,52518.15
4_medical,2020-2021,42566.18,40466.47
4_medical,2021-2022,128240.16,120164.64
5_transportation_and_logistics,2017-2018,18448259.72,18938291.16
5_transportation_and_logistics,2018-2019,18453557.37,18737540.15
5_transportation_and_logistics,2019-2020,15708887.23,15597844.59
5_transportation_and_logistics,2020-2021,11743076.66,11156767.18
5_transportation_and_logistics,2021-2022,13389413.54,12444378.79
6_industrial_products_and_services,2017-2018,14444490.63,14800789.94
6_industrial_products_and_services,2018-2019,13260712.53,13430691.51
6_industrial_products_and_services,2019-2020,10382887.44,10232710.68
6_industrial_products_and_services,2020-2021,8788646.66,8317294.42
6_industrial_products_and_services,2021-2022,14977042.77,13680347.23
7_travel,2017-2018,510025.25,523270.43
7_travel,2018-2019,405540.03,411722.95
7_travel,2019-2020,13335.00,13191.71
7_travel,2021-2022,108964.06,101130.67
8_security_and_protection,2017-2018,3956355.90,4058778.32
8_security_and_protection,2018-2019,4243618.81,4307966.58
8_security_and_protection,2019-2020,4211404.81,4171842.19
8_security_and_protection,2020-2021,4073022.03,3873911.13
8_security_and_protection,2021-2022,4540361.16,4204313.98
9_human_capital,2017-2018,7564885.59,7756854.48
9_human_capital,2018-2019,5271120.07,5344841.16
9_human_capital,2019-2020,7664786.63,7580693.51
9_human_capital,2020-2021,6817750.31,6472037.03
9_human_capital,2021-2022,6053202.55,5567850.36
