d_vendor_name,overall_total
MNP,6460721.10
GC STRATEGIES,5697336.33
GARTNER,3126326.67
ORANGUTECH,1992425.68
COLLIERS PROJECT LEADERS,1728877.40
STONEWORKS TECHNOLOGIES,1626795.35
ACCESS 2 NETWORKS,1202283.80
SOFTSIM TECHNOLOGIES,869874.00
TES CONTRACT SERVICES,789244.49
NITAM SOLUTIONS,453586.59
ITEX,444521.10
OPENFRAME TECHNOLOGIES,412820.85
LEO PISCES SERVICES GROUP,406281.34
BLACKBERRY,363031.12
ORACLE CANADA,313073.97
FREEBALANCE,290794.80
SYSTEMSCOPE,256968.73
DLS TECHNOLOGY,244070.67
CACHE COMPUTER CONSULTING,228260.00
SAP,218021.85
MAVERIN,203552.92
TOTEM OFFISOURCE,189500.82
UNIVERSITY OF OTTAWA,161710.20
CITRIX,149257.56
VMWARE,133720.04
PROQUEST,121862.28
EAGLE PROFESSIONAL RESOURCES,105793.42
CGI,102969.00
CISION CANADA,101571.36
QUINTET CONSULTING,70794.50
MESSA COMPUTING,68197.40
MOBILE RESOURCE GROUP,67619.20
PROMAXIS,64071.01
CNW GROUP,55851.38
FORRESTER RESEARCH,47000.00
CSDC SYSTEMS,46266.94
TRANSPOLAR TECHNOLOGY,45954.25
LANNICK CONTRACT SOLUTIONS,41234.52
ADVANCED BUSINESS INTERIORS,37788.56
SDL INTERNATIONAL CANADA,36788.73
ENTRUST,36024.07
ASOKAN BUSINESS INTERIORS,34888.20
INTEGRA NETWORKS,30106.67
ZERNAM ENTERPRISE,29347.49
CANSEL SURVEY EQUIPMENT,26913.21
PROTAK CONSULTING GROUP,24984.30
RHEA,24973.00
LINOVATI,24860.00
GLOBAL KNOWLEDGE,23040.70
COMMVAULT SYSTEMS,21974.09
SALESFORCE CANADA,15251.74
GLOBAL UPHOLSTERY,11625.99
INSA,10784.35
CARAHSOFT TECHNOLOGY,10037.79
