d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,41791.68707053738
1_facilities_and_construction,2020-2021,42665.11292946262
10_office_management,2019-2020,60265.4
10_office_management,2020-2021,48774.979999999996
2_professional_services,2019-2020,128459.25925925927
2_professional_services,2020-2021,570096.9879460442
3_information_technology,2019-2020,24519.601219512195
3_information_technology,2020-2021,831741.6504753503
6_industrial_products_and_services,2020-2021,133692.03999999998
9_human_capital,2019-2020,15901.94702997275
9_human_capital,2020-2021,360626.0770796163
