d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,41763.70,42752.92
it_consulting_services,2018-2019,218670.83,221572.36
it_consulting_services,2019-2020,349321.95,346063.82
it_consulting_services,2020-2021,594438.14,564967.98
it_consulting_services,2021-2022,535036.28,496441.98
it_devices_equipment,2017-2018,162108.83,165930.07
it_devices_equipment,2018-2019,131906.24,134202.77
it_devices_equipment,2019-2020,149413.94,147211.21
it_devices_equipment,2020-2021,92918.27,88557.12
it_devices_equipment,2021-2022,128417.74,120304.76
it_other,2017-2018,48486.78,49629.71
it_other,2018-2019,40043.38,40913.10
it_other,2020-2021,20915.43,19777.52
it_software_licensing,2017-2018,10597.91,10864.78
it_software_licensing,2018-2019,161168.15,163739.27
it_software_licensing,2019-2020,269867.96,267609.80
it_software_licensing,2020-2021,239840.89,228131.72
it_software_licensing,2021-2022,258920.59,239589.37
