d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,741208.15,759701.90
it_consulting_services,2018-2019,1446218.87,1466558.14
it_consulting_services,2019-2020,3156920.65,3126421.69
it_consulting_services,2020-2021,2981019.48,2834071.40
it_consulting_services,2021-2022,2427405.19,2252901.95
it_devices_equipment,2017-2018,577514.10,591219.60
it_devices_equipment,2018-2019,182974.31,185026.83
it_devices_equipment,2019-2020,384623.86,381723.30
it_devices_equipment,2020-2021,354783.94,337703.55
it_devices_equipment,2021-2022,362448.56,337963.63
it_other,2017-2018,10247.62,10489.18
it_other,2018-2019,21551.90,22020.00
it_other,2019-2020,114829.53,113442.62
it_other,2020-2021,52059.50,49414.16
it_other,2021-2022,53335.82,49753.64
it_software_licensing,2017-2018,197463.59,202299.67
it_software_licensing,2018-2019,733343.16,744983.79
it_software_licensing,2019-2020,585660.38,580766.51
it_software_licensing,2020-2021,755752.52,718467.62
it_software_licensing,2021-2022,470727.99,437320.78
