d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ACCESS 2 NETWORKS,2019-2020,448.04,437.81
ACCESS 2 NETWORKS,2020-2021,40503.68,38576.30
ACCESS 2 NETWORKS,2021-2022,24931.99,23179.97
ACCESS 2 NETWORKS,2022-2023,24706.24,22107.16
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,15680.06,16129.21
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,21327.61,21848.64
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,8739.57,8259.69
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,29233.55,27482.43
ADVANCED CHIPPEWA TECHNOLOGIES,2022-2023,32323.60,28919.92
AIR INUIT,2022-2023,84980.72,76760.05
ALTIS HUMAN RESOURCES,2019-2020,83560.54,81653.26
ALTIS HUMAN RESOURCES,2020-2021,423605.50,403408.28
ALTIS HUMAN RESOURCES,2021-2022,82080.39,76753.69
APPTION,2017-2018,24973.00,25694.36
BLACKBERRY,2017-2018,4745.85,4883.18
BLACKBERRY,2018-2019,6725.91,6885.79
BLACKBERRY,2019-2020,15153.30,14998.87
BLACKBERRY,2020-2021,3030.66,2862.85
BLACKBERRY,2021-2022,49975.78,45946.17
BLACKBERRY,2022-2023,51825.52,46356.07
BOYD MOVING STORAGE,2021-2022,518.07,468.33
BOYD MOVING STORAGE,2022-2023,3205.00,2867.85
CALIAN,2017-2018,27237.42,28123.11
CDW CANADA,2017-2018,1223.88,1258.84
CDW CANADA,2018-2019,10838.14,11046.40
CDW CANADA,2019-2020,19062.23,18830.01
CDW CANADA,2020-2021,33812.71,32207.64
CDW CANADA,2021-2022,30425.59,28310.40
CDW CANADA,2022-2023,29695.71,26568.56
CISION CANADA,2017-2018,22600.00,23298.59
CISION CANADA,2018-2019,22600.00,23033.09
CISION CANADA,2019-2020,22600.00,22419.72
CISION CANADA,2020-2021,22600.00,21522.45
CISION CANADA,2021-2022,22600.00,21011.80
CISION CANADA,2022-2023,22600.00,20222.57
CISTEL TECHNOLOGY,2019-2020,15572.81,15217.36
COSSETTE COMMUNICATIONS,2020-2021,29380.00,27684.06
COSSETTE COMMUNICATIONS,2022-2023,83625.65,75072.87
DLS TECHNOLOGY,2018-2019,10899.49,11090.11
DLS TECHNOLOGY,2020-2021,21238.93,20253.89
DLS TECHNOLOGY,2021-2022,20941.59,19431.85
DLS TECHNOLOGY,2022-2023,44312.41,39670.94
DYNAMIC PERSONNEL CONSULTANTS,2018-2019,0.00,0.00
FCA CANADA,2017-2018,23483.57,24154.23
FCA CANADA,2018-2019,34322.15,35238.44
FCA CANADA,2020-2021,56164.39,53960.58
FREEBALANCE,2017-2018,43260.92,44598.16
FREEBALANCE,2018-2019,52361.74,53279.68
FREEBALANCE,2019-2020,59226.04,58526.90
FREEBALANCE,2020-2021,44421.52,42303.53
FREEBALANCE,2021-2022,44421.52,41299.83
GC STRATEGIES,2018-2019,38656.95,39140.19
GC STRATEGIES,2019-2020,96247.92,95480.15
GC STRATEGIES,2020-2021,95984.95,91408.45
GC STRATEGIES,2021-2022,149753.39,137845.48
GC STRATEGIES,2022-2023,247439.04,222172.92
GLOBAL UPHOLSTERY,2019-2020,11322.60,11307.65
GLOBAL UPHOLSTERY,2020-2021,15393.41,14762.32
GLOBAL UPHOLSTERY,2021-2022,377.92,341.63
GLOBAL UPHOLSTERY,2022-2023,23053.20,20823.13
HEWLETT PACKARD,2017-2018,19336.93,19934.65
HEWLETT PACKARD,2018-2019,19336.93,19707.48
