d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,314677.27,322188.17
0_other,2018-2019,319158.81,322577.91
0_other,2019-2020,262970.36,259248.80
0_other,2020-2021,128954.81,122758.58
0_other,2021-2022,34030.90,30736.71
1_facilities_and_construction,2017-2018,3103767.60,3182370.23
1_facilities_and_construction,2018-2019,3847708.57,3904133.81
1_facilities_and_construction,2019-2020,7974539.95,7839285.49
1_facilities_and_construction,2020-2021,58370662.11,55550064.84
1_facilities_and_construction,2021-2022,4966600.42,4578754.45
10_office_management,2017-2018,352475.25,361127.90
10_office_management,2018-2019,816347.58,828110.01
10_office_management,2019-2020,627701.55,619742.41
10_office_management,2020-2021,4955253.93,4716220.87
10_office_management,2021-2022,617580.31,571907.40
2_professional_services,2017-2018,30500659.60,31287381.35
2_professional_services,2018-2019,31179774.43,31654986.60
2_professional_services,2019-2020,34268244.16,33968088.85
2_professional_services,2020-2021,86183028.35,81847598.90
2_professional_services,2021-2022,381785720.87,349925313.55
3_information_technology,2017-2018,7393138.64,7574532.45
3_information_technology,2018-2019,6735778.91,6823118.77
3_information_technology,2019-2020,4460152.99,4407980.15
3_information_technology,2020-2021,25598323.50,24225778.94
3_information_technology,2021-2022,48047152.84,44495062.56
4_medical,2017-2018,10714010.87,10986417.56
4_medical,2018-2019,12689580.09,12871799.80
4_medical,2019-2020,34901624.43,34319699.91
4_medical,2020-2021,3487349618.10,3315179058.97
4_medical,2021-2022,1485084665.40,1383881532.50
5_transportation_and_logistics,2017-2018,303523.53,311212.93
5_transportation_and_logistics,2018-2019,74172.08,75006.14
5_transportation_and_logistics,2019-2020,346364.44,338301.81
5_transportation_and_logistics,2020-2021,29745635.82,28120715.63
5_transportation_and_logistics,2021-2022,80232648.75,74498511.81
6_industrial_products_and_services,2017-2018,6007762.11,6153658.57
6_industrial_products_and_services,2018-2019,5725821.60,5798835.25
6_industrial_products_and_services,2019-2020,8552652.39,8393815.67
6_industrial_products_and_services,2020-2021,176559578.20,167886554.90
6_industrial_products_and_services,2021-2022,16537526.13,15324900.59
7_travel,2019-2020,41937.80,42086.91
8_security_and_protection,2018-2019,184284.02,187149.91
8_security_and_protection,2019-2020,2132816.49,2081377.97
8_security_and_protection,2020-2021,39026331.71,36985726.47
8_security_and_protection,2021-2022,76105210.04,70820602.87
9_human_capital,2017-2018,1293955.24,1326829.41
9_human_capital,2018-2019,1101083.32,1116332.27
9_human_capital,2019-2020,1273100.98,1260835.52
9_human_capital,2020-2021,3288849.80,3126194.93
9_human_capital,2021-2022,3226093.84,2992904.48
