d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,36267.00,35403.09
1_facilities_and_construction,2021-2022,97855.84,89900.94
2_professional_services,2017-2018,3542.52,3640.15
2_professional_services,2018-2019,76305.73,77620.06
2_professional_services,2019-2020,406795.02,401152.45
2_professional_services,2020-2021,258930.40,246785.29
2_professional_services,2021-2022,481687.95,450680.00
3_information_technology,2019-2020,33525.09,32780.85
3_information_technology,2020-2021,33089.08,31552.31
3_information_technology,2021-2022,18023.22,16865.43
5_transportation_and_logistics,2019-2020,388020.50,381836.23
5_transportation_and_logistics,2020-2021,880043.60,837501.52
6_industrial_products_and_services,2018-2019,1824.77,1840.33
6_industrial_products_and_services,2019-2020,113788.50,111923.23
6_industrial_products_and_services,2020-2021,71878.84,68520.79
6_industrial_products_and_services,2021-2022,43628.55,39737.24
9_human_capital,2019-2020,24921.00,24890.93
9_human_capital,2021-2022,39578.25,37555.80
