d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
FELIX TECHNOLOGY,2020-2021,557903.60,530443.44
GOSS GILROY,2021-2022,29250.51,0.00
LUMINA IT,2018-2019,13345.92,13475.08
LUMINA IT,2019-2020,61057.60,60932.53
LUMINA IT,2020-2021,10343.09,10433.57
MAXSYS STAFFING AND CONSULTING,2019-2020,14746.50,14697.02
QMR,2020-2021,39324.00,37519.41
RAYMOND CHABOT GRANT THORNTON,2019-2020,69071.11,68883.61
RAYMOND CHABOT GRANT THORNTON,2020-2021,97716.89,95663.63
STRATOS,2019-2020,39380.50,39266.12
STRATOS,2021-2022,34925.00,31847.54
UNIVERSITY OF GUELPH,2019-2020,24921.00,24909.63
UNIVERSITY OF WATERLOO,2019-2020,27952.25,27990.58
