d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2315.73,2379.54
1_facilities_and_construction,2018-2019,22544.27,22978.94
10_office_management,2017-2018,84331.35,86829.22
10_office_management,2018-2019,100710.98,102051.13
10_office_management,2019-2020,114500.80,112673.25
10_office_management,2020-2021,37454.62,35703.45
10_office_management,2021-2022,21093.54,19987.27
2_professional_services,2017-2018,586682.07,604658.38
2_professional_services,2018-2019,988034.94,1004454.37
2_professional_services,2019-2020,731376.07,725485.19
2_professional_services,2020-2021,378061.02,360106.81
2_professional_services,2021-2022,416398.45,386569.57
3_information_technology,2017-2018,3409753.14,3513172.21
3_information_technology,2018-2019,5019273.11,5109507.12
3_information_technology,2019-2020,6253326.59,6206757.50
3_information_technology,2020-2021,5047190.51,4808223.28
3_information_technology,2021-2022,4580374.95,4284929.69
8_security_and_protection,2017-2018,8940.89,9190.78
8_security_and_protection,2018-2019,22352.23,22760.81
8_security_and_protection,2019-2020,22413.47,22233.60
9_human_capital,2017-2018,215411.74,221854.20
9_human_capital,2018-2019,221803.06,225646.98
9_human_capital,2019-2020,133504.77,131781.29
9_human_capital,2020-2021,155911.23,148656.54
9_human_capital,2021-2022,220855.07,206043.76
