d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,1041357.9555591005
1_facilities_and_construction,2018-2019,10760.26
1_facilities_and_construction,2019-2020,77373
10_office_management,2017-2018,14415.97
2_professional_services,2017-2018,269074.92670116364
2_professional_services,2018-2019,184868.70068714506
2_professional_services,2019-2020,130476.19047619049
3_information_technology,2017-2018,630809.7839794821
3_information_technology,2018-2019,359999.81672534876
3_information_technology,2019-2020,48546.85757165873
5_transportation_and_logistics,2017-2018,20970
5_transportation_and_logistics,2018-2019,20750
6_industrial_products_and_services,2017-2018,14414.340000000002
7_travel,2019-2020,23000
9_human_capital,2019-2020,199000
