d_vendor_name,overall_total
SUN LIFE ASSURANCE COMPANY,207278129.99
SYSTEMATIX SOLUTIONS,87605729.19
CACHE COMPUTER CONSULTING,23333307.54
IBM CANADA,21624397.63
MICROSOFT CANADA,19972101.39
SAP,19759839.11
THE CANADA LIFE ASSURANCE COMPANY,17935425.62
SI SYSTEMS,16460339.78
GC STRATEGIES,10714356.69
GARTNER,8477779.47
NORTHERN MICRO,8370696.70
DELOITTE,7687482.82
THE MASHA KRUPP TRANSLATION GROUP,6814127.59
TEKSYSTEMS CANADA,6194998.13
PRICEWATERHOUSE COOPERS,6136609.08
TES CONTRACT SERVICES,5855600.36
PLEIAD CANADA,5832246.47
THE AIM GROUP,5363423.50
ERNST YOUNG,5225912.92
ALTIS HUMAN RESOURCES,5040494.76
LUMINA IT,4767458.99
ECOLE DE LANGUES LA CITE,4737975.00
EXCEL HUMAN RESOURCES,4460472.24
ORANGUTECH,3696480.04
CLOSEREACH,3477157.15
ONIX NETWORKING CANADA,3462640.06
RANDSTAD,3089532.16
PROCOM CONSULTANTS,3085597.33
QMR,2981870.12
I4C INFORMATION TECHNOLOGY,2867701.83
CANADIAN CORPS OF COMMISSIONAIRES,2835196.96
NISHA TECHONOLOGIES,2769390.79
AVI SPL CANADA,2534157.57
CISTEL TECHNOLOGY,2227935.22
GOSS GILROY,2163149.99
MERCER CANADA,2022824.12
IBISKA TELECOM,2012022.25
MAPLESOFT CONSULTING,2005759.54
ORACLE CANADA,2005469.67
TPG TECHNOLOGY CONSULTANTS,2000000.00
TFORCE FINAL MILE,1921000.00
KONICA MINOLTA BUSINESS SOLUTIONS,1816523.52
MODIS CANADA,1782220.52
MDOS CONSULTING,1593918.36
MAXSYS STAFFING AND CONSULTING,1563921.60
LEVERAGE TECHNOLOGY RESOURCES,1381408.88
TIREE,1325008.08
AMAZON,1317580.00
KORN FERRY CA,1211528.76
ORBIS RISK CONSULTING,1192613.98
THE RIGHT DOOR CONSULTING,1169250.53
BDO CANADA,1052664.02
LES TRADUCTIONS TESSIER,1046513.53
OTTAWA CONVENTION CENTRE,1045873.25
TAG HR,1039328.86
MNP,994554.71
NEWFOUND RECRUITING,966696.67
GRAYBRIDGE INTERNATIONAL CONSULTING,830051.98
WATERSHED INFORMATION TECHNOLOGY,752185.58
SIERRA SYSTEMS GROUP,739443.75
INFO TECH RESEARCH GROUP,720010.59
CGI,682709.45
VERITAAQ TECHNOLOGY HOUSE,682521.00
THOMAS SCHMIDT,661317.50
ARTEMP PERSONNEL SERVICES,624174.09
ADVANCED CHIPPEWA TECHNOLOGIES,622630.93
PROSCI CANADA,605487.90
MARKIDO,595888.21
KPMG,587648.53
49 SOLUTIONS,586372.50
MCCARTHY TETRAULT,565000.00
ECLIPSYS SOLUTIONS,465159.23
RHEA,456175.18
ACCENTURE,452000.00
INSA,444161.16
SOFTCHOICE,426433.62
DONNA CONA,419326.78
OPROMA,397935.34
WPP GROUP CANADA COMMUNICATIONS,377446.25
SYSTEMSCOPE,373664.50
SUSE SOFTWARE SOLUTIONS CANADA,370823.70
SAS INSTITUTE,356806.04
THE HALIFAX GROUP,356750.96
UNIVERSITY OF OTTAWA,355437.30
PHOENIX STRATEGIC PERSPECTIVES,340772.15
CBCI TELECOM,335994.13
TERAMACH TECHNOLOGIES,332873.70
PRINTERS PLUS,298552.69
DELCO AUTOMATION,292576.59
CDW CANADA,272061.97
DLS TECHNOLOGY,269188.07
FAST TRACK STAFFING,266486.85
PROTAK CONSULTING GROUP,258770.00
ECOLE DE LANGUES ABCE,250575.00
ICEBERG NETWORKS,244147.80
CONEXSYS,243833.92
QUINTET CONSULTING,243430.25
JUMPING ELEPHANTS,223727.14
CONTRACT COMMUNITY,217726.14
INSTITUTE ON GOVERNANCE,215851.50
WOLTERS KLUWER,208600.90
SOLOTECH,206242.22
ROGERS,204760.24
MEDIA Q,192120.42
COLLIERS PROJECT LEADERS,192100.00
CSDC SYSTEMS,174260.61
TEKNION,172298.09
EKOS RESEARCH ASSOCIATES,160425.51
ENVIRONICS RESEARCH GROUP,154748.64
CARAHSOFT TECHNOLOGY,148674.56
MULTISHRED,145341.73
BLOOMBERG FINANCE L P,144889.92
TURTLE ISLAND STAFFING,140993.28
NOVA NETWORKS,140237.78
NOVIPRO,126919.14
FORRESTER RESEARCH,115099.93
ITEX,115043.77
DALHOUSIE UNIVERSITY,102900.00
SHI CANADA,102298.96
TANKATEK,97719.01
LEAN AGILITY,93326.98
MELTWATER NEWS CANADA,87003.22
OPTIV CANADA FEDERAL,83543.91
EXIT CERTIFIED,81935.92
UNIVERSITY OF WATERLOO,80773.47
THINKPOINT,80343.00
TELECOM COMPUTER SERVICES,79955.21
EVALUATION PERSONNEL SELECTION,79816.53
GENESIS INTEGRATION,78390.37
NEOPOST CANADA,74138.82
TELUS CANADA,70289.24
SAMSON ASSOCIES,69507.83
WESTBURY NATIONAL SHOW SYSTEMS,69255.15
DARE HUMAN RESOURCES,67800.00
QUEEN S UNIVERSITY,67009.00
BRECKENHILL,64127.50
IMP GROUP,56500.00
FORD MOTOR COMPANY,55151.91
DELL COMPUTER,50000.00
AVENAI,49998.99
LINOVATI,49494.11
VARD MARINE,39963.16
ABS AMERICAS,39917.25
TECHNOMICS,39750.00
CANADA POST,36656.82
ONX ENTERPRISE SOLUTIONS,33900.00
CORADIX TECHNOLOGY CONSULTING,33617.50
GILMORE REPRODUCTIONS,33425.40
PROLOGIC SYSTEMS,32942.33
GENERAL DYNAMICS,32000.12
LRO STAFFING,29662.50
SOLACE,28249.87
GLOBAL KNOWLEDGE,27120.00
PROMAXIS,26265.67
DYNAMIC PERSONNEL CONSULTANTS,25424.95
CA,25349.97
MINDWIRE SYSTEMS,24999.79
OPENTEXT,24998.99
GLOBAL UPHOLSTERY,24998.71
CONNEX TELECOMMUNICATIONS,24973.00
COMPUGEN,24957.72
STANTEC,24860.00
CONVERSART CONSULTING,24408.00
ZERNAM ENTERPRISE,23479.14
CARLETON UNIVERSITY,22261.00
UNIVERSITY OF TORONTO,21598.60
DWP SOLUTIONS,20754.68
MORNEAU SHEPELL,20451.96
THOMSON REUTERS,20195.70
LANSDOWNE TECHNOLOGIES,18136.50
ADVANCED BUSINESS INTERIORS,14758.93
BELL CANADA,14059.37
CISION CANADA,11921.50
TECSIS,11884.05
AON REED STENHOUSE,10735.00
TOTEM OFFISOURCE,10576.80
PITNEY BOWES,9920.55
WSP,7076.77
COMMUNITECH,7052.64
DATA CENTRE INTELLIGENCE,5610.08
IPSS,4676.13
VIDCRUITER,3700.29
XEROX,3038.58
LIKE 10,2415.12
