d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,69571.60,71739.34
10_office_management,2018-2019,38364.51,38781.84
10_office_management,2019-2020,1216.06,1188.30
10_office_management,2020-2021,94693.09,90818.48
10_office_management,2022-2023,107065.17,94949.18
2_professional_services,2017-2018,159133.40,163840.60
2_professional_services,2018-2019,26967.50,27219.42
2_professional_services,2019-2020,42007.70,41917.17
2_professional_services,2020-2021,23066.02,21734.55
2_professional_services,2021-2022,29095.00,26564.66
2_professional_services,2022-2023,44275.00,39180.96
3_information_technology,2017-2018,303899.88,313562.15
3_information_technology,2019-2020,138864.59,137544.40
3_information_technology,2020-2021,208358.75,198088.20
3_information_technology,2021-2022,154648.37,140158.90
3_information_technology,2022-2023,71347.77,63850.73
8_security_and_protection,2017-2018,11571.82,11929.52
8_security_and_protection,2018-2019,10206.02,10401.60
8_security_and_protection,2019-2020,13541.94,13433.92
8_security_and_protection,2022-2023,13321.31,11903.71
9_human_capital,2017-2018,36230.87,37302.18
9_human_capital,2018-2019,58672.88,59757.24
9_human_capital,2019-2020,10490.00,10365.06
9_human_capital,2020-2021,28653.07,27338.66
9_human_capital,2021-2022,8884.43,8260.08
9_human_capital,2022-2023,46921.98,41604.72
