d_vendor_name,overall_total
IBM CANADA,433090354.87
DELOITTE,379781713.69
VERITAAQ TECHNOLOGY HOUSE,378082414.32
SI SYSTEMS,329311062.92
TPG TECHNOLOGY CONSULTANTS,256810316.50
TEKSYSTEMS CANADA,246774000.60
PRICEWATERHOUSE COOPERS,245321629.48
CGI,220132803.38
ACCENTURE,215578548.73
COFOMO,190082672.37
MAPLESOFT CONSULTING,171458129.45
MODIS CANADA,158584079.17
IBISKA TELECOM,158119293.69
EXCEL HUMAN RESOURCES,156757623.54
SYSTEMATIX SOLUTIONS,148997385.18
RANDSTAD,131181324.65
GARTNER,129644497.51
DONNA CONA,118519950.85
CACHE COMPUTER CONSULTING,111827375.61
MINDWIRE SYSTEMS,111519174.61
CISTEL TECHNOLOGY,109452140.02
2KEYS,107218564.77
CORADIX TECHNOLOGY CONSULTING,106798977.23
MICROSOFT CANADA,90156899.29
INFOSYS,89584762.73
HEWLETT PACKARD,86590086.16
CALIAN,85501498.40
TES CONTRACT SERVICES,85358254.20
BELL CANADA,83298654.16
COMPUGEN,82289001.43
THE AIM GROUP,74323426.03
ELLISDON,73335521.59
ADGA GROUP,72692314.33
ADRM TECHNOLOGY CONSULTING,72170828.53
GC STRATEGIES,59672509.75
PROCOM CONSULTANTS,47056532.66
OPENTEXT,46510749.70
BMC SOFTWARE CANADA,41433511.76
DALIAN ENTERPRISES,37300931.39
FUJITSU,35300501.36
COLLIERS PROJECT LEADERS,35187577.69
TIREE,34999126.00
ADOBE,34373176.74
LUMINA IT,33436710.39
ERNST YOUNG,33046506.78
SAP,31196086.53
APPLIED ELECTONICS,30763798.95
KPMG,30388351.34
IT NET CONSULTANTS,30103946.64
TRM TECHNOLOGIES,29585676.53
PRECISIONIT,29212426.71
MCKINSEY AND COMPANY,29071522.50
KYNDRYL CANADA,28264240.35
EAGLE PROFESSIONAL RESOURCES,27782544.19
529040 ONTARIO AND 880382,23874056.01
AMAZON,22710278.53
NEWFOUND RECRUITING,21444816.85
SYSTEMSCOPE,21155550.57
BDO CANADA,19435235.99
VANCOUVER SHIPYARDS,19264963.35
XEROX,19036022.73
MDOS CONSULTING,16937962.35
G4S SECURITY SERVICES,16910997.11
PROTAK CONSULTING GROUP,16456620.98
CANADIAN CORPS OF COMMISSIONAIRES,15990370.09
MNP,15914417.02
NAV CANADA,15852876.49
MGIS,15827382.48
FVB ENERGY,15611082.98
I4C INFORMATION TECHNOLOGY,15438321.13
SOLOTECH,15209960.14
SOLUTIONS MOERAE,15157571.18
ORANGUTECH,14339918.51
MICHAEL WAGER CONSULTING,14277224.13
TERAMACH TECHNOLOGIES,13937100.09
ORACLE CANADA,13866881.91
SDL INTERNATIONAL CANADA,13443021.87
NAVPOINT CONSULTING GROUP,13120963.67
IFATHOM,12847197.61
ALTIS HUMAN RESOURCES,12465885.55
D4IS SOLUTIONS,12393739.38
CERIDIAN,11915767.64
HITACHI DATA SYSTEMS,11638024.31
ELSEVIER,11588237.44
CYTELLIGENCE,11300000.00
STANTEC,11211451.84
MAKWA RESOURCING,10698636.08
SIERRA SYSTEMS GROUP,10692221.20
COSSETTE COMMUNICATIONS,10526884.29
THRIVE HEALTH,10141750.00
CLOSEREACH,10127120.20
10647802 CANADA,9978579.04
NIMBLE INFORMATION STRATEGIES,9524349.31
DEXTERRA,9493588.67
NORTHERN MICRO,8913313.47
IPSS,8878373.91
XPERA RISK MITIGATION INVESTIGATION,8807479.54
3M CANADA COMPANY,8803060.89
ST JOHN AMBULANCE,8687628.66
TUNDRA TECHNICAL SOLUTIONS,8521079.64
529040 ONTARIO 880382 ONTARIO,8507558.28
HASKONING UK,8468172.95
APPTION,8288826.76
MAXSYS STAFFING AND CONSULTING,8188187.10
LS TELCOM,8107533.39
INFO TECH RESEARCH GROUP,7638522.03
ALIVAKTUK CONSULTING,7099076.14
THE VCAN GROUP,7071086.96
LINOVATI,6988319.75
LIKE 10,6950358.15
THE HALIFAX COMPUTER CONSULTING GROUP,6858282.90
NISHA TECHONOLOGIES,6498954.27
N12 CONSULTING,6490923.57
QMR,6431724.34
EBSCO CANADA,6347873.71
POMERLEAU,6347116.84
THINKON,6286740.02
WORKDYNAMICS TECHNOLOGIES,6260929.85
EPERFORMANCE,6119510.40
