owner_org,overall_total
ssc-spc,3194958682.90
rcmp-grc,434345823.19
pwgsc-tpsgc,269440727.82
cbsa-asfc,96944564.45
dfo-mpo,94116291.32
dfatd-maecd,48717956.83
csc-scc,40922360.28
esdc-edsc,32038294.74
tc,31401456.25
ps-sp,28039656.96
hc-sc,27288026.10
elections,25419229.04
aafc-aac,23980751.66
pc,20153312.27
csa-asc,19043486.28
ic,15366238.96
nrcan-rncan,11493870.82
nfb-onf,11221144.38
cas-satj,10698652.18
pco-bcp,10187203.88
ec,9543624.58
cra-arc,8925104.59
pch,7891910.29
cer-rec,7730970.26
jus,7021868.74
cic,6433804.45
osfi-bsif,4893806.55
nrc-cnrc,4685280.82
csps-efpc,3804914.43
isc-sac,3119459.67
vac-acc,2968500.58
crtc,2875891.31
phac-aspc,2687998.48
ppsc-sppc,2480668.10
cfia-acia,2305471.60
wage,1877107.74
tsb-bst,1792040.98
statcan,1758353.61
osgg-bsgg,1681750.97
cgc-ccg,1664255.34
aandc-aadnc,1588779.03
lac-bac,1567510.06
ced-dec,1514299.18
pbc-clcc,1470170.29
fin,1403683.86
irb-cisr,1385835.34
atssc-scdata,1372866.30
oag-bvg,1320323.01
ocol-clo,1132084.41
sirc-csars,1009791.46
cnsc-ccsn,960596.43
tbs-sct,944130.11
cta-otc,921655.50
iaac-aeic,889259.96
infc,787622.40
nserc-crsng,756710.41
ocl-cal,589515.02
fja-cmf,576833.09
psc-cfp,566326.59
cihr-irsc,561298.68
chrc-ccdp,544667.09
ijc-cmi,488668.43
psic-ispc,478095.71
fcac-acfc,450882.54
cics-scic,407882.76
vrab-tacra,398496.95
feddevontario,373675.71
wd-deo,365951.55
swc-cfc,331671.20
sshrc-crsh,327779.73
acoa-apeca,299775.87
opc-cpvp,295214.65
pmprb-cepmb,249829.46
fintrac-canafe,223531.71
ccohs-cchst,217671.24
oci-bec,203454.28
nsira-ossnr,197877.16
nbc-ccbn,196409.00
casdo-ocena,147438.44
oic-ci,140503.68
mgerc-ceegm,59175.20
prairiescan,59124.35
cannor,51929.78
cpc-cpp,41960.23
fpcc-cpac,36507.00
mpcc-cppm,26557.06
polar-polaire,19875.00
pacifican,14887.69
