owner_org,overall_total
ssc-spc,2003815333.68
hc-sc,244471637.22
pwgsc-tpsgc,217162276.87
esdc-edsc,199202760.11
rcmp-grc,143771100.32
cra-arc,140063745.81
cic,124109799.40
ic,100538662.31
dfatd-maecd,98246041.85
statcan,88854887.94
dfo-mpo,81399272.03
cbsa-asfc,71886711.61
tbs-sct,69170440.58
nrcan-rncan,46549371.59
nrc-cnrc,46247872.37
tc,41274489.72
aafc-aac,30651049.07
elections,30567820.56
isc-sac,29765362.06
cfia-acia,26860222.02
csc-scc,26507343.52
aandc-aadnc,24367324.86
vac-acc,24274877.57
ec,22414352.81
jus,18642972.05
osfi-bsif,18580618.87
lac-bac,16338325.74
phac-aspc,15954358.85
csps-efpc,14843747.27
pc,13626284.53
csa-asc,13344641.21
osgg-bsgg,11783902.31
pco-bcp,10864089.96
nserc-crsng,10591066.86
oag-bvg,10096323.19
ps-sp,9395709.01
atssc-scdata,8903212.03
cihr-irsc,8620733.95
pch,8613245.31
cnsc-ccsn,8315843.17
nfb-onf,7516768.47
cas-satj,7456546.06
infc,6747613.00
cer-rec,6300197.09
fin,6115843.28
crtc,6047203.48
acoa-apeca,5410778.81
psc-cfp,4527626.13
irb-cisr,3231092.57
chrc-ccdp,3201718.68
fcac-acfc,2863973.86
opc-cpvp,2742947.65
cgc-ccg,2429796.68
cta-otc,2283335.44
ced-dec,2036598.91
fintrac-canafe,1945596.46
ppsc-sppc,1831442.86
ocol-clo,1076351.20
iic-iac,1047539.53
wage,925474.46
ccohs-cchst,874559.16
oic-ci,873381.48
wd-deo,818597.44
tsb-bst,640868.96
fja-cmf,594625.28
ijc-cmi,578556.30
psic-ispc,572949.61
pmprb-cepmb,485162.40
feddevontario,435397.03
iaac-aeic,417723.59
mgerc-ceegm,393808.02
pbc-clcc,357122.32
cpc-cpp,348328.87
cics-scic,192758.56
sshrc-crsh,182058.89
swc-cfc,155034.86
polar-polaire,64762.39
ocl-cal,64022.21
nsira-ossnr,56844.70
nbc-ccbn,36090.00
