d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
11983890 CANADA CENTRE,2020-2021,65812562.19,62684561.52
11983890 CANADA CENTRE,2021-2022,1286837.81,1218628.96
1E,2017-2018,114055.85,117505.07
1E,2018-2019,81596.47,83160.11
1E,2019-2020,95888.66,94737.77
1E,2020-2021,737114.05,699889.11
1E,2021-2022,880542.18,816058.65
1E,2022-2023,1251392.68,1119097.77
2KEYS,2017-2018,8796166.53,9068065.51
2KEYS,2018-2019,8796166.53,8964728.72
2KEYS,2019-2020,8820265.62,8749906.55
2KEYS,2020-2021,8796166.53,8376771.32
2KEYS,2021-2022,13198898.72,12265971.96
2KEYS,2022-2023,1668809.54,1493257.78
3D DATACOMM,2019-2020,222624.09,217542.66
4 OFFICE AUTOMATION,2017-2018,26356.51,27162.46
4 OFFICE AUTOMATION,2018-2019,77777.17,79141.52
4 OFFICE AUTOMATION,2019-2020,157007.69,155412.16
4 OFFICE AUTOMATION,2020-2021,219960.59,209473.02
4 OFFICE AUTOMATION,2021-2022,193937.24,180481.99
4 OFFICE AUTOMATION,2022-2023,161755.41,144857.27
A NET SOLUTIONS,2017-2018,346207.36,356857.88
A NET SOLUTIONS,2018-2019,365689.83,372494.70
A NET SOLUTIONS,2019-2020,363277.15,360484.86
A NET SOLUTIONS,2020-2021,676078.80,643969.36
A NET SOLUTIONS,2021-2022,483810.56,449899.28
A NET SOLUTIONS,2022-2023,554516.97,496140.55
AB SCIEX,2017-2018,34590.20,35631.81
AB SCIEX,2019-2020,20731.08,20719.57
AB SCIEX,2020-2021,11283.01,10721.68
AB SCIEX,2021-2022,43952.47,40533.37
AB SCIEX,2022-2023,26287.90,23538.34
ACCENTURE,2020-2021,427871.41,407470.79
ACCENTURE,2021-2022,427871.41,397803.03
ACCENTURE,2022-2023,605784.77,540691.91
ACCESS 2 NETWORKS,2017-2018,443905.68,457387.79
ACCESS 2 NETWORKS,2018-2019,489648.17,498959.70
ACCESS 2 NETWORKS,2019-2020,1038109.49,1029481.00
ACCESS 2 NETWORKS,2020-2021,733405.48,694589.22
ACCESS 2 NETWORKS,2021-2022,200927.57,187213.88
ACCESS 2 NETWORKS,2022-2023,3313426.94,2988568.55
ACME FUTURE SECURITY CONTROLS,2017-2018,33095.32,34077.86
ACME FUTURE SECURITY CONTROLS,2019-2020,189079.18,187673.02
ACME FUTURE SECURITY CONTROLS,2020-2021,211044.95,200642.85
ACME FUTURE SECURITY CONTROLS,2021-2022,195.86,185.47
ACT,2017-2018,1880259.69,1936884.10
ACT,2018-2019,1783126.73,1815521.04
ACT,2019-2020,1451413.14,1438573.47
ACT,2020-2021,1008453.27,954345.52
ACT,2021-2022,1370178.26,1269328.59
ACT,2022-2023,1162332.28,1035664.96
ACTION PERSONNEL OF OTTAWA HULL,2018-2019,87970.50,89098.15
ADGA GROUP,2019-2020,60109.74,59016.80
ADGA GROUP,2020-2021,102848.74,97923.08
ADGA GROUP,2021-2022,100000.93,92973.43
ADGA GROUP,2022-2023,561958.95,502991.49
ADOBE,2017-2018,1699028.71,1748065.59
ADOBE,2018-2019,749190.01,769191.01
ADOBE,2020-2021,42206.54,40504.59
ADOBE,2021-2022,36831.72,34202.83
ADOBE,2022-2023,186131.97,165949.49
ADRM TECHNOLOGY CONSULTING,2017-2018,160222.55,165175.20
ADRM TECHNOLOGY CONSULTING,2018-2019,79452.82,81427.66
ADSS 6175015 CANADA,2020-2021,27551.74,26470.66
ADSS 6175015 CANADA,2021-2022,2948.02,2788.87
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,6887640.56,7100589.26
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,7292733.84,7411104.80
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,10194854.82,10098877.68
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,27604233.66,26332178.16
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,28417142.13,26391182.01
ADVANCED CHIPPEWA TECHNOLOGIES,2022-2023,28387823.21,25390495.58
AECOM,2019-2020,134816.94,133227.04
AECOM,2020-2021,0.00,0.00
AGILENT,2017-2018,37733.26,38816.53
AGILENT,2018-2019,78390.65,79424.75
AGILENT,2019-2020,217388.95,213990.96
