owner_org,max_overall_value,n
aafc-aac,18600000.00,9440
aandc-aadnc,20000000.00,3000
acoa-apeca,1286470.50,432
atssc-scdata,3318500.00,539
cannor,238204.00,76
cas-satj,3113446.00,1233
casdo-ocena,750000.00,56
cbsa-asfc,160629461.94,5322
ccohs-cchst,214095.15,117
ced-dec,1008822.92,316
cer-rec,2756250.00,950
cfia-acia,22259994.30,2748
cgc-ccg,1355651.95,627
chrc-ccdp,478966.32,430
cic,340945341.00,4071
cics-scic,138848.75,145
cihr-irsc,2013651.00,769
cnsc-ccsn,3469843.94,1015
cpc-cpp,401970.00,170
cra-arc,39776000.02,4518
crtc,2024166.00,488
csa-asc,829883896.60,1590
csc-scc,67894784.40,21514
csps-efpc,10152009.39,535
cta-otc,778607.10,305
dfatd-maecd,49855798.00,20263
dfo-mpo,782743750.00,32702
dnd-mdn,3276494495.17,87602
ec,127128418.00,12682
elections,91344183.65,1458
erc-cee,100000.00,13
esdc-edsc,896967710.00,7423
fcac-acfc,3742757.77,424
feddevontario,5333108.19,216
fednor,39889.00,6
fin,23224615.98,647
fintrac-canafe,678000.00,155
fja-cmf,910426.88,432
fpcc-cpac,112942.57,27
hc-sc,254563240.68,7814
iaac-aeic,806481.00,297
ic,43463952.88,6728
iic-iac,8100939.00,186
ijc-cmi,445446.00,182
infc,5031364910.17,586
irb-cisr,3417120.00,1435
isc-sac,260037883.60,3365
jus,9391071.44,2113
lac-bac,5145795.80,678
mgerc-ceegm,224726.24,73
mpcc-cppm,294901.00,131
nbc-ccbn,735000.00,213
nfb-onf,1405404.95,1183
nrc-cnrc,28583375.19,14908
nrcan-rncan,11506442.52,10592
nserc-crsng,3744075.35,731
nsira-ossnr,363620.44,90
oag-bvg,3749999.92,1199
oci-bec,375970.86,34
ocl-cal,943776.00,94
ocol-clo,1260000.00,306
ocsec-bccst,145431.00,7
oic-ci,1945578.20,170
opc-cpvp,3700000.00,479
osfi-bsif,12830495.76,1371
osgg-bsgg,10553205.90,284
oto-boc,44215.20,1
pbc-clcc,312445.00,366
pc,59632124.69,15353
pch,9674690.21,2234
pco-bcp,7910000.00,1638
phac-aspc,602111216.15,4591
pmprb-cepmb,1777557.80,147
polar-polaire,750000.00,52
ppsc-sppc,11814732.77,832
pptc,1499028.05,4
ps-sp,4846570.00,1192
psc-cfp,2299500.00,298
psic-ispc,1265445.00,88
pwgsc-tpsgc,5723000000.00,31315
rcmp-grc,63097290.48,17445
sirc-csars,970000.00,54
ssc-spc,1079396751.45,11287
sshrc-crsh,484086.21,184
statcan,26923773.24,1449
swc-cfc,170492.52,102
tbs-sct,514540899.00,1502
tc,144098850.00,8107
tsb-bst,734730.38,286
vac-acc,560283401.55,1439
vrab-tacra,133057.50,50
wage,1280160.23,444
wd-deo,577114.95,151
