d_vendor_name,min_overall_value,n
4PLAN CONSULTING,24860.00,2
A HUNDRED ANSWERS,14548.75,2
ABB,674771.70,1
ACCENTURE,24998.99,4
ACKLANDS GRAINGER,12767.00,2
ACT,10723.70,29
ADGA GROUP,113368.04,3
ADRM TECHNOLOGY CONSULTING,15707.00,6
ADVANCED BUSINESS INTERIORS,10468.16,65
AECOM,10057.00,16
AERO SUPPLIES,10046.40,348
AEROPRO,1580178.79,1
AGILENT,94920.00,1
AINSWORTH,13219.50,1
AIR INUIT,29695.54,2
AIR TINDI,30687.95,2
AIRBUS,39723.53,1
ALPINE AEROTECH,10172.61,138
ALTIS HUMAN RESOURCES,10500.00,60
AMERICAN BUREAU OF SHIPPING,18915.43,2
AON REED STENHOUSE,23151.50,9
APRON FUEL SERVICES,17792.60,8
APS AVIATION,1085365.00,3
ARI FINANCIAL SERVICES,10631.04,8
ARTEMP PERSONNEL SERVICES,74733.23,2
ASOKAN BUSINESS INTERIORS,24780.90,1
ATLANTIC BUSINESS INTERIORS,11302.20,1
ATTACHMATE,29666.68,1
AV TECH,11353.78,1
AVMAX AVIATION SERVICES,10542.34,34
BDO CANADA,39550.00,1
BELL CANADA,21744.24,2
BELL TEXTRON,10116.02,265
BOMBARDIER,10010.77,121
BRANDT TRACTOR,13175.40,3
CA,87917.88,1
CAE,20252.99,6
CALIAN,42459.75,3
CANADA POST,10500.00,4
CANADIAN CORPS OF COMMISSIONAIRES,10710.00,76
CANADIAN HELICOPTERS,13560.00,1
CANADIAN MARITIME ENGINEERING,292898.55,4
CANON,10043.88,1
CARAHSOFT TECHNOLOGY,13295.36,7
CARLETON UNIVERSITY,13560.00,7
CBCI TELECOM,11306.87,1
CDW CANADA,10002.75,13
CHANTIER DAVIE CANADA,1130000.00,2
CHARRON HUMAN RESOURCES,10057.00,3
CHEVRON,15750.00,2
CIMA,20421.36,2
CISION CANADA,39382.34,2
CLARIANT CANADA,13679.25,25
CLOSEREACH,17899.20,3
CNW GROUP,24989.95,5
COFOMO,59600.00,3
CONTRACT COMMUNITY,27685.00,4
CONVERGINT TECHNOLOGIES,21634.19,1
CORADIX TECHNOLOGY CONSULTING,41898.29,7
COSSETTE COMMUNICATIONS,23969.84,13
CPCS TRANSCOM,11300.00,43
CRANDALL ENGINEERING,24560.55,1
CSDC SYSTEMS,48756.42,2
DALHOUSIE UNIVERSITY,3221846.26,1
DBC MARINE SAFETY SYSTEMS,1008673.38,1
DELCO AUTOMATION,17319.39,2
DELL COMPUTER,12779.85,1
DELOITTE AND TOUCHE,22600.00,16
DEXTERRA,12999.70,1
DILIGENS,16322.85,3
DILLON CONSULTING,24973.00,10
DLS TECHNOLOGY,105971.40,4
DONNA CONA,29119.26,5
DSS MARINE,50528.58,3
ECOLE DE LANGUES ABCE,10820.88,3
ECOLE DE LANGUES LA CITE,11520.00,10
EKOS RESEARCH ASSOCIATES,150820.45,3
ELBIT SYSTEMS,31999994.00,1
ELSEVIER,22761.12,3
EMCON SERVICES,19115.98,1
ENTRUST,25628.40,4
ENVIRONICS RESEARCH GROUP,119848.26,2
ERNST YOUNG,24998.42,6
ESRI,14000.70,22
EXCEL HUMAN RESOURCES,10558.44,24
FAST FORWARD FRENCH,11875.00,11
FAST TRACK STAFFING,19238.25,14
FCA CANADA,24878.70,8
FEDERAL EXPRESS CANADA,149160.00,1
FELIX TECHNOLOGY,33227.78,4
FIRST AIR,282500.00,1
FLIGHT FUELS,13730.82,7
FLIGHTSAFETY CANADA,10983.07,3
FORD MOTOR COMPANY,29224.65,15
FORRESTER RESEARCH,40154.55,1
FORT GARRY FIRE TRUCK,15750.00,1
FRANCIS CANADA TRUCK CENTRE,17824.78,2
FREEBALANCE,35798.40,9
FUJITSU,11416.39,4
GARDA SECURITY GROUP,24719.63,1
GARTNER,23418.00,18
GATESTONE,33900.00,1
GC STRATEGIES,24563.38,4
GEMTEC,10429.90,1
GENERAL ELECTRIC CANADA,14826.49,1
GENERAL MOTORS,26440.80,22
GHD,10396.00,6
GLASSHOUSE SYSTEMS,149608.38,2
GLOBAL KNOWLEDGE,19537.70,3
GLOBAL UPHOLSTERY,12267.32,16
GOLDER ASSOCIATES,17967.00,9
GOSS GILROY,82772.50,1
GRAND TOY,11235.00,10
GRAYBRIDGE INTERNATIONAL CONSULTING,10124.80,21
GREY ROCK SERVICES,14087.50,1
HARNOIS ENERGIES,23009.62,13
HAWORTH,10526.11,7
HEDDLE MARINE SERVICES,1986595.42,1
HELITRADES,10076.37,67
HITRAC,100500.70,2
HOLMAN FENWICK WILLAN,144098850.00,1
HONEYWELL,10113.75,25
HOULE ELECTRIC,16359.00,2
HYPERTEC,10026.77,82
IBISKA TELECOM,16948.19,6
IHS GLOBAL,47373.69,1
IMP GROUP,77244.77,2
IMPERIAL OIL,11550.00,20
INFO TECH RESEARCH GROUP,59777.00,4
INSA,29391.68,2
INSTITUT NATIONAL D OPTIQUE,411320.00,1
INTER OUTAOUAIS,164963.05,1
INTERNATIONAL SAFETY RESEARCH,29948.84,1
IPSOS,98157.99,1
IPSS,15594.00,4
IRON MOUNTAIN,10500.00,21
IRVING OIL,20432.42,16
ITEX,11890.16,1
J J TRAILERS MANUFACTURERS AND SALES,28832.81,1
JASCO APPLIED SCIENCES CANADA,27685.00,8
JHT DEFENSE,13415.89,3
KENN BOREK AIR,27297.50,2
KEYSTONE ENVIRONMENTAL,24950.10,1
KONGSBERG,24207.99,1
KONICA MINOLTA BUSINESS SOLUTIONS,10331.59,44
KPMG,24577.50,11
KUBOTA CANADA,20127.62,4
L3HARRIS,24801.97,3
LANGUAGE RESEARCH DEVELOPMENT GROUP,11017.50,15
LANSDOWNE TECHNOLOGIES,23730.00,3
LENGKEEK VESSEL ENGINEERING,18516.38,12
LIONBRIDGE,81642.30,2
LRO STAFFING,301801.87,1
LUMINA IT,31011.60,5
M D CHARLTON,11109.65,3
MACDONALD DETTWILER AND ASSOCIATES,141250.00,1
MAKWA RESOURCING,28928.00,5
MAPLESOFT CONSULTING,126437.96,1
MARINE RECYCLING,50203.13,4
MAXSYS STAFFING AND CONSULTING,16908.19,6
MEDIA Q,56500.00,2
MEGALEXIS COMMUNICATIONS,39927.42,1
MICHELIN,11633.63,3
MICROSOFT CANADA,10998.86,46
MID CANADA MOD CENTER,10033.27,110
MINDWIRE SYSTEMS,13627.80,11
MISHKUMI TECHNOLOGIES,234897.60,1
MITSUBISHI MOTOR SALES,26077.97,22
MNP,32035.50,2
MORPHO CANADA,15648.24,3
MUSTANG SURVIVAL,10327.21,6
"NATIONS TRANSLATION GROUP",10000.00,9
"NATTIQ",21018.00,11
"NAUT MAWT TRIBAL COUNCIL",13387.50,1
"NAV CANADA",10500.00,4
NEWFOUND RECRUITING,24860.00,1
NISHA TECHONOLOGIES,12706.06,10
