d_vendor_name,mean_amendment_increase_percentage,n
10647802 CANADA,1.8169,7
11983890 CANADA CENTRE,2.575,1
1320376 ONTARIO,0.1526,4
152610 CANADA,0.125,3
1595769 ONTARIO,2.9986,1
175303 CANADA,0.3164,1
1E,1.6568,2
1X1 ARCHITECTURE,0.2953,22
2099042 ONTARIO,0.3539,3
2145675 ONTARIO,0.6236,2
2220742 ONTARIO,0.088,11
2347758 NOVA SCOTIA,0.0026,1
2536 4589 QUEBEC,1.822,1
2553164 ONTARIO,2,1
2961 3403 QUEBEC,1.0683,9
2KEYS,21.1833,14
3469051 CANADA,0.821,20
3D DATACOMM,-0.0954,5
3M CANADA COMPANY,1.3459,1
3V MECHANICAL,0.3719,13
4 OFFICE AUTOMATION,0.6219,97
4083261 CANADA,0.3208,5
49 SOLUTIONS,2.2987,6
520571 ONTARIO,2.428,3
529040 ONTARIO 880382 ONTARIO,4.8133,1
529040 ONTARIO AND 880382,0.4858,13
5581 NUNAVUT,0.1567,1
674725 ONTARIO,-0.0354,1
6771581 CANADA,1.2954,2
6834973 CANADA,0.6652,1
6854265 CANADA,0,1
727619 ALBERTA O A ROUGHRIDER,0.079,1
7305516 CANADA,0.047,6
736902 ONTARIO,0.0363,5
851791 NWT,0.0179,2
9006 9311 QUEBEC,0.9102,5
9034 3476 QUEBEC,0.8587,7
9090 5092 QUEBEC,0.1045,3
9099 3593 QUEBEC,0.4651,1
9099 3593 QUEBEC INTER PROJE,0.0805,2
9160 5188 QUEBEC,0.1138,1
9170 7570 QUEBEC,0.0111,1
9205187 CANADA,0.2705,2
9244 3175 QUEBEC,0.7215,2
9275 0181 QUEBEC,0.0916,3
9468269 CANADA,0.0568,2
A C L CONSTRUCTION,0.0366,1
A HARVEY COMPANY,0.8971,3
A J HANNA CONSTRUCTION,0.8,1
A NET SOLUTIONS,1.2051,13
A O CONTRACTING,0.631,1
A SANTIN MASON CONTRACTOR,0.4467,5
AA STURGEON CONSTRUCTION,0.8208,1
AB SCIEX,1.9761,13
