d_most_recent_category,total_amendment_increase_value,n
0_other,8242851.63,78
1_facilities_and_construction,1643430850.67,8551
10_office_management,161672761.62,1675
11_defence,331595381.53,1423
2_professional_services,2819780233.59,12120
3_information_technology,4262789312.11,8136
4_medical,2079730260.64,1054
5_transportation_and_logistics,509653507.31,3102
6_industrial_products_and_services,408977107.48,2112
7_travel,12289547.45,230
8_security_and_protection,207245170.12,1494
9_human_capital,218612227.48,2014
