d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1138427232.95,1167711119.66
it_consulting_services,2018-2019,1452109538.21,1474154967.59
it_consulting_services,2019-2020,1602972257.05,1588330972.38
it_consulting_services,2020-2021,1727413176.62,1641637915.01
it_consulting_services,2021-2022,1935040558.98,1794603363.96
it_devices_equipment,2017-2018,671341082.94,688251498.45
it_devices_equipment,2018-2019,681750926.15,691835762.02
it_devices_equipment,2019-2020,657720480.84,650973331.33
it_devices_equipment,2020-2021,824610861.16,782930676.65
it_devices_equipment,2021-2022,847152319.30,783519526.59
it_other,2017-2018,847202950.13,868868171.68
it_other,2018-2019,830001115.47,842574305.78
it_other,2019-2020,798682060.21,790943842.13
it_other,2020-2021,773768543.64,735300846.05
it_other,2021-2022,729341964.41,676200002.66
it_software_licensing,2017-2018,689824567.59,707602276.62
it_software_licensing,2018-2019,695798476.15,706350689.02
it_software_licensing,2019-2020,777739981.00,770571582.51
it_software_licensing,2020-2021,1051146768.44,998967199.84
it_software_licensing,2021-2022,1176947651.19,1091025711.65
