d_vendor_name,min_overall_value,n
10647802 CANADA,26506.02,16
11983890 CANADA CENTRE,67099400.00,1
1320376 ONTARIO,14096.75,7
1X1 ARCHITECTURE,11040.75,52
2220742 ONTARIO,11300.00,28
2536 4589 QUEBEC,10382725.79,1
2KEYS,35370.00,15
3469051 CANADA,10332.05,74
3D DATACOMM,10115.75,109
3M CANADA COMPANY,11461.17,16
4 OFFICE AUTOMATION,10008.74,189
4083261 CANADA,39321.45,9
49 SOLUTIONS,15113.75,16
4PLAN CONSULTING,9325.89,36
529040 ONTARIO AND 880382,5354.51,23
6834973 CANADA,15263253.79,1
727619 ALBERTA O A ROUGHRIDER,6192473.04,1
7305516 CANADA,788548.26,7
736902 ONTARIO,139442.00,7
73719 NEWFOUNDLAND LABRADOR,51135.30,10
851791 NWT,102621.23,4
9006 9311 QUEBEC,364334.95,5
9090 5092 QUEBEC,2867318.49,3
9099 3593 QUEBEC INTER PROJE,5638788.85,2
9168516 CANADA,18036.57,7
9275 0181 QUEBEC,5748.75,43
A C L CONSTRUCTION,1862496.09,2
A HUNDRED ANSWERS,11932.80,43
A SANTIN MASON CONTRACTOR,4491608.21,1
AB SCIEX,8830.84,83
ABB,10529.21,73
ABBOTT,10500.00,58
ABCO INDUSTRIES,4776703.23,2
ABCO MAINTENANCE SYSTEMS,80545.50,3
ABS AMERICAS,39917.25,1
ACADIAN DREDGING,10350.00,71
ACART COMMUNICATIONS,10819.75,22
ACCENTURE,24259.73,99
ACCESS 2 NETWORKS,10386.96,84
ACKLANDS GRAINGER,10077.14,145
ACME FUTURE SECURITY CONTROLS,10062.65,58
ACOSYS CONSULTING SERVICES,10042.88,64
ACT,10034.94,92
ACTION PERSONNEL OF OTTAWA HULL,15701.35,33
ADAPT PHARMA CANADA,10396.00,87
ADGA GROUP,10012.37,122
ADOBE,11299.72,28
ADP CANADA,26611404.23,1
ADPEARL,196789.50,2
ADRM TECHNOLOGY CONSULTING,14117.88,224
ADVANCED BUSINESS INTERIORS,5849.35,875
ADVANCED CHIPPEWA TECHNOLOGIES,10024.34,562
ADVANCED PARAMEDIC,52500.00,4
AECOM,10057.00,285
AEG FUELS,112350.00,1
AERO FEU,11304.35,7
AERO SUPPLIES,10046.40,352
AEROPORTS DE MONTREAL,8294161.13,1
AEROPRO,12187.35,7
AFC INDUSTRIES,30392.21,3
AFN ENGINEERING,10235.00,284
AGILEC,10500.00,13
AGILENT,10081.76,494
AGRITEAM CANADA,32600.50,16
AIM HEALTH GROUP,20479.00,10
AINSWORTH,10055.87,137
AIR INUIT,10166.21,66
