owner_org,total
pwgsc-tpsgc,19695281428.87
ssc-spc,8988313291.95
dfo-mpo,6385896290.25
phac-aspc,6225343250.87
rcmp-grc,2909088701.52
esdc-edsc,2599576835.64
csc-scc,2513087462.88
pc,2377204086.58
dfatd-maecd,1750438230.80
cbsa-asfc,1686774741.02
cic,1460360718.40
csa-asc,1302315482.95
hc-sc,1232129843.40
tc,1004228247.23
nrc-cnrc,953215612.62
cra-arc,950098161.13
ec,833867713.04
infc,816925135.47
vac-acc,740409098.20
ic,737726356.82
nrcan-rncan,676806765.30
aafc-aac,675596755.09
tbs-sct,641754356.93
isc-sac,442653542.70
cfia-acia,327101553.15
aandc-aadnc,278804848.64
statcan,250166718.51
pco-bcp,180809837.44
jus,176603806.51
ppsc-sppc,163750024.23
pch,154846167.69
cer-rec,112073120.19
ps-sp,110084790.94
cas-satj,93420483.03
fin,82824751.72
irb-cisr,73469634.27
cnsc-ccsn,73168171.47
nserc-crsng,64051163.63
lac-bac,57660489.53
atssc-scdata,47874185.57
cihr-irsc,40583183.28
csps-efpc,39507131.41
fcac-acfc,37111601.41
psc-cfp,29348844.82
iic-iac,24308598.18
wage,22365456.12
acoa-apeca,17710320.42
iaac-aeic,14194277.44
pmprb-cepmb,13995294.51
ced-dec,13671139.00
cta-otc,13198451.77
tsb-bst,13094037.84
feddevontario,11794432.84
fintrac-canafe,9111066.19
pbc-clcc,8503125.21
sshrc-crsh,7375929.80
cpc-cpp,6918236.04
wd-deo,5722425.28
polar-polaire,3009705.87
swc-cfc,2978430.43
cannor,2678481.57
cics-scic,2313487.37
casdo-ocena,1847142.60
vrab-tacra,1467248.42
fpcc-cpac,1136470.22
pptc,550756.79
erc-cee,439192.98
fednor,8482.74
