d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1091082527.63,1119164558.13
it_consulting_services,2018-2019,1367741527.36,1388497543.68
it_consulting_services,2019-2020,1503517159.48,1489749647.28
it_consulting_services,2020-2021,1634285006.34,1553097755.98
it_consulting_services,2021-2022,1856424443.96,1721452883.17
it_devices_equipment,2017-2018,658755381.87,675356683.43
it_devices_equipment,2018-2019,670533325.16,680475931.49
it_devices_equipment,2019-2020,647376077.68,640729101.04
it_devices_equipment,2020-2021,808146604.05,767299835.11
it_devices_equipment,2021-2022,836259441.50,773452642.35
it_other,2017-2018,839563042.17,861031923.35
it_other,2018-2019,820380666.01,832825058.71
it_other,2019-2020,788082844.81,780447229.24
it_other,2020-2021,764593274.78,726592820.26
it_other,2021-2022,721264648.15,668719403.62
it_software_licensing,2017-2018,666580092.24,683756844.54
it_software_licensing,2018-2019,681735620.83,692070040.12
it_software_licensing,2019-2020,759971874.06,752957589.25
it_software_licensing,2020-2021,1027604814.18,976596933.39
it_software_licensing,2021-2022,1157471105.08,1072895531.36
