d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
10647802 CANADA,2017-2018,50703.18,52017.07
10647802 CANADA,2018-2019,3200247.18,3251294.94
10647802 CANADA,2019-2020,2740007.91,2717196.07
10647802 CANADA,2020-2021,3376166.94,3208711.24
10647802 CANADA,2021-2022,3236128.54,3014713.12
11983890 CANADA CENTRE,2020-2021,65812562.19,62574656.53
11983890 CANADA CENTRE,2021-2022,1286837.81,1216783.82
1320376 ONTARIO,2017-2018,6798482.87,6974595.34
1320376 ONTARIO,2018-2019,24916.50,25190.92
1320376 ONTARIO,2019-2020,145680.98,143662.86
1320376 ONTARIO,2021-2022,2387274.85,2202184.96
1456812 ALBERTA,2020-2021,1881285.00,1777652.58
1456812 ALBERTA,2021-2022,1984920.00,1811726.91
175 303 CANADA,2017-2018,418112.84,428947.51
175 303 CANADA,2018-2019,638930.94,647848.21
175 303 CANADA,2019-2020,954486.32,946431.43
175 303 CANADA,2020-2021,951878.43,904922.54
175 303 CANADA,2021-2022,558087.63,524440.99
175303 CANADA,2018-2019,399538.44,403908.04
175303 CANADA,2019-2020,968417.67,960245.22
175303 CANADA,2020-2021,965771.73,918130.48
175303 CANADA,2021-2022,965771.73,896665.93
1X1 ARCHITECTURE,2017-2018,370758.48,380191.97
1X1 ARCHITECTURE,2018-2019,796775.38,808399.29
1X1 ARCHITECTURE,2019-2020,1544821.39,1529335.76
1X1 ARCHITECTURE,2020-2021,1877544.60,1783460.67
1X1 ARCHITECTURE,2021-2022,1397036.43,1299970.53
2099042 ONTARIO,2017-2018,14586.79,14971.35
2099042 ONTARIO,2018-2019,776694.24,786236.90
2099042 ONTARIO,2019-2020,1627301.53,1612654.54
2099042 ONTARIO,2020-2021,1312469.43,1247725.68
2099042 ONTARIO,2021-2022,834940.95,783362.38
2145675 ONTARIO,2019-2020,1598786.03,1577966.79
2145675 ONTARIO,2020-2021,375099.80,354086.68
2145675 ONTARIO,2021-2022,1719378.93,1591785.40
2220742 ONTARIO,2017-2018,4030101.83,4128084.96
2220742 ONTARIO,2018-2019,7848154.71,7957215.70
2220742 ONTARIO,2019-2020,6672760.51,6620170.02
2220742 ONTARIO,2020-2021,2587421.58,2456031.89
2220742 ONTARIO,2021-2022,2049189.38,1908036.06
2536 4589 QUEBEC,2017-2018,2067482.22,2121057.45
2536 4589 QUEBEC,2018-2019,2067482.22,2099634.63
2536 4589 QUEBEC,2019-2020,2073146.56,2055651.32
2536 4589 QUEBEC,2020-2021,1495384.40,1425851.61
2553164 ONTARIO,2019-2020,986739.16,962859.56
