d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2759573.33,2844170.32
it_consulting_services,2018-2019,15743277.64,15957183.66
it_consulting_services,2019-2020,30332022.13,30079531.60
it_consulting_services,2020-2021,31099813.56,29650177.79
it_consulting_services,2021-2022,27283878.12,25562418.57
it_software_licensing,2017-2018,16111347.03,16605147.54
it_software_licensing,2018-2019,16111347.03,16405845.99
it_software_licensing,2019-2020,16155487.71,16025838.29
it_software_licensing,2020-2021,16111347.03,15360146.86
it_software_licensing,2021-2022,20280880.90,18978058.24
