d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,639818.915671233
1_facilities_and_construction,2020-2021,169500
11_defence,2017-2018,447983.97113624396
11_defence,2018-2019,381956.2184163281
11_defence,2019-2020,1346079.3749883
11_defence,2020-2021,2607063.8714736467
2_professional_services,2017-2018,200675.56750919117
2_professional_services,2018-2019,12787309.393453361
2_professional_services,2019-2020,25313465.65110709
2_professional_services,2020-2021,25104488.232074436
3_information_technology,2017-2018,10729676.708484013
3_information_technology,2018-2019,11126747.189634295
3_information_technology,2019-2020,13150693.752655102
3_information_technology,2020-2021,13795928.703519074
