d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,1633820.52,1678623.77
10_office_management,2018-2019,426976.68,434086.41
10_office_management,2019-2020,645331.48,639692.92
10_office_management,2020-2021,640227.38,608659.20
10_office_management,2021-2022,579552.75,538851.39
11_defence,2017-2018,1302.60,1336.57
11_defence,2018-2019,220262.54,222932.64
11_defence,2019-2020,384842.93,381595.25
11_defence,2020-2021,383484.61,364570.20
11_defence,2021-2022,380178.67,352974.98
3_information_technology,2017-2018,472546.69,483760.63
3_information_technology,2018-2019,295501.86,298974.25
3_information_technology,2019-2020,164969.09,163167.68
3_information_technology,2020-2021,266435.74,253299.06
3_information_technology,2021-2022,215992.11,200709.36
