normalized_vendor_name,original_vendor_name
73719 NEWFOUNDLAND LABRADOR,73719 NEWFOUNDLAND & LABRADOR INC.
73719 NEWFOUNDLAND LABRADOR,73719 NEWFOUNDLAND & LABRADOR INC
73719 NEWFOUNDLAND LABRADOR,73719 NEWFOUNDLAND AND LABRADOR INC
73719 NEWFOUNDLAND LABRADOR,73719 Newfoundland & Labrador Inc.
73719 NEWFOUNDLAND LABRADOR,73719 NewFoundland & Labrador Inc.
73719 NEWFOUNDLAND LABRADOR,73719 Newfoundland & Labrador Inc
73719 NEWFOUNDLAND LABRADOR,73719 Newfoundland and Labrador Inc
73719 NEWFOUNDLAND LABRADOR,73719 Newfoundland and Labrador inc.
73719 NEWFOUNDLAND LABRADOR,73719 NEWFOUNDLAND & LABRADOR
73719 NEWFOUNDLAND LABRADOR,73719 Newfoundland And Labrador Inc.
