owner_org,d_fiscal_year,total,total_constant_2019_dollars
aandc-aadnc,2017-2018,0.00,0.00
aandc-aadnc,2021-2022,0.00,0.00
cbsa-asfc,2019-2020,14683.83,14328.47
cbsa-asfc,2020-2021,94563.96,89879.62
cbsa-asfc,2021-2022,106509.92,83092.15
cfia-acia,2018-2019,8888.03,8981.81
cfia-acia,2019-2020,26664.08,26439.07
cfia-acia,2020-2021,13089.55,12340.67
cfia-acia,2021-2022,33441.14,27533.04
cic,2017-2018,10649.44,10900.47
cic,2018-2019,14199.26,14507.66
csc-scc,2017-2018,5205.55,5329.24
csc-scc,2018-2019,16814.40,17075.89
csc-scc,2019-2020,28423.25,27987.56
csc-scc,2020-2021,5750.81,5431.56
csc-scc,2021-2022,12745.03,11954.19
esdc-edsc,2017-2018,645202.98,660671.70
esdc-edsc,2018-2019,1526435.37,1550105.60
esdc-edsc,2019-2020,971427.48,971968.14
esdc-edsc,2020-2021,34216.56,32528.67
esdc-edsc,2021-2022,39520.13,30915.20
hc-sc,2017-2018,17520.15,17974.26
ic,2018-2019,30805.49,31162.04
ic,2019-2020,11010.17,11049.32
nrc-cnrc,2021-2022,518.32,0.00
nrcan-rncan,2017-2018,0.00,0.00
nrcan-rncan,2018-2019,0.00,0.00
nrcan-rncan,2020-2021,43412.40,40877.90
nrcan-rncan,2021-2022,233022.46,182285.23
nserc-crsng,2017-2018,1184094.01,1214311.57
nserc-crsng,2018-2019,1489796.62,1513012.49
nserc-crsng,2019-2020,827443.64,823803.27
osfi-bsif,2018-2019,121928.65,123824.82
osfi-bsif,2019-2020,122262.70,121230.93
osfi-bsif,2020-2021,121928.65,115913.94
pch,2017-2018,38952.99,39962.64
pco-bcp,2020-2021,47503.34,45265.57
pco-bcp,2021-2022,15776.66,14917.79
pwgsc-tpsgc,2017-2018,157176.81,160881.79
pwgsc-tpsgc,2018-2019,2536900.64,2575293.31
pwgsc-tpsgc,2019-2020,1397729.41,1388453.34
pwgsc-tpsgc,2020-2021,580949.57,552291.50
pwgsc-tpsgc,2021-2022,205321.90,193716.56
tbs-sct,2017-2018,15939.13,16351.77
tbs-sct,2018-2019,875.27,894.28
tc,2017-2018,14548.75,14932.31
tc,2018-2019,24999.89,25450.74
vac-acc,2018-2019,43245.28,43701.59
vac-acc,2019-2020,131055.09,130358.67
