owner_org,d_fiscal_year,total,total_constant_2019_dollars
csa-asc,2017-2018,2191410.07,2258600.34
csa-asc,2018-2019,1750613.74,1783902.99
csa-asc,2019-2020,2178885.93,2149931.57
csa-asc,2020-2021,4371835.93,4167159.50
csa-asc,2021-2022,2632334.31,2483618.69
dfo-mpo,2017-2018,36731200.46,37930101.33
dfo-mpo,2018-2019,5713352.87,5817721.60
dfo-mpo,2019-2020,5780609.33,5733929.06
dfo-mpo,2020-2021,6625803.26,6317153.06
dfo-mpo,2021-2022,6556173.53,6130249.22
dnd-mdn,2017-2018,636430.90,656019.13
dnd-mdn,2018-2019,541210.94,551288.62
dnd-mdn,2019-2020,435282.05,432535.73
dnd-mdn,2020-2021,183476.37,174010.78
dnd-mdn,2021-2022,1059182.91,996156.37
nrc-cnrc,2017-2018,766908.62,790534.18
nrc-cnrc,2019-2020,275716.45,269949.20
nrc-cnrc,2020-2021,24988.95,23897.88
nrcan-rncan,2017-2018,24687.11,25544.99
pc,2018-2019,15210.02,15598.18
pc,2021-2022,9815.97,9113.63
phac-aspc,2021-2022,12016.50,10926.25
pwgsc-tpsgc,2019-2020,160306.19,158764.25
pwgsc-tpsgc,2020-2021,25869.38,24716.87
tc,2020-2021,674771.70,639981.68
