owner_org,d_fiscal_year,total,total_constant_2019_dollars
acoa-apeca,2020-2021,80500.00,76263.46
cbsa-asfc,2019-2020,24860.00,24666.72
cbsa-asfc,2020-2021,7458.00,7027.49
cbsa-asfc,2021-2022,3133064.18,2890989.12
cbsa-asfc,2022-2023,2893884.82,2589738.34
cfia-acia,2017-2018,7547811.66,7781072.91
cfia-acia,2018-2019,4783914.54,4896194.80
cfia-acia,2019-2020,784947.09,778685.59
cfia-acia,2020-2021,754921.79,719207.70
cic,2020-2021,7057795.55,6693185.13
cic,2021-2022,13052672.69,12147720.81
cic,2022-2023,8355554.43,7479809.49
cra-arc,2022-2023,9481.69,8390.78
csc-scc,2020-2021,44691.50,42721.65
dnd-mdn,2017-2018,211310.00,217403.24
dnd-mdn,2018-2019,415321.15,420510.49
dnd-mdn,2019-2020,310040.72,305595.93
dnd-mdn,2020-2021,1095233.93,1045313.37
dnd-mdn,2021-2022,57126.67,53729.37
dnd-mdn,2022-2023,135036.00,121074.17
esdc-edsc,2019-2020,162276.38,158572.40
esdc-edsc,2020-2021,27773284.95,26469175.19
esdc-edsc,2021-2022,44679945.89,41437470.63
esdc-edsc,2022-2023,16368001.49,14728105.81
hc-sc,2021-2022,166484.03,157205.58
ic,2017-2018,88592.00,91135.83
ic,2018-2019,473550.83,480450.79
ic,2019-2020,841357.29,834645.81
irb-cisr,2021-2022,29425.20,27749.55
irb-cisr,2022-2023,3302139.49,2931178.72
isc-sac,2022-2023,155343.99,138179.40
nrcan-rncan,2021-2022,32205.00,30497.97
osfi-bsif,2018-2019,3345051.77,3402192.47
osfi-bsif,2019-2020,4280730.58,4246583.29
osfi-bsif,2020-2021,5015001.00,4778014.65
osfi-bsif,2021-2022,1363550.22,1283886.18
osfi-bsif,2022-2023,1212374.10,1079397.55
phac-aspc,2018-2019,31932.06,32230.36
phac-aspc,2019-2020,27370.34,27455.04
phac-aspc,2020-2021,3652849.74,3483045.39
phac-aspc,2021-2022,6186205.09,5757677.71
phac-aspc,2022-2023,5673575.13,5076738.81
pwgsc-tpsgc,2017-2018,21699521.77,22370277.36
pwgsc-tpsgc,2018-2019,22181171.51,22603066.27
pwgsc-tpsgc,2019-2020,22883914.18,22701474.40
pwgsc-tpsgc,2020-2021,22811959.30,21724300.67
pwgsc-tpsgc,2021-2022,22811959.30,21208863.96
pwgsc-tpsgc,2022-2023,1112437.53,995413.77
rcmp-grc,2018-2019,24860.00,25092.23
rcmp-grc,2019-2020,391920.16,384115.77
rcmp-grc,2020-2021,1363289.81,1298536.01
rcmp-grc,2021-2022,2042010.39,1906566.23
rcmp-grc,2022-2023,4638092.56,4125486.77
ssc-spc,2018-2019,24634.00,25037.28
tbs-sct,2021-2022,452000.00,413960.28
tc,2017-2018,24998.99,25712.92
tc,2020-2021,38974.11,36724.35
tc,2021-2022,81016.17,74411.14
