owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2019-2020,23871.26,23326.39
cfia-acia,2018-2019,684657.53,697662.14
cfia-acia,2019-2020,15342.47,15389.94
cic,2020-2021,39522.79,37653.77
cic,2021-2022,8040.91,7475.84
cic,2022-2023,8040.91,7195.04
csps-efpc,2017-2018,16019.19,16514.57
dfatd-maecd,2019-2020,28976.00,28314.62
dfatd-maecd,2020-2021,39776.00,37737.94
dfo-mpo,2019-2020,68982.07,68106.53
dfo-mpo,2020-2021,39408.75,37854.66
dnd-mdn,2018-2019,25080.90,25315.20
esdc-edsc,2017-2018,8022033.62,8271244.65
esdc-edsc,2018-2019,6899097.75,7031608.06
esdc-edsc,2019-2020,7108619.99,7048187.58
esdc-edsc,2020-2021,8000187.50,7618684.06
esdc-edsc,2021-2022,7726912.00,7183346.62
esdc-edsc,2022-2023,7446471.60,6666219.50
fin,2021-2022,93.61,84.62
fin,2022-2023,11295.71,10108.37
jus,2018-2019,176754.87,178935.63
jus,2019-2020,293015.59,290678.21
jus,2020-2021,220161.99,210388.58
nrc-cnrc,2017-2018,16826.62,17349.72
nrc-cnrc,2018-2019,8807.38,9016.22
nrc-cnrc,2021-2022,28697.20,26642.37
pwgsc-tpsgc,2022-2023,166795.35,148646.08
rcmp-grc,2018-2019,11299.72,11405.28
ssc-spc,2017-2018,1672299.14,1720494.49
ssc-spc,2018-2019,749190.01,769191.01
