owner_org,d_fiscal_year,total,total_constant_2019_dollars
chrc-ccdp,2018-2019,5927.09,6040.67
chrc-ccdp,2019-2020,5943.33,5895.92
chrc-ccdp,2020-2021,5927.09,5644.49
chrc-ccdp,2021-2022,6773.81,6297.79
chrc-ccdp,2022-2023,6773.81,6061.24
cic,2018-2019,185443.25,189374.21
cic,2019-2020,78169.00,76707.36
cic,2020-2021,584136.87,553980.66
cic,2021-2022,285871.46,266210.64
cic,2022-2023,2896573.33,2570932.33
dfo-mpo,2021-2022,167427.86,151352.12
dfo-mpo,2022-2023,141383.86,125744.30
irb-cisr,2022-2023,1038441.13,918963.70
