d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,18415199.92589853
1_facilities_and_construction,2018-2019,23098286.62656047
1_facilities_and_construction,2019-2020,23180432.91432462
1_facilities_and_construction,2020-2021,21920638.1316342
2_professional_services,2017-2018,1868758.319020804
2_professional_services,2018-2019,3134567.66699175
2_professional_services,2019-2020,1732903.6653813522
2_professional_services,2020-2021,2081383.4949508589
5_transportation_and_logistics,2018-2019,38747.7
5_transportation_and_logistics,2020-2021,185433
6_industrial_products_and_services,2017-2018,0
6_industrial_products_and_services,2018-2019,0
6_industrial_products_and_services,2019-2020,0
