d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,17189.79,16803.17
1_facilities_and_construction,2020-2021,98299.52,93432.33
1_facilities_and_construction,2021-2022,91907.71,77043.82
11_defence,2017-2018,475820.01,488175.01
11_defence,2018-2019,1205280.00,1220413.56
11_defence,2020-2021,21727.27,20458.79
11_defence,2021-2022,108636.36,84982.38
2_professional_services,2017-2018,430737.44,441902.14
2_professional_services,2018-2019,218441.38,223185.81
2_professional_services,2019-2020,550030.25,542121.53
2_professional_services,2020-2021,623499.05,592331.79
2_professional_services,2021-2022,722466.41,565159.92
3_information_technology,2017-2018,258701.32,264966.90
3_information_technology,2018-2019,19940.71,20263.63
3_information_technology,2019-2020,191878.59,187235.03
3_information_technology,2020-2021,1094307.57,1040325.68
3_information_technology,2021-2022,365768.56,345199.06
5_transportation_and_logistics,2017-2018,9136384.12,9372338.78
5_transportation_and_logistics,2018-2019,9035430.54,9191496.37
5_transportation_and_logistics,2019-2020,811075.94,800239.06
5_transportation_and_logistics,2020-2021,851114.29,808413.77
5_transportation_and_logistics,2021-2022,981451.40,789506.63
6_industrial_products_and_services,2017-2018,241510206.57,247768526.07
6_industrial_products_and_services,2018-2019,241510206.57,245266047.43
6_industrial_products_and_services,2019-2020,252583704.86,250398608.68
6_industrial_products_and_services,2020-2021,247040429.32,234853675.87
6_industrial_products_and_services,2021-2022,247005188.32,193223421.11
