d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,660928.05,669933.67
1_facilities_and_construction,2019-2020,1780432.50,1777025.11
1_facilities_and_construction,2020-2021,1342406.22,1307290.78
1_facilities_and_construction,2021-2022,1689928.26,1291895.90
2_professional_services,2017-2018,13212.71,13681.02
2_professional_services,2020-2021,69611.21,65797.31
2_professional_services,2021-2022,15037.66,13890.19
5_transportation_and_logistics,2018-2019,179222.53,182795.52
5_transportation_and_logistics,2019-2020,123179.53,123125.11
5_transportation_and_logistics,2020-2021,613419.78,588511.34
5_transportation_and_logistics,2021-2022,328585.86,192416.75
9_human_capital,2018-2019,3322.98,3355.14
9_human_capital,2019-2020,15592.45,15585.34
